df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,quality
16.372,79
17.299,79
18.176,65
19.148,26
20.321,0
21.152,0
22.079,0
23.438,11
24.468,12
25.342,0
26.220,0
27.147,0
28.030,0
29.340,0
30.148,37
30.998,0
32.265,3
33.288,0
33.973,31
35.235,44
36.358,34
36.944,63
38.165,71
39.135,80
39.963,84
41.426,84
42.015,91
42.966,79
44.403,81
45.033,83
45.964,78
47.373,77
47.961,80
48.888,79
50.249,78
51.043,78
51.888,87
53.174,82
53.908,79
54.837,79
56.004,81
56.883,81
57.905,82
58.978,82
59.881,85
60.781,80
61.951,82
62.878,85
63.755,81
64.925,85
65.852,86
66.729,85
67.970,76
68.828,62
69.778,47
71.016,35
71.848,34
72.917,44
73.895,46
74.773,54
75.696,52
76.868,55
77.746,68
78.623,81
79.990,82
80.744,77
81.643,79
82.912,80
83.792,82
84.570,80
85.837,75
86.692,79
87.544,80
88.763,80
89.689,77
90.568,79
91.785,83
92.906,83
93.550,79
95.002,77
95.588,78
96.514,82
97.684,81
98.610,77
99.488,81
100.706,82
101.534,87
102.461,84
103.631,80
104.557,77
105.689,83
106.604,82
107.510,83
108.409,86
109.579,88
110.504,83
111.382,81
112.598,79
113.576,85
114.498,83
115.623,82
116.454,86
117.329,87
118.545,87
119.427,87
120.397,85
121.521,82
122.399,83
123.280,83
124.544,84
125.421,83
126.344,88
127.772,89
128.443,83
129.296,82
130.489,83
131.368,80
132.296,81
133.416,87
134.330,79
135.219,76
136.391,76
137.269,76
138.194,73
139.460,70
140.242,80
141.264,77
142.338,74
143.457,79
144.335,81
145.700,81
146.251,58
147.211,57
148.286,63
149.210,60
150.094,59
151.401,48
152.378,56
153.149,61
154.575,47
155.158,65
156.129,76
157.255,78
158.177,72
159.300,68
160.228,73
161.104,70
161.982,65
163.247,56
164.079,79
164.955,87
166.174,88
167.052,88
167.933,94
169.150,90
170.085,79
170.954,82
172.516,81
173.241,80
173.925,79
175.100,80
176.170,83
176.902,89
178.364,89
179.056,85
179.873,81
181.089,83
181.969,82
182.846,81
184.065,82
184.942,86
185.820,76
187.039,73
187.917,50
188.801,45
190.158,46
190.917,48
191.962,51
192.986,54
193.863,87
194.789,82
195.961,77
196.837,74
197.763,70
198.957,67
199.810,63
200.738,54
201.948,64
202.879,78
203.710,81
204.928,85
205.806,77
206.729,69
207.857,72
208.780,73
209.954,69
210.828,77
211.754,76
212.631,83
213.852,86
214.727,93
215.607,88
216.775,90
217.942,89
218.722,82
219.843,65
220.967,48
221.747,0
222.774,28
223.650,28
224.528,28
225.759,34
226.865,68
227.501,75
228.718,75
229.596,68
230.624,74
231.695,77
232.569,83
233.495,84
234.690,80
235.737,76
236.494,54
237.640,21
238.662,32
239.443,37
240.661,35
241.584,36
242.465,44
243.681,50
244.464,62
245.390,65
246.609,46
247.778,47
248.364,45
249.537,28
250.460,28
251.337,36
252.512,43
253.435,47
254.357,37
255.916,36
256.602,0
257.430,9
258.455,4
259.381,0
260.258,0
261.718,3
262.400,31
263.233,53
264.451,48
265.328,54
266.206,69
267.425,82
268.545,70
269.179,31
270.398,25
271.275,23
272.191,22
273.417,27
274.395,27
275.153,26
276.358,26
277.224,0
278.395,42
279.319,44
280.589,50
281.123,55
282.293,45
283.173,44
284.096,37
285.267,39
286.145,2
287.171,35
288.288,35
289.194,31
290.238,38
291.383,41
292.139,41
293.063,57
294.187,65
295.113,61
296.044,69
297.189,63
298.089,63
299.015,64
300.185,66
301.063,77
301.984,85
303.158,85
304.084,80
304.958,88
306.130,30
307.009,22
307.885,20
309.104,22
310.225,24
310.859,22
312.078,33
313.001,42
313.882,42
315.051,44
315.958,20
316.855,19
318.025,0
318.904,0
319.862,0
320.999,0
321.962,8
322.803,2
324.172,0
324.996,0
325.797,0
326.946,50
327.824,57
328.750,60
329.924,70
330.994,77
331.729,78
332.896,82
333.835,75
334.700,69
335.867,67
336.799,67
337.671,65
339.010,57
339.768,46
340.820,0
341.815,24
342.741,26
343.643,36
344.839,42
345.722,26
346.594,33
347.814,39
348.790,43
349.814,51
350.784,50
351.955,69
352.541,61
353.852,56
354.635,62
355.513,65
356.731,75
357.855,82
358.778,82
359.756,71
360.826,73
361.509,61
362.681,54
363.558,47
364.531,49
365.948,59
366.531,69
367.457,72
368.626,77
369.698,78
370.431,75
371.743,73
372.623,52
373.404,27
374.820,0
375.499,0
376.377,0
377.548,0
378.868,0
379.355,29
380.522,39
381.447,51
382.475,52
383.979,31
384.476,40
385.298,43
386.758,40
387.397,29
388.272,41
389.492,48
390.381,44
391.489,47
392.468,48
393.342,70
394.313,26
395.687,21
396.315,26
397.245,45
398.458,45
399.292,44
400.217,36
401.385,28
402.365,28
403.193,32
404.366,29
405.313,73
406.163,76
407.481,76
408.305,70
409.138,60
410.310,62
411.236,57
412.110,57
413.329,68
414.209,71
415.131,79
416.351,75
417.180,76
418.063,80
419.332,71
420.156,60
421.033,54
422.495,43
423.322,45
424.055,49
425.564,56
426.101,58
427.219,78
428.538,85
429.171,80
430.000,74
