df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,battery
12.909,52
22.902,52
32.895,52
43.035,52
52.933,51
62.924,51
72.924,51
83.008,51
93.001,51
102.897,51
112.900,51
122.906,51
132.903,51
142.870,51
152.912,51
162.937,51
172.913,51
182.892,51
192.885,51
202.884,51
212.872,51
222.868,51
233.007,51
242.901,51
252.894,51
262.888,51
272.978,51
282.874,51
292.868,51
302.861,51
312.959,51
322.848,51
332.842,51
342.981,51
352.877,51
362.889,50
372.865,50
382.858,50
392.851,50
402.845,50
412.838,50
422.881,50
432.825,50
442.868,50
452.861,50
