df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,acc_mag
5.034,0.971
5.064,0.974
5.094,0.972
5.124,0.974
5.154,0.972
5.184,0.972
5.214,0.972
5.244,0.970
5.274,0.969
5.304,0.974
5.334,0.971
5.364,0.971
5.394,0.969
5.424,0.969
5.454,0.973
5.484,0.967
5.514,0.974
5.544,0.974
5.574,0.971
5.604,0.970
5.634,0.973
5.664,0.969
5.694,0.972
5.724,0.972
5.754,0.971
5.784,0.972
5.814,0.975
5.844,0.976
5.874,0.973
5.904,0.971
5.934,0.970
5.964,0.969
5.994,0.973
6.024,0.976
6.054,0.968
6.084,0.968
6.114,0.972
6.144,0.970
6.174,0.970
6.204,0.971
6.234,0.969
6.264,0.975
6.294,0.974
6.324,0.974
6.354,0.969
6.384,0.973
6.414,0.975
6.444,0.971
6.474,0.970
6.504,0.971
6.534,0.973
6.564,0.973
6.594,0.972
6.624,0.973
6.654,0.973
6.684,0.970
6.714,0.972
6.744,0.975
6.774,0.972
6.804,0.968
6.834,0.970
6.864,0.973
6.894,0.970
6.924,0.979
6.954,0.974
6.984,0.974
7.014,0.977
7.044,0.977
7.074,0.974
7.104,0.970
7.134,0.972
7.164,0.973
7.194,0.970
7.224,0.969
7.254,0.971
7.284,0.970
7.314,0.971
7.344,0.972
7.374,0.977
7.404,0.971
7.434,0.972
7.464,0.970
7.494,0.979
7.524,0.976
7.554,0.971
7.584,0.969
7.614,0.973
7.644,0.971
7.674,0.972
7.704,0.975
7.734,0.971
7.764,0.974
7.794,0.974
7.824,0.974
7.854,0.977
7.884,0.973
7.914,0.972
7.944,0.971
7.974,0.970
8.004,0.970
8.034,0.974
8.064,0.974
8.094,0.975
8.124,0.971
8.154,0.971
8.184,0.971
8.214,0.971
8.244,0.971
8.274,0.972
8.304,0.970
8.334,0.970
8.364,0.974
8.394,0.974
8.424,0.976
8.454,0.973
8.484,0.978
8.514,0.972
8.544,0.976
8.574,0.973
8.604,0.972
8.634,0.974
8.664,0.973
8.694,0.973
8.724,0.972
8.754,0.975
8.784,0.970
8.814,0.972
8.844,0.976
8.874,0.972
8.904,0.972
8.934,0.972
8.964,0.970
8.994,0.968
9.024,0.975
9.054,0.976
9.084,0.968
9.114,0.973
9.144,0.970
9.174,0.971
9.204,0.974
9.234,0.977
9.264,0.967
9.294,0.975
9.324,0.973
9.354,0.979
9.384,0.972
9.414,0.973
9.444,0.975
9.474,0.971
9.504,0.973
9.534,0.974
9.564,0.971
9.594,0.976
9.624,0.974
9.654,0.971
9.684,0.977
9.714,0.972
9.744,0.971
9.774,0.978
9.804,0.975
9.834,0.968
9.864,0.972
9.894,0.972
9.924,0.974
9.954,0.974
9.984,0.975
10.014,0.973
10.044,0.977
10.074,0.974
10.104,0.970
10.134,0.974
10.164,0.974
10.194,0.975
10.224,0.971
10.254,0.972
10.284,0.969
10.314,0.974
10.344,0.973
10.374,0.976
10.404,0.976
10.434,0.970
10.464,0.975
10.494,0.977
10.524,0.975
10.554,0.972
10.584,0.975
10.614,0.970
10.644,0.974
10.674,0.974
10.704,0.974
10.734,0.977
10.764,0.977
10.794,0.968
10.824,0.972
10.854,0.971
10.884,0.973
10.914,0.971
10.944,0.970
10.974,0.974
11.004,0.971
11.034,0.975
11.064,0.974
11.094,0.974
11.124,0.970
11.154,0.976
11.184,0.971
11.214,0.974
11.244,0.978
11.274,0.971
11.304,0.973
11.334,0.974
11.364,0.976
11.394,0.974
11.424,0.973
11.454,0.973
11.484,0.975
11.514,0.975
11.544,0.968
11.574,0.975
11.604,0.972
11.634,0.979
11.664,0.972
11.694,0.972
11.724,0.971
11.754,0.973
11.784,0.973
11.814,0.975
11.844,0.975
11.874,0.972
11.904,0.973
11.934,0.971
11.964,0.974
11.994,0.976
12.024,0.971
12.054,0.973
12.084,0.975
12.114,0.973
12.144,0.970
12.174,0.974
12.204,0.975
12.234,0.976
12.264,0.978
12.294,0.973
12.324,0.972
12.354,0.972
12.384,0.975
12.414,0.973
12.444,0.974
12.474,0.973
12.504,0.974
12.534,0.973
12.564,0.975
12.594,0.976
12.624,0.973
12.654,0.972
12.684,0.973
12.714,0.974
12.744,0.976
12.774,0.972
12.804,0.977
12.834,0.972
12.864,0.976
12.894,0.968
12.924,0.981
12.954,0.979
12.984,0.978
13.014,0.972
13.044,0.974
13.074,0.967
13.104,0.982
13.134,0.981
13.164,0.980
13.194,0.977
13.224,0.974
13.254,0.976
13.284,0.968
13.314,0.975
13.344,0.958
13.374,0.963
13.404,0.961
13.434,0.958
13.464,0.966
13.494,0.964
13.524,0.959
13.554,0.960
13.584,0.967
13.614,0.966
13.644,0.966
13.674,0.965
13.704,0.970
13.734,0.972
13.764,0.965
13.794,0.965
13.824,0.968
13.854,0.974
13.884,0.969
13.914,0.969
13.944,0.968
13.974,0.962
14.004,0.965
14.034,0.965
14.064,0.963
14.094,0.966
14.124,0.969
14.154,0.969
14.184,0.970
14.214,0.969
14.244,0.971
14.274,0.974
14.304,0.966
14.334,0.971
14.364,0.965
14.394,0.967
