df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,perfusion_ir
63.511,0.160
64.583,0.160
68.240,0.170
70.479,0.160
74.184,0.160
75.942,0.160
77.453,0.160
78.233,0.160
79.108,0.160
79.839,0.160
82.032,0.160
82.666,0.160
86.910,0.160
88.188,0.160
89.752,0.160
90.322,0.160
91.004,0.160
91.736,0.160
94.568,0.160
98.268,0.160
99.633,0.160
100.364,0.160
101.010,0.160
101.680,0.160
102.524,0.150
103.240,0.150
104.020,0.150
104.608,0.140
106.116,0.140
108.359,0.140
111.284,0.140
112.890,0.140
113.727,0.140
114.403,0.150
115.035,0.150
116.594,0.150
117.526,0.150
118.205,0.150
118.937,0.160
119.620,0.160
120.454,0.160
122.056,0.160
122.691,0.170
123.480,0.170
125.028,0.170
125.818,0.180
126.441,0.180
127.278,0.180
128.002,0.180
130.198,0.180
131.075,0.180
132.489,0.180
133.123,0.180
139.116,0.180
141.030,0.180
141.992,0.180
142.778,0.180
143.218,0.170
143.993,0.170
144.627,0.170
145.014,0.170
161.937,0.170
162.811,0.170
163.785,0.170
164.387,0.170
165.248,0.170
166.710,0.170
167.539,0.170
175.009,0.160
175.883,0.160
176.557,0.160
177.193,0.160
178.705,0.160
179.392,0.150
180.215,0.150
182.358,0.150
182.989,0.150
183.772,0.150
191.764,0.140
191.816,0.140
193.135,0.150
196.495,0.150
199.371,0.140
200.003,0.140
200.623,0.140
202.050,0.140
202.756,0.140
203.417,0.140
209.657,0.140
213.571,0.130
214.968,0.130
217.262,0.130
217.993,0.140
229.836,0.140
230.518,0.140
240.368,0.140
242.318,0.140
264.158,0.140
264.985,0.140
265.669,0.140
404.560,0.150
407.685,0.150
407.872,0.150
415.080,0.150
422.935,0.150
425.128,0.140
426.601,0.140
429.607,0.140
432.679,0.150
434.974,0.150
435.753,0.150
436.630,0.150
447.160,0.160
