df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,omega
63.515,0.581
64.587,0.572
68.246,0.580
70.483,0.588
74.188,0.580
75.946,0.588
77.456,0.586
78.237,0.584
79.112,0.578
79.842,0.572
82.036,0.578
82.670,0.572
86.913,0.572
88.194,0.570
89.834,0.571
90.326,0.572
91.008,0.572
91.740,0.572
94.610,0.578
98.271,0.572
99.779,0.578
100.368,0.584
101.018,0.584
101.684,0.584
102.753,0.584
103.244,0.584
104.023,0.578
104.800,0.578
106.120,0.578
108.362,0.586
111.288,0.582
112.896,0.582
113.744,0.582
114.411,0.582
115.038,0.582
116.598,0.582
117.534,0.574
118.217,0.574
118.940,0.568
119.625,0.568
120.459,0.568
122.061,0.568
122.694,0.566
123.568,0.566
125.032,0.568
125.822,0.568
126.445,0.571
127.468,0.571
128.006,0.575
130.201,0.575
131.079,0.575
132.493,0.575
133.126,0.577
139.122,0.577
141.037,0.580
141.998,0.577
142.781,0.580
143.221,0.580
143.996,0.582
144.631,0.583
145.018,0.583
161.941,0.586
162.908,0.592
163.790,0.594
164.391,0.595
165.252,0.597
166.713,0.597
167.542,0.597
175.020,0.600
175.886,0.601
176.563,0.601
177.205,0.604
178.716,0.604
179.396,0.604
180.219,0.604
182.361,0.604
182.993,0.607
183.776,0.607
191.768,0.604
191.819,0.600
193.139,0.599
196.499,0.599
199.375,0.599
200.007,0.596
200.733,0.592
202.059,0.588
202.763,0.586
203.421,0.586
209.661,0.586
213.574,0.583
214.973,0.583
217.265,0.583
217.998,0.581
229.840,0.577
230.523,0.577
240.373,0.577
242.323,0.577
264.161,0.581
265.001,0.585
265.673,0.589
404.564,0.722
407.701,0.728
407.876,0.722
415.084,0.718
422.941,0.718
425.132,0.718
426.615,0.718
429.658,0.706
432.685,0.718
434.977,0.706
435.995,0.694
436.634,0.673
447.164,0.673
