df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,heart_rate
16.113,83
17.296,83
18.173,82
19.050,82
20.318,82
21.147,82
22.073,82
23.246,82
24.464,82
25.054,82
26.216,82
27.143,82
28.020,82
29.246,82
30.144,82
30.994,82
32.261,82
33.140,82
33.967,82
35.186,82
36.067,82
36.941,82
38.159,81
39.041,81
39.916,80
41.136,79
42.011,79
42.963,79
44.110,79
45.016,79
45.960,80
47.086,80
47.958,80
48.884,80
50.108,80
51.035,80
51.882,81
53.031,81
53.905,81
54.831,82
56.001,82
56.879,82
57.858,82
58.975,82
59.878,82
60.778,82
61.948,82
62.874,82
63.752,81
64.922,81
65.848,81
66.726,81
67.967,80
68.822,80
69.772,80
70.870,80
71.844,80
72.693,83
73.891,84
74.769,84
75.646,84
76.865,83
77.742,81
78.620,80
79.844,79
80.740,78
81.594,78
82.848,78
83.690,79
84.567,80
85.787,81
86.688,82
87.541,83
88.759,84
89.686,84
90.564,84
91.741,84
92.613,84
93.537,84
94.779,84
95.584,84
96.510,83
97.680,83
98.606,83
99.484,83
100.703,83
101.531,83
102.458,83
103.628,83
104.554,83
105.679,83
106.601,82
107.507,82
108.405,82
109.575,82
110.501,82
111.378,81
112.548,81
113.519,80
114.412,80
115.619,80
116.448,80
117.326,80
118.500,80
119.422,80
120.305,80
121.518,80
122.395,80
123.273,80
124.540,79
125.418,79
126.312,79
127.762,79
128.350,79
129.292,79
130.443,79
131.341,79
132.292,79
133.412,79
134.324,80
135.216,80
136.386,80
137.264,80
138.190,80
139.366,80
140.237,81
141.167,81
142.333,82
143.284,83
144.140,84
145.349,84
146.233,85
147.114,86
148.280,87
149.207,88
150.084,89
151.277,88
152.183,91
153.145,92
154.231,92
155.154,92
156.036,91
157.250,90
158.133,90
159.008,89
160.224,88
161.101,87
161.979,86
163.197,85
164.075,83
164.952,82
166.171,81
167.049,80
167.926,79
169.145,79
170.075,78
170.948,79
172.511,79
173.001,79
173.922,79
175.092,79
176.025,79
176.896,80
178.361,80
179.042,80
179.869,80
181.061,80
181.965,80
182.843,80
184.061,81
184.939,81
185.816,83
187.035,84
187.913,85
188.790,84
190.013,84
190.913,86
191.820,86
192.982,87
193.860,87
194.786,88
195.956,88
196.834,88
197.760,88
198.953,89
199.807,89
200.734,89
201.944,88
202.786,87
203.707,86
204.891,86
205.803,86
206.681,87
207.851,87
208.777,88
209.951,87
210.824,86
211.750,85
212.628,84
213.847,83
214.724,82
215.602,81
216.771,80
217.721,80
218.582,80
219.794,80
220.694,80
221.573,80
222.768,80
223.645,80
224.523,80
225.742,80
226.652,81
227.496,81
228.715,82
229.592,82
230.524,84
231.689,85
232.566,86
233.492,87
234.686,88
235.541,88
236.490,88
237.636,87
238.563,87
239.439,87
240.658,87
241.488,87
242.462,87
243.603,86
244.460,86
245.387,85
246.605,85
247.486,85
248.360,85
249.530,85
250.457,85
251.334,85
252.504,80
253.430,77
254.320,79
255.524,78
256.412,78
257.287,78
258.451,78
259.377,78
260.255,78
261.500,78
262.354,79
263.229,79
264.447,79
265.325,78
266.202,78
267.421,77
268.305,77
269.176,77
270.395,77
271.272,77
272.184,77
273.368,77
274.249,77
275.148,77
276.342,77
277.219,77
278.392,79
279.315,79
280.586,80
281.119,80
282.289,80
283.167,80
284.093,80
285.263,81
286.140,80
287.164,80
288.276,80
289.190,80
290.043,80
291.380,80
292.136,80
293.014,81
294.184,82
295.110,82
296.039,84
297.183,83
298.084,83
299.010,83
300.180,82
301.057,82
301.976,82
303.154,82
304.036,82
304.911,82
306.127,82
307.005,82
307.882,82
309.101,82
309.982,82
310.856,82
312.074,82
312.967,76
313.878,79
315.048,78
315.952,78
316.852,77
318.022,77
318.899,77
319.855,77
320.995,77
321.959,77
322.799,77
324.167,77
324.993,77
325.774,77
326.943,78
327.820,78
328.746,78
329.916,79
330.989,79
331.720,79
332.890,79
333.816,80
334.694,80
335.864,81
336.790,81
337.667,82
339.006,82
339.764,81
340.817,81
341.811,81
342.738,81
343.639,81
344.833,74
345.711,78
346.589,78
347.807,80
348.784,81
349.564,82
350.781,82
351.722,83
352.536,83
353.757,83
354.632,82
355.509,82
356.728,81
357.852,81
358.552,81
359.751,81
360.598,81
361.505,82
362.676,82
363.553,81
364.483,82
365.944,81
366.527,81
367.453,81
368.623,81
369.506,81
370.426,81
371.622,81
372.603,83
373.400,81
374.817,81
375.496,81
376.374,81
377.544,81
378.863,81
379.348,81
380.517,83
381.444,83
382.325,83
383.610,84
384.469,85
385.295,86
386.538,87
387.391,86
388.268,86
389.487,86
390.365,86
391.247,86
392.464,85
393.338,85
394.269,85
395.436,85
396.312,85
397.238,79
398.432,82
399.286,74
400.213,72
401.382,74
402.268,74
403.186,80
404.356,77
405.307,79
406.159,79
407.332,80
408.255,79
409.133,79
410.303,79
411.229,79
412.107,80
413.287,81
414.203,82
415.085,82
416.348,82
417.177,82
418.054,82
419.324,82
420.150,82
421.028,83
422.262,82
423.161,82
424.050,82
425.227,82
426.097,82
427.028,82
428.215,82
429.073,81
429.997,81
