df_hash,22ZHK4.PRJFYW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BQGG
person_label,V88
date_time_start,2025-11-04_15-13-01.042000_+03
date_time_start_unix,1762254781.042
date_time_end,2025-11-04_15-21-45.569000_+03
length_difference_noticed,no

time,acc_mag
5.572,1.028
5.602,1.014
5.632,1.027
5.662,1.019
5.692,1.022
5.722,1.023
5.752,1.029
5.782,1.026
5.812,1.021
5.842,1.029
5.872,1.031
5.902,1.029
5.932,1.015
5.962,1.027
5.992,1.024
6.022,1.032
6.052,1.024
6.082,1.017
6.112,1.021
6.142,1.018
6.172,1.032
6.202,1.024
6.232,1.034
6.262,1.027
6.292,1.035
6.322,1.023
6.352,1.014
6.382,1.019
6.412,1.025
6.442,1.027
6.472,1.021
6.502,1.024
6.532,1.023
6.562,1.026
6.592,1.026
6.622,1.019
6.652,1.033
6.682,1.029
6.712,1.021
6.742,1.019
6.772,1.025
6.802,1.020
6.832,1.018
6.862,1.024
6.892,1.021
6.922,1.021
6.952,1.025
6.982,1.028
7.012,1.037
7.042,1.022
7.072,1.017
7.102,1.013
7.132,1.016
7.162,1.020
7.192,1.021
7.222,1.027
7.252,1.022
7.282,1.021
7.312,1.028
7.342,1.027
7.372,1.026
7.402,1.020
7.432,1.028
7.462,1.021
7.492,1.019
7.522,1.022
7.552,1.035
7.582,1.028
7.612,1.021
7.642,1.019
7.672,1.019
7.702,1.018
7.732,1.032
7.762,1.032
7.792,1.020
7.822,1.023
7.852,1.021
7.882,1.024
7.912,1.033
7.942,1.019
7.972,1.026
8.002,1.023
8.032,1.020
8.062,1.024
8.092,1.028
8.122,1.034
8.152,1.017
8.182,1.021
8.212,1.019
8.242,1.030
8.272,1.019
8.302,1.018
8.332,1.020
8.362,1.027
8.392,1.019
8.422,1.018
8.452,1.024
8.482,1.012
8.512,1.019
8.542,1.024
8.572,1.029
8.602,1.021
8.632,1.018
8.662,1.021
8.692,1.021
8.722,1.032
8.752,1.024
8.782,1.021
8.812,1.022
8.842,1.007
8.872,1.015
8.902,1.036
8.932,1.030
8.962,1.018
8.992,1.018
9.022,1.027
9.052,1.026
9.082,1.033
9.112,1.027
9.142,1.018
9.172,1.019
9.202,1.021
9.232,1.021
9.262,1.025
9.292,1.013
9.322,1.028
9.352,1.021
9.382,1.022
9.412,1.029
9.442,1.026
9.472,1.020
9.502,1.021
9.532,1.026
9.562,1.028
9.592,1.019
9.622,1.022
9.652,1.029
9.682,1.020
9.712,1.032
9.742,1.021
9.772,1.017
9.802,1.027
9.832,1.016
9.862,1.032
9.892,1.025
9.922,1.021
9.952,1.032
9.982,1.019
10.012,1.024
10.042,1.022
10.072,1.019
10.102,1.022
10.132,1.013
10.162,1.026
10.192,1.020
10.222,1.021
10.252,1.013
10.282,1.012
10.312,1.029
10.342,1.020
10.372,1.030
10.402,1.017
10.432,1.015
10.462,1.023
10.492,1.020
10.522,1.016
10.552,1.041
10.582,1.020
10.612,1.013
10.642,1.020
10.672,1.017
10.702,1.023
10.732,1.021
10.762,1.039
10.792,1.030
10.822,1.013
10.852,1.002
10.882,1.031
10.912,1.029
10.942,1.023
10.972,1.018
11.002,1.028
11.032,1.025
11.062,1.024
11.092,1.019
11.122,1.016
11.152,1.021
11.182,1.019
11.212,1.024
11.242,1.021
11.272,1.027
11.302,1.020
11.332,1.021
11.362,1.024
11.392,1.029
11.422,1.021
11.452,1.023
11.482,1.027
11.512,1.025
11.542,1.030
11.572,1.016
11.602,1.016
11.632,1.014
11.662,1.016
11.692,1.029
11.722,1.037
11.752,1.029
11.782,1.015
11.812,1.023
11.842,1.015
11.872,1.030
11.902,1.007
11.932,1.033
11.962,1.026
11.992,1.027
12.022,1.027
12.052,1.025
12.082,1.015
12.112,1.017
12.142,1.021
12.172,1.019
12.202,1.046
12.232,1.026
12.262,1.023
12.292,1.010
12.322,1.020
12.352,1.020
12.382,1.021
12.412,1.029
12.442,1.025
12.472,1.025
12.502,1.013
12.532,1.019
12.562,1.014
12.592,1.020
12.622,1.025
12.652,1.021
12.682,1.021
12.712,1.029
12.742,1.022
12.772,1.045
12.802,1.021
12.832,1.021
12.862,1.020
12.892,1.012
12.922,1.006
12.952,1.024
12.982,1.028
13.012,1.032
13.042,1.011
13.072,1.021
13.102,1.041
13.132,1.015
13.162,1.011
13.192,1.027
13.222,1.016
13.252,1.023
13.282,1.023
13.312,1.019
13.342,1.017
13.372,1.030
13.402,1.042
13.432,1.026
13.462,1.031
13.492,1.024
13.522,1.019
13.552,1.017
13.582,1.025
13.612,1.030
13.642,1.020
13.672,1.013
13.702,1.027
13.732,1.018
13.762,1.013
13.792,1.024
13.822,1.025
13.852,1.025
13.882,1.019
13.912,1.020
13.942,1.022
13.972,1.017
14.002,1.008
14.032,1.035
14.062,1.036
14.092,1.014
14.122,1.010
14.152,1.019
14.182,1.023
14.212,1.019
14.242,1.019
14.272,1.021
14.302,1.017
14.332,1.022
14.362,1.045
14.392,1.044
14.422,1.013
14.452,1.017
14.482,1.026
14.512,1.019
14.542,1.019
14.572,1.019
14.602,1.012
14.632,1.020
14.662,1.037
14.692,1.025
14.722,1.016
14.752,1.017
14.782,1.007
14.812,1.040
14.842,1.040
14.872,1.017
14.902,1.017
14.932,1.018
