df_hash,22ZHK4.PRJFYW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BQGG
person_label,V88
date_time_start,2025-11-04_15-13-01.042000_+03
date_time_start_unix,1762254781.042
date_time_end,2025-11-04_15-21-45.569000_+03
length_difference_noticed,no

time,temperature
6.321,32.219
7.296,32.219
8.320,32.250
9.444,32.281
10.319,32.312
11.294,32.312
12.320,32.312
13.305,32.312
14.317,32.344
15.292,32.344
16.316,32.375
17.340,32.375
18.315,32.406
19.338,32.406
20.313,32.375
21.388,32.312
22.312,32.312
23.339,32.375
24.311,32.375
25.335,32.438
26.496,32.406
27.382,32.406
28.317,32.406
29.333,32.406
30.307,32.469
31.331,32.562
32.310,32.625
33.428,32.625
34.306,32.625
35.329,32.625
36.501,32.656
37.478,32.719
38.326,32.750
39.413,32.781
40.304,32.781
41.326,32.844
42.544,32.812
43.325,32.812
44.348,32.844
45.324,32.812
46.299,32.844
47.325,32.875
48.297,32.812
49.321,32.844
50.418,32.875
51.324,32.875
52.298,32.875
53.319,32.906
54.393,32.906
55.318,32.906
56.295,32.938
57.317,32.969
58.460,32.969
59.338,32.938
60.290,32.938
61.314,32.938
62.293,33.000
63.366,32.969
64.345,33.062
65.339,33.094
66.336,33.062
67.463,33.031
68.338,33.062
69.311,33.125
70.438,33.031
71.308,33.062
72.332,33.031
73.309,33.031
74.429,32.938
75.309,32.938
76.333,32.906
77.403,32.906
78.377,32.938
79.308,32.938
80.327,33.031
81.434,33.031
82.343,33.062
83.301,33.062
84.379,33.094
85.500,33.062
86.345,33.094
87.404,33.094
88.328,33.094
89.298,33.094
90.331,33.094
91.300,33.094
92.320,33.094
93.300,33.125
94.319,33.125
95.298,33.156
96.318,33.156
97.442,33.188
98.368,33.188
99.292,33.188
100.316,33.250
101.480,33.250
102.315,33.281
103.318,33.281
104.318,33.250
105.292,33.281
106.364,33.250
107.294,33.250
108.311,33.250
109.308,33.250
110.310,33.219
111.291,33.219
112.308,33.219
113.332,33.156
114.336,33.156
115.331,33.094
116.308,33.125
117.330,33.062
118.305,33.031
119.329,33.094
120.304,33.094
121.352,33.125
122.742,33.062
123.326,33.188
124.545,33.188
125.325,33.250
126.300,33.250
127.324,33.344
128.340,33.375
129.371,33.438
130.298,33.406
131.322,33.375
132.592,33.406
133.567,33.406
134.310,33.375
135.374,33.406
136.343,33.375
137.325,33.406
138.316,33.406
139.318,33.375
140.292,33.375
141.338,33.375
142.291,33.406
143.317,33.375
144.339,33.375
145.314,33.406
146.298,33.406
147.312,33.375
148.340,33.375
149.311,33.375
150.286,33.375
151.331,33.375
152.285,33.375
153.310,33.438
154.284,33.438
155.308,33.438
156.283,33.438
157.307,33.438
158.281,33.438
159.305,33.438
160.526,33.438
161.304,33.438
162.379,33.438
163.302,33.406
164.327,33.406
165.305,33.406
166.325,33.406
167.301,33.406
168.328,33.469
169.497,33.500
170.324,33.469
171.298,33.469
172.335,33.625
173.345,33.594
174.321,33.625
175.296,33.625
176.322,33.656
177.343,33.688
178.318,33.719
179.293,33.688
180.317,33.656
181.292,33.688
182.315,33.562
183.291,33.594
184.314,33.594
185.289,33.625
186.314,33.562
187.308,33.500
188.315,33.469
189.287,33.500
190.311,33.531
191.583,33.531
192.314,33.562
193.286,33.531
194.358,33.500
195.311,33.469
196.308,33.469
197.294,33.531
198.313,33.531
199.281,33.531
200.305,33.500
201.279,33.531
202.325,33.500
203.278,33.531
204.304,33.562
205.422,33.625
206.445,33.594
207.371,33.625
208.298,33.594
209.322,33.594
210.296,33.594
211.271,33.594
212.344,33.594
213.318,33.594
214.293,33.594
215.317,33.562
216.584,33.562
217.461,33.469
218.290,33.469
219.314,33.531
220.288,33.500
221.383,33.469
222.287,33.500
223.310,33.500
224.285,33.438
225.357,33.469
226.283,33.500
227.312,33.562
228.509,33.562
229.309,33.500
230.480,33.500
231.359,33.500
232.376,33.562
233.320,33.562
234.277,33.594
235.301,33.594
236.276,33.594
237.299,33.594
238.277,33.625
239.308,33.656
240.272,33.688
241.296,33.688
242.271,33.625
243.294,33.656
244.283,33.656
245.293,33.656
246.268,33.656
247.342,33.688
248.271,33.688
249.290,33.688
250.657,33.688
251.288,33.719
252.270,33.750
253.353,33.688
254.310,33.688
255.285,33.688
256.457,33.719
257.283,33.688
258.332,33.594
259.288,33.594
260.306,33.594
261.358,33.562
262.319,33.562
263.282,33.562
264.617,33.562
265.277,33.594
266.301,33.594
267.292,33.594
268.320,33.688
269.274,33.719
270.298,33.719
271.273,33.719
272.301,33.719
273.271,33.719
274.298,33.719
275.288,33.719
276.294,33.719
277.268,33.719
278.291,33.688
279.561,33.656
280.393,33.656
281.265,33.688
282.288,33.688
283.265,33.719
284.288,33.688
285.262,33.688
286.320,33.656
287.262,33.625
288.284,33.625
289.259,33.656
290.303,33.656
291.257,33.688
292.281,33.688
293.258,33.688
294.279,33.688
295.254,33.656
296.278,33.688
297.253,33.719
298.276,33.750
299.252,33.781
300.277,33.781
301.495,33.750
302.295,33.719
303.248,33.719
304.272,33.719
305.246,33.750
306.378,33.750
307.342,33.750
308.278,33.719
309.292,33.688
310.267,33.719
311.291,33.656
312.286,33.719
313.289,33.750
314.264,33.750
315.322,33.750
316.411,33.719
317.286,33.750
318.261,33.781
319.289,33.812
