df_hash,22ZHK4.PRJFYW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BQGG
person_label,V88
date_time_start,2025-11-04_15-13-01.042000_+03
date_time_start_unix,1762254781.042
date_time_end,2025-11-04_15-21-45.569000_+03
length_difference_noticed,no

time,ppg_quality
58.667,22
60.687,27
62.707,30
63.717,30
65.737,34
66.747,40
67.757,40
68.767,36
69.767,26
71.787,19
73.807,10
75.827,14
76.837,17
78.857,36
79.867,53
80.877,63
81.887,53
82.897,54
83.907,48
84.917,51
85.927,50
86.937,44
88.957,32
90.977,31
91.987,44
94.007,54
95.017,58
96.027,64
98.047,71
100.067,69
101.077,69
102.087,71
104.107,83
107.137,84
109.157,66
111.177,34
112.187,28
113.197,18
114.207,17
115.217,18
116.227,20
117.237,22
118.247,25
120.267,53
121.277,67
122.287,74
124.307,80
126.327,79
127.337,81
128.347,84
129.357,86
131.377,90
133.397,90
135.417,92
137.437,93
138.447,91
139.457,91
141.477,88
142.487,89
144.507,86
146.527,81
148.547,89
149.557,90
150.567,90
151.577,91
152.587,90
153.597,94
154.607,101
155.617,105
156.627,104
157.637,101
159.657,71
161.677,60
163.697,44
165.717,25
166.727,23
168.747,46
170.767,51
171.777,46
172.787,48
174.807,53
176.827,60
178.847,59
179.857,61
181.877,73
183.897,78
185.917,75
187.937,61
188.947,55
189.957,50
192.987,53
193.997,56
195.007,59
197.027,66
199.047,71
200.057,75
202.077,77
204.097,64
205.107,61
206.117,64
207.127,68
208.137,71
209.147,66
210.157,64
211.167,62
212.177,63
215.207,69
217.227,67
219.247,59
220.257,63
221.267,58
223.287,32
224.297,19
225.307,13
228.337,8
230.357,19
232.377,14
234.397,32
235.407,32
236.417,33
237.427,27
239.447,13
242.477,18
243.487,14
245.507,17
246.517,8
247.527,4
248.537,2
250.557,11
252.577,16
253.587,13
255.607,10
256.617,7
257.627,11
258.637,8
259.647,5
261.667,4
263.687,27
264.697,34
265.707,40
267.727,48
269.747,50
270.757,65
272.777,52
273.787,53
274.797,46
276.817,51
278.837,66
280.857,53
283.887,57
285.907,34
287.927,19
289.947,40
291.967,45
292.977,39
293.987,33
294.997,48
296.007,61
297.017,75
298.027,55
299.037,46
301.057,37
302.067,26
304.087,24
306.107,20
308.127,18
310.147,15
311.157,17
312.167,30
313.177,36
315.197,30
317.217,48
319.237,60
321.257,60
323.277,73
325.297,73
327.317,79
328.327,80
330.347,74
332.367,47
333.377,44
334.387,35
336.407,9
339.437,16
340.447,23
341.457,33
342.467,34
343.477,37
345.497,52
347.517,68
348.527,71
349.537,68
350.547,64
351.557,58
352.567,55
354.587,67
356.607,85
358.627,65
359.637,57
360.647,68
361.657,66
362.667,68
363.677,56
365.697,24
367.717,28
369.737,30
371.757,5
372.767,3
374.787,34
375.797,48
376.807,21
377.817,13
378.827,7
379.837,8
380.847,1
381.857,9
382.867,18
385.897,22
387.907,69
389.927,76
390.937,86
392.957,84
393.967,85
394.977,92
396.997,77
399.017,65
401.037,78
402.047,76
403.057,63
405.077,74
406.087,65
408.107,68
410.127,65
412.147,69
414.167,52
415.177,48
416.187,55
419.217,49
421.237,57
422.247,62
423.257,71
425.277,75
426.287,69
427.297,58
428.307,53
429.317,50
430.327,44
432.347,30
434.367,18
437.397,20
438.407,20
439.417,20
441.437,32
442.447,25
443.457,23
445.477,24
447.497,14
449.517,13
450.527,6
452.547,3
454.567,16
456.587,21
458.607,31
460.627,52
462.647,59
463.657,52
464.667,48
465.677,47
467.697,54
468.707,48
469.717,39
471.737,30
472.747,28
474.767,35
476.787,42
477.797,42
478.807,49
480.827,58
481.837,53
483.857,49
484.867,47
485.877,38
487.897,18
488.907,14
489.917,46
501.027,6
503.047,33
505.067,23
507.087,25
509.107,6
518.197,15
519.207,15
520.217,4
521.227,20
