df_hash,22ZHK4.PRJFYW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BQGG
person_label,V88
date_time_start,2025-11-04_15-13-01.042000_+03
date_time_start_unix,1762254781.042
date_time_end,2025-11-04_15-21-45.569000_+03
length_difference_noticed,no

time,rr_int
13.926,7255
14.219,980
14.268,245
14.560,10
14.564,215
15.340,10
15.344,815
15.906,10
16.026,605
16.034,15
16.170,245
17.290,1165
18.120,10
18.126,820
18.265,10
18.269,150
18.363,10
18.373,15
19.341,10
19.389,975
20.332,10
21.288,990
21.292,1020
21.338,10
22.263,10
23.245,950
23.336,955
23.384,10
23.388,110
23.531,135
23.536,10
25.339,825
25.901,1085
25.905,505
26.165,265
26.310,80
26.313,150
27.431,1065
28.260,10
28.265,760
28.407,230
29.381,960
30.356,10
30.377,990
31.380,10
32.306,970
33.135,995
33.432,800
34.402,320
35.332,980
35.380,910
35.383,10
35.476,10
36.207,160
36.210,645
36.259,10
37.181,10
37.188,1040
37.327,20
37.376,15
37.380,10
37.384,10
37.387,15
37.474,10
37.718,15
37.732,485
38.169,10
38.206,390
38.839,10
38.842,665
39.131,10
39.135,255
39.229,10
39.233,10
39.326,105
39.330,10
39.333,20
39.337,20
39.375,20
39.570,15
39.575,10
39.961,15
40.350,620
40.399,345
40.936,10
41.033,680
41.179,15
42.008,255
42.013,745
42.254,10
42.983,10
42.988,1030
43.035,10
43.861,15
44.546,830
44.558,670
44.566,10
44.842,15
45.227,290
45.714,340
45.908,400
46.347,340
46.494,470
46.542,10
46.591,10
46.594,10
46.762,35
46.766,320
47.566,10
47.761,955
47.767,10
48.443,390
48.449,345
48.598,130
48.787,10
49.570,760
49.690,330
49.714,10
50.247,560
50.250,10
50.296,10
50.421,10
50.491,10
50.494,20
50.501,195
50.540,15
51.320,725
51.418,15
51.422,10
52.053,15
52.200,775
52.881,10
52.886,820
52.890,15
53.026,15
53.029,45
53.172,190
54.148,250
54.400,720
54.440,270
54.538,10
54.976,210
54.980,315
55.027,10
55.903,10
55.907,865
55.974,10
56.097,305
57.609,760
57.755,740
58.291,10
58.584,725
59.028,295
59.412,385
59.705,390
60.388,240
60.680,710
61.077,330
61.119,420
61.122,15
61.518,50
61.948,265
62.192,500
62.484,350
63.362,275
64.288,635
64.292,1085
64.434,10
64.438,215
64.484,10
64.580,10
64.585,15
64.629,15
64.633,20
64.636,20
64.678,10
64.682,10
64.685,10
65.410,15
65.702,810
66.921,290
67.115,1425
68.678,700
68.684,855
69.212,10
69.553,540
70.444,345
70.528,895
70.533,10
70.547,20
70.579,65
71.113,20
71.119,520
72.234,10
72.241,1165
72.382,15
72.528,280
72.535,10
74.038,895
74.087,650
74.579,15
75.162,455
75.306,595
76.330,10
77.013,1135
77.112,735
77.409,10
78.431,400
78.576,895
79.503,10
79.510,1000
80.279,10
80.863,915
80.867,575
81.108,15
81.112,15
81.281,35
81.302,435
81.497,15
81.505,110
81.595,10
81.600,15
81.607,20
81.643,10
81.650,10
81.657,10
81.663,15
81.692,20
81.698,15
81.704,10
81.721,15
82.232,30
82.238,20
82.242,10
82.293,15
82.297,405
82.375,10
82.378,320
82.960,10
83.061,625
83.072,10
83.076,55
83.204,160
83.222,10
84.474,1050
85.300,15
85.304,1025
86.275,15
86.279,805
86.422,200
86.425,70
86.429,10
86.572,15
86.617,150
86.620,15
86.624,10
86.714,15
86.718,20
86.860,15
86.864,15
86.868,10
87.009,10
87.127,15
87.299,410
88.323,10
89.493,1140
90.175,1240
90.178,735
91.004,10
91.053,820
91.296,10
91.443,400
91.447,15
91.491,10
91.496,10
91.500,15
91.596,20
91.833,370
92.981,10
92.986,1040
93.783,10
93.786,890
93.933,10
94.221,10
94.224,305
94.339,205
95.587,435
95.590,760
95.733,180
97.538,900
98.512,995
98.663,950
98.848,290
99.487,705
100.464,15
101.484,920
101.583,1060
102.558,10
103.145,1025
103.154,540
103.166,15
103.411,20
103.415,325
104.215,10
104.219,760
104.264,15
104.268,30
104.364,185
105.044,605
105.049,10
105.142,20
105.484,20
106.459,340
107.433,1025
107.677,1025
107.823,360
108.506,720
108.509,10
108.560,10
108.798,25
108.801,190
108.944,165
108.948,15
108.993,10
108.996,15
109.000,45
109.126,30
109.237,20
109.241,20
109.244,35
109.247,65
109.386,220
110.407,970
110.411,10
110.459,10
110.466,15
110.505,15
110.508,20
110.511,10
110.554,20
110.557,15
110.560,10
110.563,15
111.215,15
111.285,695
112.163,15
112.211,985
112.260,10
112.552,20
112.559,400
112.725,15
113.138,15
114.112,460
114.941,945
115.185,935
115.334,260
115.916,115
115.919,575
116.065,10
116.160,165
116.163,15
116.166,10
116.169,15
116.173,10
116.208,10
116.212,10
116.891,10
117.866,750
118.841,990
119.671,875
119.770,940
119.965,10
120.060,205
120.792,20
120.796,815
121.767,10
121.774,970
122.746,15
122.792,965
123.570,15
123.573,910
123.668,10
124.548,15
124.692,915
124.789,175
125.520,25
126.495,715
127.329,975
127.470,905
127.474,150
127.524,15
127.528,15
127.568,15
127.572,15
127.814,10
127.817,10
128.153,20
128.167,555
128.201,10
128.206,20
129.128,60
129.132,865
129.274,10
129.279,210
129.284,20
129.375,15
129.715,15
130.104,35
130.111,695
130.932,15
131.907,915
132.053,980
132.057,25
132.202,15
132.209,15
