df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,acc_mag
5.029,0.988
5.059,0.981
5.089,0.984
5.119,0.984
5.149,0.981
5.179,1.006
5.209,0.989
5.239,0.979
5.269,0.977
5.299,0.979
5.329,0.993
5.359,0.980
5.389,0.988
5.419,0.988
5.449,0.993
5.479,0.990
5.509,0.983
5.539,0.985
5.569,0.993
5.599,0.985
5.629,0.974
5.659,0.995
5.689,0.979
5.719,0.993
5.749,1.003
5.779,0.970
5.809,0.985
5.839,0.982
5.869,0.988
5.899,0.978
5.929,0.994
5.959,0.991
5.989,0.988
6.019,0.983
6.049,0.985
6.079,0.985
6.109,0.983
6.139,0.977
6.169,0.982
6.199,0.980
6.229,0.992
6.259,0.991
6.289,0.992
6.319,0.972
6.349,0.978
6.379,0.989
6.409,0.992
6.439,0.982
6.469,0.984
6.499,0.982
6.529,0.995
6.559,0.977
6.589,0.983
6.619,0.986
6.649,0.992
6.679,0.977
6.709,0.989
6.739,0.982
6.769,0.994
6.799,0.997
6.829,0.983
6.859,0.979
6.889,0.987
6.919,0.983
6.949,0.981
6.979,0.983
7.009,0.991
7.039,0.991
7.069,0.988
7.099,0.982
7.129,0.984
7.159,0.986
7.189,0.983
7.219,0.982
7.249,0.989
7.279,0.979
7.309,1.004
7.339,0.996
7.369,0.982
7.399,0.978
7.429,0.981
7.459,0.986
7.489,0.988
7.519,0.991
7.549,0.987
7.579,0.985
7.609,0.994
7.639,0.986
7.669,0.983
7.699,0.980
7.729,0.988
7.759,0.989
7.789,0.995
7.819,0.985
7.849,0.996
7.879,0.987
7.909,0.976
7.939,0.980
7.969,0.987
7.999,0.993
8.029,0.983
8.059,0.987
8.089,0.993
8.119,0.985
8.149,0.987
8.179,0.986
8.209,0.986
8.239,0.986
8.269,0.985
8.299,0.981
8.329,0.989
8.359,0.986
8.389,0.996
8.419,0.989
8.449,0.987
8.479,0.982
8.509,0.979
8.539,0.987
8.569,0.985
8.599,0.983
8.629,0.994
8.659,0.990
8.689,0.982
8.719,0.987
8.749,0.989
8.779,0.988
8.809,0.987
8.839,0.988
8.869,0.979
8.899,0.994
8.929,0.984
8.959,0.993
8.989,0.990
9.019,0.987
9.049,0.979
9.079,0.980
9.109,0.990
9.139,0.989
9.169,0.984
9.199,0.993
9.229,0.984
9.259,0.983
9.289,0.982
9.319,0.979
9.349,0.992
9.379,0.984
9.409,0.985
9.439,0.988
9.469,0.984
9.499,0.993
9.529,0.979
9.559,0.994
9.589,0.996
9.619,0.984
9.649,0.972
9.679,0.978
9.709,0.988
9.739,0.988
9.769,0.991
9.799,0.990
9.829,0.989
9.859,0.979
9.889,0.984
9.919,0.985
9.949,0.982
9.979,0.994
10.009,0.986
10.039,0.980
10.069,0.988
10.099,0.984
10.129,0.989
10.159,1.002
10.189,0.978
10.219,0.978
10.249,0.986
10.279,0.982
10.309,0.985
10.339,0.984
10.369,1.000
10.399,0.989
10.429,0.988
10.459,0.987
10.489,0.982
10.519,0.991
10.549,0.991
10.579,0.986
10.609,0.985
10.639,0.991
10.669,0.981
10.699,1.002
10.729,0.998
10.759,0.977
10.789,0.983
10.819,0.986
10.849,0.992
10.879,0.980
10.909,0.998
10.939,0.988
10.969,0.994
10.999,0.985
11.029,0.985
11.059,0.984
11.089,0.988
11.119,0.989
11.149,0.984
11.179,0.994
11.209,0.982
11.239,1.000
11.269,0.996
11.299,0.978
11.329,0.980
11.359,0.988
11.389,0.994
11.419,0.982
11.449,0.995
11.479,0.991
11.509,0.989
11.539,0.986
11.569,0.984
11.599,0.989
11.629,0.985
11.659,0.986
11.689,0.984
11.719,0.994
11.749,0.984
11.779,0.998
11.809,0.991
11.839,0.988
11.869,0.979
11.899,0.985
11.929,0.997
11.959,0.986
11.989,0.985
12.019,0.992
12.049,0.988
12.079,0.985
12.109,0.990
12.139,0.990
12.169,0.990
12.199,0.979
12.229,0.987
12.259,0.989
12.289,0.986
12.319,1.003
12.349,0.994
12.379,0.981
12.409,0.975
12.439,0.989
12.469,0.996
12.499,0.985
12.529,0.987
12.559,0.995
12.589,0.990
12.619,0.991
12.649,0.983
12.679,0.983
12.709,0.985
12.739,0.992
12.769,0.978
12.799,0.987
12.829,0.986
12.859,0.996
12.889,0.995
12.919,0.985
12.949,0.981
12.979,0.984
13.009,0.982
13.039,0.986
13.069,0.983
13.099,0.998
13.129,0.987
13.159,0.986
13.189,0.989
13.219,0.985
13.249,0.986
13.279,0.984
13.309,0.985
13.339,0.981
13.369,0.994
13.399,0.980
13.429,0.999
13.459,0.989
13.489,0.988
13.519,0.981
13.549,0.982
13.579,0.993
13.609,0.985
13.639,0.997
13.669,0.989
13.699,0.985
13.729,0.985
13.759,0.990
13.789,0.982
13.819,0.988
13.849,0.988
13.879,0.986
13.909,0.986
13.939,0.999
13.969,0.980
13.999,1.002
14.029,0.988
14.059,0.985
14.089,0.981
14.119,0.981
14.149,0.994
14.179,0.980
14.209,1.001
14.239,0.988
14.269,0.987
14.299,0.973
14.329,0.992
14.359,0.994
14.389,0.981
