df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,quality
17.252,56
18.177,58
19.054,57
20.224,57
21.151,57
22.101,56
23.247,57
24.365,37
25.196,37
26.415,39
27.144,31
27.976,32
29.195,49
30.215,45
31.048,48
32.332,54
33.046,41
34.115,49
35.142,52
36.358,48
36.946,45
38.121,51
39.088,59
39.975,63
41.184,56
42.016,45
42.893,43
44.268,52
44.990,49
45.867,48
47.037,52
47.963,49
48.869,47
50.203,38
50.963,46
51.817,52
53.036,36
53.915,40
54.790,59
56.007,50
56.894,54
57.764,53
58.992,52
59.858,56
60.784,54
61.954,47
62.975,49
63.759,43
64.928,43
65.806,40
66.734,39
67.998,42
68.971,29
69.729,46
70.880,50
71.801,49
72.871,47
73.849,52
74.776,53
75.653,53
76.823,56
77.990,58
78.630,58
79.897,56
80.723,53
81.601,55
82.821,55
83.745,60
84.574,59
85.793,59
86.967,56
87.550,56
88.766,53
89.670,54
90.571,55
91.788,56
92.618,53
93.590,55
95.009,58
95.592,56
96.519,53
97.782,58
98.614,58
99.492,53
100.663,54
101.590,55
102.468,57
103.931,55
104.562,55
105.683,58
106.664,58
107.588,57
108.618,56
109.632,55
110.512,58
111.435,57
112.612,57
113.776,57
114.455,53
115.581,57
116.700,58
117.383,49
118.553,42
119.431,44
120.356,44
121.577,40
122.405,45
123.334,51
124.500,53
125.429,51
126.544,56
127.474,58
128.497,54
129.278,54
130.740,53
131.375,57
132.253,55
133.614,56
134.410,53
135.229,55
136.444,56
137.416,55
138.199,57
139.429,56
140.298,56
141.174,60
142.392,58
143.509,58
144.341,58
145.560,56
146.243,56
147.169,53
148.339,48
149.218,48
150.188,39
151.699,47
152.192,47
153.142,45
154.313,44
155.214,47
156.382,52
157.264,50
158.232,47
159.066,51
160.235,59
161.161,56
162.037,52
163.209,52
164.229,52
165.011,54
166.183,52
167.107,56
168.134,53
169.252,53
170.140,55
171.053,55
172.178,57
173.247,61
173.933,61
175.151,60
176.321,57
176.907,60
178.269,62
179.246,58
179.925,56
181.101,54
182.177,53
182.932,55
184.073,55
184.950,55
185.877,55
187.293,59
187.924,56
188.850,57
190.020,63
190.997,62
191.824,61
193.145,59
193.920,57
194.798,58
196.113,57
196.927,57
197.967,56
198.990,60
199.916,61
200.745,58
201.961,59
202.842,60
203.719,62
204.988,59
205.910,59
206.692,58
207.957,55
208.789,53
209.858,55
210.887,54
211.857,26
212.640,31
214.130,37
214.736,27
215.662,26
216.837,34
217.756,33
218.636,28
219.808,26
220.684,60
221.610,62
222.780,60
223.706,60
224.584,57
225.758,52
226.980,57
227.557,57
228.822,59
229.654,61
230.628,60
231.703,60
232.721,54
233.555,53
234.724,50
235.793,44
236.510,40
237.942,44
238.723,46
239.453,52
240.717,55
241.549,54
242.428,37
243.647,42
244.571,49
245.410,51
246.622,51
247.737,62
248.426,58
249.595,56
250.471,57
251.442,53
252.612,43
253.733,25
254.370,31
255.613,27
256.670,33
257.588,31
258.532,25
259.683,0
260.319,36
261.514,33
262.415,0
263.296,27
264.556,0
265.387,23
266.274,27
267.435,30
268.361,27
269.240,25
270.416,0
271.337,20
272.216,0
273.435,0
274.311,3
275.189,9
276.407,0
277.282,0
278.162,0
279.427,30
280.548,43
281.134,26
282.650,29
283.232,18
284.107,0
285.326,12
286.395,5
287.373,0
288.300,0
289.177,4
290.105,11
291.274,12
292.200,0
293.079,0
294.301,2
295.175,10
296.100,23
297.222,5
298.439,0
299.025,31
300.195,0
301.400,26
301.999,0
303.217,0
304.289,28
305.118,28
306.143,0
307.069,0
307.949,0
309.170,23
310.044,0
310.927,23
312.141,0
313.016,48
313.940,54
315.115,46
316.141,42
316.868,0
318.330,0
319.012,0
319.890,27
321.064,0
321.980,0
322.870,37
324.041,42
325.020,41
325.839,38
327.075,36
327.886,52
328.812,43
329.982,36
330.908,45
331.980,56
333.050,59
333.884,54
334.760,52
335.981,59
336.860,60
337.733,22
338.948,22
339.830,23
340.732,0
341.928,26
342.952,24
343.681,34
344.900,0
345.782,12
346.657,11
347.875,12
348.751,29
349.629,54
350.848,38
351.966,33
352.651,24
353.870,0
354.701,9
355.724,18
356.797,7
357.683,6
358.602,4
359.869,3
360.889,34
361.719,37
362.745,36
363.671,35
364.552,32
365.860,33
366.693,28
367.521,24
368.691,18
369.617,20
370.494,21
371.713,0
372.593,0
373.468,0
374.784,0
375.858,0
376.442,33
377.714,28
378.783,0
379.415,0
380.664,0
381.512,5
382.461,0
383.949,0
384.486,0
385.412,24
386.647,23
387.459,28
388.681,39
389.557,32
390.433,44
391.359,34
392.532,0
393.487,33
394.333,27
395.600,52
396.446,1
397.353,29
398.477,28
399.449,26
400.282,21
401.482,20
402.572,26
403.398,18
404.476,37
405.361,31
406.240,33
407.501,0
408.327,0
409.205,0
410.421,0
411.351,8
412.271,8
413.418,1
414.651,2
415.203,2
416.369,0
417.439,24
418.174,0
419.345,0
420.273,0
421.341,0
422.321,31
423.243,38
424.122,26
425.292,27
426.511,0
427.097,27
428.561,0
429.382,0
430.068,0
431.338,7
