df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,acc_mag
4.824,0.994
4.854,0.987
4.884,0.994
4.914,0.993
4.944,0.992
4.974,0.994
5.004,0.994
5.034,0.991
5.064,0.994
5.094,0.991
5.124,0.990
5.154,0.995
5.184,0.995
5.214,0.989
5.244,0.988
5.274,0.990
5.304,0.993
5.334,0.994
5.364,0.993
5.394,0.991
5.424,0.987
5.454,0.992
5.484,0.994
5.514,0.993
5.544,0.986
5.574,0.991
5.604,0.994
5.634,0.993
5.664,0.992
5.694,0.986
5.724,0.995
5.754,0.990
5.784,0.991
5.814,0.995
5.844,0.989
5.874,0.991
5.904,0.996
5.934,0.989
5.964,0.994
5.994,0.995
6.024,0.989
6.054,0.991
6.084,0.990
6.114,0.994
6.144,1.001
6.174,0.999
6.204,0.985
6.234,0.993
6.264,0.989
6.294,0.997
6.324,0.996
6.354,0.992
6.384,0.992
6.414,0.989
6.444,0.995
6.474,0.996
6.504,0.987
6.534,0.990
6.564,0.996
6.594,0.994
6.624,0.999
6.654,0.992
6.684,0.991
6.714,0.993
6.744,0.993
6.774,0.993
6.804,0.993
6.834,0.990
6.864,0.991
6.894,0.993
6.924,0.993
6.954,0.994
6.984,0.990
7.014,0.994
7.044,0.990
7.074,0.991
7.104,1.002
7.134,0.991
7.164,0.989
7.194,0.989
7.224,0.995
7.254,0.993
7.284,0.991
7.314,0.992
7.344,0.988
7.374,0.992
7.404,0.996
7.434,0.994
7.464,0.984
7.494,0.989
7.524,0.991
7.554,0.993
7.584,0.991
7.614,0.995
7.644,0.994
7.674,0.990
7.704,0.991
7.734,0.993
7.764,0.994
7.794,0.992
7.824,0.993
7.854,0.991
7.884,0.996
7.914,0.990
7.944,0.998
7.974,0.987
8.004,0.991
8.034,0.988
8.064,0.991
8.094,0.995
8.124,0.994
8.154,0.990
8.184,0.993
8.214,0.993
8.244,0.996
8.274,0.990
8.304,0.985
8.334,0.994
8.364,0.994
8.394,0.989
8.424,0.989
8.454,0.994
8.484,0.992
8.514,0.989
8.544,0.997
8.574,0.992
8.604,0.986
8.634,0.996
8.664,0.992
8.694,0.996
8.724,0.994
8.754,0.987
8.784,0.988
8.814,0.991
8.844,0.991
8.874,0.997
8.904,0.994
8.934,0.990
8.964,0.994
8.994,0.989
9.024,0.996
9.054,0.986
9.084,0.993
9.114,0.993
9.144,0.994
9.174,0.991
9.204,0.996
9.234,0.990
9.264,0.990
9.294,0.995
9.324,0.993
9.354,0.996
9.384,0.991
9.414,0.987
9.444,0.988
9.474,1.002
9.504,0.992
9.534,0.987
9.564,0.988
9.594,0.991
9.624,0.996
9.654,0.994
9.684,0.995
9.714,0.988
9.744,0.995
9.774,0.996
9.804,0.991
9.834,0.986
9.864,0.989
9.894,0.993
9.924,0.993
9.954,0.996
9.984,0.992
10.014,0.992
10.044,0.986
10.074,0.994
10.104,0.989
10.134,0.991
10.164,0.995
10.194,0.991
10.224,0.994
10.254,0.985
10.284,0.991
10.314,0.991
10.344,0.999
10.374,0.997
10.404,0.991
10.434,0.986
10.464,0.992
10.494,0.993
10.524,0.991
10.554,0.991
10.584,0.988
10.614,0.988
10.644,0.997
10.674,0.994
10.704,0.987
10.734,0.989
10.764,0.994
10.794,0.998
10.824,0.995
10.854,0.993
10.884,0.991
10.914,0.989
10.944,0.993
10.974,0.990
11.004,0.989
11.034,0.993
11.064,0.989
11.094,0.994
11.124,0.993
11.154,0.990
11.184,0.989
11.214,0.995
11.244,0.991
11.274,0.991
11.304,0.993
11.334,0.985
11.364,0.996
11.394,0.998
11.424,0.989
11.454,0.986
11.484,0.996
11.514,0.990
11.544,0.998
11.574,0.991
11.604,0.990
11.634,0.991
11.664,0.994
11.694,0.992
11.724,0.991
11.754,0.987
11.784,0.993
11.814,0.997
11.844,0.991
11.874,0.994
11.904,0.990
11.934,0.989
11.964,0.999
11.994,0.990
12.024,0.993
12.054,0.993
12.084,0.989
12.114,0.997
12.144,0.992
12.174,0.988
12.204,0.990
12.234,0.988
12.264,0.998
12.294,0.997
12.324,0.991
12.354,0.988
12.384,0.992
12.414,0.992
12.444,0.991
12.474,0.993
12.504,0.994
12.534,0.992
12.564,0.996
12.594,0.995
12.624,0.987
12.654,0.988
12.684,0.995
12.714,0.996
12.744,0.995
12.774,0.993
12.804,0.994
12.834,0.988
12.864,0.995
12.894,0.993
12.924,0.990
12.954,0.993
12.984,0.993
13.014,0.990
13.044,0.986
13.074,0.995
13.104,0.995
13.134,1.001
13.164,0.991
13.194,0.982
13.224,0.989
13.254,0.990
13.284,0.990
13.314,0.995
13.344,0.997
13.374,0.985
13.404,0.998
13.434,0.992
13.464,0.992
13.494,0.985
13.524,0.995
13.554,0.994
13.584,0.989
13.614,0.990
13.644,0.995
13.674,0.993
13.704,0.994
13.734,0.994
13.764,0.992
13.794,0.990
13.824,0.989
13.854,0.998
13.884,0.991
13.914,0.988
13.944,0.994
13.974,0.990
14.004,0.997
14.034,0.998
14.064,0.992
14.094,0.988
14.124,0.996
14.154,0.998
14.184,0.993
