df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,acc_mag
4.721,1.037
4.751,1.039
4.781,1.038
4.811,1.042
4.841,1.041
4.871,1.042
4.901,1.043
4.931,1.044
4.961,1.041
4.991,1.039
5.021,1.044
5.051,1.043
5.081,1.041
5.111,1.044
5.141,1.043
5.171,1.038
5.201,1.040
5.231,1.044
5.261,1.044
5.291,1.040
5.321,1.042
5.351,1.039
5.381,1.041
5.411,1.044
5.441,1.039
5.471,1.044
5.501,1.036
5.531,1.043
5.561,1.040
5.591,1.046
5.621,1.041
5.651,1.037
5.681,1.042
5.711,1.043
5.741,1.037
5.771,1.044
5.801,1.044
5.831,1.041
5.861,1.046
5.891,1.044
5.921,1.044
5.951,1.039
5.981,1.037
6.011,1.040
6.041,1.044
6.071,1.043
6.101,1.041
6.131,1.042
6.161,1.041
6.191,1.045
6.221,1.043
6.251,1.040
6.281,1.044
6.311,1.041
6.341,1.037
6.371,1.039
6.401,1.046
6.431,1.039
6.461,1.039
6.491,1.043
6.521,1.042
6.551,1.044
6.581,1.044
6.611,1.043
6.641,1.040
6.671,1.039
6.701,1.044
6.731,1.041
6.761,1.040
6.791,1.042
6.821,1.039
6.851,1.039
6.881,1.040
6.911,1.041
6.941,1.043
6.971,1.045
7.001,1.040
7.031,1.042
7.061,1.042
7.091,1.042
7.121,1.037
7.151,1.049
7.181,1.045
7.211,1.037
7.241,1.043
7.271,1.045
7.301,1.041
7.331,1.045
7.361,1.042
7.391,1.042
7.421,1.043
7.451,1.041
7.481,1.043
7.511,1.041
7.541,1.043
7.571,1.040
7.601,1.039
7.631,1.042
7.661,1.042
7.691,1.040
7.721,1.043
7.751,1.044
7.781,1.039
7.811,1.037
7.841,1.043
7.871,1.046
7.901,1.043
7.931,1.038
7.961,1.040
7.991,1.044
8.021,1.040
8.051,1.042
8.081,1.045
8.111,1.042
8.141,1.039
8.171,1.046
8.201,1.044
8.231,1.040
8.261,1.041
8.291,1.041
8.321,1.044
8.351,1.047
8.381,1.042
8.411,1.040
8.441,1.041
8.471,1.044
8.501,1.041
8.531,1.043
8.561,1.037
8.591,1.041
8.621,1.042
8.651,1.038
8.681,1.040
8.711,1.042
8.741,1.045
8.771,1.045
8.801,1.043
8.831,1.039
8.861,1.041
8.891,1.040
8.921,1.041
8.951,1.043
8.981,1.046
9.011,1.040
9.041,1.037
9.071,1.040
9.101,1.050
9.131,1.043
9.161,1.040
9.191,1.041
9.221,1.043
9.251,1.039
9.281,1.039
9.311,1.042
9.341,1.042
9.371,1.046
9.401,1.042
9.431,1.043
9.461,1.042
9.491,1.042
9.521,1.042
9.551,1.040
9.581,1.040
9.611,1.046
9.641,1.042
9.671,1.042
9.701,1.041
9.731,1.043
9.761,1.043
9.791,1.044
9.821,1.042
9.851,1.041
9.881,1.038
9.911,1.040
9.941,1.041
9.971,1.047
10.001,1.043
10.031,1.040
10.061,1.042
10.091,1.040
10.121,1.040
10.151,1.048
10.181,1.041
10.211,1.040
10.241,1.041
10.271,1.042
10.301,1.044
10.331,1.044
10.361,1.042
10.391,1.042
10.421,1.041
10.451,1.042
10.481,1.043
10.511,1.046
10.541,1.045
10.571,1.043
10.601,1.042
10.631,1.041
10.661,1.041
10.691,1.044
10.721,1.047
10.751,1.044
10.781,1.043
10.811,1.040
10.841,1.041
10.871,1.046
10.901,1.045
10.931,1.041
10.961,1.043
10.991,1.046
11.021,1.040
11.051,1.044
11.081,1.044
11.111,1.042
11.141,1.046
11.171,1.046
11.201,1.045
11.231,1.042
11.261,1.040
11.291,1.041
11.321,1.043
11.351,1.044
11.381,1.043
11.411,1.043
11.441,1.041
11.471,1.047
11.501,1.043
11.531,1.040
11.561,1.041
11.591,1.042
11.621,1.043
11.651,1.041
11.681,1.048
11.711,1.045
11.741,1.042
11.771,1.047
11.801,1.041
11.831,1.040
11.861,1.042
11.891,1.040
11.921,1.042
11.951,1.045
11.981,1.043
12.011,1.044
12.041,1.043
12.071,1.044
12.101,1.044
12.131,1.045
12.161,1.042
12.191,1.047
12.221,1.040
12.251,1.042
12.281,1.038
12.311,1.046
12.341,1.046
12.371,1.043
12.401,1.040
12.431,1.045
12.461,1.045
12.491,1.045
12.521,1.040
12.551,1.044
12.581,1.048
12.611,1.043
12.641,1.044
12.671,1.046
12.701,1.038
12.731,1.042
12.761,1.043
12.791,1.044
12.821,1.046
12.851,1.045
12.881,1.039
12.911,1.043
12.941,1.044
12.971,1.042
13.001,1.044
13.031,1.044
13.061,1.046
13.091,1.043
13.121,1.043
13.151,1.042
13.181,1.042
13.211,1.041
13.241,1.045
13.271,1.045
13.301,1.041
13.331,1.039
13.361,1.047
13.391,1.044
13.421,1.044
13.451,1.043
13.481,1.048
13.511,1.045
13.541,1.044
13.571,1.045
13.601,1.045
13.631,1.042
13.661,1.042
13.691,1.044
13.721,1.043
13.751,1.046
13.781,1.046
13.811,1.043
13.841,1.042
13.871,1.043
13.901,1.044
13.931,1.044
13.961,1.044
13.991,1.041
14.021,1.041
14.051,1.044
14.081,1.044
