df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,quality
15.811,78
16.981,80
17.857,74
18.735,76
19.954,67
20.832,65
21.760,67
22.982,67
23.830,60
24.780,53
25.901,56
27.120,64
27.715,61
28.876,70
29.860,75
30.679,69
32.294,63
32.808,69
33.652,62
34.873,59
35.895,64
36.685,63
37.845,62
38.723,78
39.649,79
40.822,78
41.746,81
42.866,84
43.987,78
44.765,77
45.596,79
46.912,85
47.694,82
48.720,83
49.841,84
50.962,84
51.543,83
52.802,83
53.883,84
54.566,83
55.736,84
56.615,82
57.634,85
58.755,77
59.636,71
60.523,67
61.930,74
62.610,71
63.783,71
64.719,71
65.583,80
66.463,83
67.680,83
68.557,85
69.484,85
70.653,82
71.555,83
72.461,79
73.629,81
74.553,85
75.438,84
76.602,78
77.578,77
78.416,69
79.672,63
80.508,52
81.380,52
82.599,52
83.522,49
84.450,45
85.571,55
86.495,64
87.375,64
88.572,68
89.423,28
90.373,0
91.710,31
92.445,40
93.383,0
94.540,23
95.418,30
96.488,47
97.466,47
98.395,47
99.270,53
100.489,80
101.368,81
102.245,82
103.511,87
104.341,87
105.266,90
106.436,80
107.313,80
108.240,87
109.448,85
110.292,83
111.243,79
112.389,81
113.319,82
114.187,84
115.406,85
116.283,83
117.209,82
118.380,84
119.257,80
120.136,78
121.354,80
122.328,80
123.109,81
124.328,86
125.206,84
126.131,83
127.301,80
128.475,81
129.299,82
130.275,80
131.201,79
132.226,82
133.248,83
134.176,80
135.052,77
136.369,79
137.151,70
138.026,63
139.248,63
140.122,61
141.291,64
142.218,73
143.096,77
144.022,83
145.437,71
146.069,68
147.239,60
148.211,57
149.388,52
149.969,48
151.142,53
152.065,47
153.086,44
154.207,34
155.338,34
155.920,29
157.238,26
158.013,27
158.894,35
160.110,58
160.990,74
161.878,72
163.085,72
163.974,76
164.889,81
166.057,81
166.935,81
167.863,83
169.033,82
169.959,81
171.126,79
172.007,81
172.931,80
173.808,76
174.978,82
176.207,86
176.786,78
178.098,71
178.880,74
179.951,77
180.974,78
181.856,81
182.729,80
183.949,77
184.826,82
185.897,85
186.922,78
187.994,79
188.732,81
189.942,82
190.871,80
191.699,81
192.891,85
193.802,83
194.712,79
195.843,79
196.912,82
197.647,82
199.109,79
199.840,81
200.624,84
201.841,83
202.720,79
203.837,79
204.813,83
205.720,80
206.619,79
207.787,79
208.712,78
209.592,83
210.762,77
211.686,78
212.609,79
213.783,78
214.665,78
215.541,79
216.757,79
217.634,80
218.560,80
220.022,83
220.702,80
221.539,77
222.799,61
223.581,57
224.602,55
225.970,52
226.701,44
227.482,48
228.897,50
229.582,52
230.455,54
231.820,60
232.844,65
233.475,66
234.742,65
235.571,69
236.500,69
237.646,67
238.788,67
239.473,69
240.750,43
241.716,39
242.400,30
243.570,0
244.449,0
245.375,0
246.593,0
247.420,0
248.348,0
249.611,0
250.443,0
251.359,3
252.737,0
253.417,21
254.295,29
255.754,36
256.392,28
257.460,27
258.488,0
259.420,0
260.243,0
261.460,11
262.338,1
263.309,34
264.437,46
265.455,39
266.240,38
267.454,40
268.285,14
269.212,16
270.382,13
271.308,14
272.477,38
273.355,31
274.281,51
275.204,66
276.362,64
277.255,69
278.477,78
279.397,76
280.281,69
281.189,67
282.470,69
283.205,49
284.129,29
285.306,16
286.176,15
287.103,15
288.272,18
289.175,0
290.078,0
291.343,31
292.173,27
293.080,25
294.220,38
295.146,32
296.075,26
297.337,39
298.169,34
299.097,40
300.217,37
301.096,25
301.973,7
303.193,0
304.068,26
304.948,0
306.358,0
307.041,52
307.970,63
309.332,66
310.015,53
310.942,34
312.111,27
312.989,0
313.922,25
315.085,26
316.012,38
316.889,0
318.204,11
318.985,64
319.864,20
321.126,8
321.961,31
322.933,0
324.450,27
324.932,25
325.810,22
327.031,24
327.907,0
328.833,19
330.291,19
330.882,0
331.809,29
332.979,19
333.857,29
335.026,35
335.995,37
336.877,25
337.754,36
338.930,41
339.858,31
340.727,33
341.946,35
342.958,24
343.796,0
344.920,34
345.989,33
346.821,37
347.942,38
348.771,40
349.745,37
350.916,43
351.745,66
352.681,57
353.843,52
354.722,54
355.645,53
356.817,42
357.696,25
358.618,36
360.038,26
360.715,30
361.592,29
362.762,42
363.777,52
364.566,53
365.788,50
366.665,55
367.685,61
368.711,49
369.681,27
370.515,0
371.735,1
372.850,0
373.682,0
374.810,0
375.583,0
376.612,28
377.679,30
378.652,0
379.434,0
380.656,23
381.539,32
382.481,21
383.968,24
384.504,8
385.433,11
386.601,12
387.575,0
388.404,0
389.815,0
390.512,0
391.477,0
392.559,0
393.476,0
394.356,0
395.668,18
396.740,21
397.326,0
398.545,0
399.425,0
400.299,0
401.910,0
402.398,0
403.273,0
404.493,24
405.370,25
406.247,26
407.616,33
408.440,33
409.270,33
410.634,32
411.412,31
412.440,32
413.415,26
414.388,35
415.218,28
416.389,36
417.316,41
418.434,37
419.363,34
420.382,35
421.165,38
422.494,32
423.261,22
424.142,19
425.358,0
426.234,0
427.158,0
428.434,27
429.208,30
430.085,28
