df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,omega
24.641,0.590
25.417,0.591
25.908,0.593
26.593,0.591
27.221,0.591
27.767,0.591
28.535,0.591
29.031,0.591
29.807,0.591
30.542,0.592
31.168,0.594
31.665,0.591
32.388,0.594
33.120,0.594
33.516,0.592
34.190,0.592
35.070,0.594
35.703,0.596
36.334,0.596
36.968,0.596
37.864,0.596
41.209,0.594
41.896,0.592
42.480,0.594
43.113,0.593
43.747,0.593
44.527,0.593
45.165,0.595
45.892,0.595
46.528,0.595
47.258,0.593
47.989,0.593
48.626,0.593
49.305,0.595
50.033,0.596
50.719,0.597
51.501,0.596
52.182,0.595
52.686,0.594
53.351,0.596
54.097,0.594
54.862,0.594
55.448,0.596
56.176,0.596
56.615,0.596
57.251,0.596
58.131,0.595
58.713,0.592
59.347,0.592
60.030,0.592
60.664,0.592
61.443,0.592
61.980,0.592
62.516,0.591
63.248,0.590
64.077,0.589
64.658,0.587
67.099,0.586
67.827,0.585
69.240,0.585
69.926,0.585
70.657,0.582
71.285,0.582
72.071,0.581
72.705,0.581
73.433,0.581
73.926,0.581
74.657,0.581
75.386,0.581
76.114,0.582
76.599,0.581
77.476,0.582
78.159,0.583
79.042,0.585
79.479,0.587
80.213,0.587
80.897,0.587
81.529,0.587
83.287,0.587
84.162,0.585
84.652,0.585
85.331,0.587
86.014,0.585
86.793,0.585
87.532,0.585
88.258,0.583
88.892,0.583
89.719,0.583
90.204,0.582
90.889,0.582
91.471,0.583
92.693,0.582
94.254,0.582
94.939,0.582
95.619,0.582
96.298,0.582
96.984,0.582
97.421,0.582
98.063,0.583
98.546,0.583
99.280,0.584
100.201,0.584
103.663,0.587
104.298,0.587
105.069,0.584
105.514,0.584
106.098,0.584
106.976,0.584
107.610,0.587
108.392,0.589
108.784,0.589
109.513,0.589
110.197,0.589
110.733,0.586
111.416,0.582
112.243,0.581
112.830,0.586
113.512,0.580
114.097,0.580
114.926,0.580
115.754,0.580
116.288,0.578
116.928,0.575
117.464,0.575
118.188,0.578
118.922,0.581
119.648,0.585
120.136,0.587
120.929,0.587
121.368,0.587
122.090,0.587
122.773,0.587
123.361,0.588
123.992,0.588
124.728,0.589
125.366,0.589
126.049,0.591
126.483,0.592
127.257,0.592
128.477,0.592
129.795,0.590
131.063,0.590
132.814,0.592
135.154,0.592
135.786,0.592
136.376,0.592
137.052,0.592
137.836,0.592
138.519,0.592
140.271,0.590
140.806,0.587
141.443,0.587
143.195,0.588
143.939,0.588
145.928,0.583
146.707,0.581
147.192,0.579
147.892,0.578
148.508,0.578
149.140,0.576
152.168,0.576
152.855,0.572
153.627,0.564
154.164,0.563
154.940,0.561
155.384,0.560
156.165,0.560
157.677,0.560
158.210,0.560
158.902,0.563
159.529,0.563
160.016,0.563
160.710,0.563
161.239,0.563
162.068,0.563
163.088,0.567
163.479,0.572
164.164,0.576
164.744,0.577
165.432,0.578
165.964,0.578
166.890,0.581
167.578,0.584
168.109,0.586
168.753,0.588
169.425,0.589
170.108,0.590
170.739,0.592
171.622,0.592
172.162,0.592
172.840,0.592
173.426,0.592
174.057,0.592
174.595,0.592
175.278,0.592
176.107,0.592
176.737,0.590
177.621,0.592
177.960,0.590
178.784,0.590
179.706,0.589
180.008,0.589
180.589,0.589
181.274,0.588
182.690,0.588
183.468,0.588
183.958,0.587
184.873,0.587
185.564,0.587
186.691,0.588
187.990,0.588
189.173,0.589
190.052,0.589
190.495,0.589
191.127,0.591
191.994,0.591
192.679,0.591
196.479,0.591
197.749,0.596
198.431,0.598
199.209,0.599
199.894,0.602
202.433,0.602
203.008,0.602
203.942,0.602
204.717,0.602
205.302,0.603
205.995,0.602
206.571,0.602
207.264,0.599
208.043,0.599
208.668,0.594
209.255,0.594
209.894,0.594
210.621,0.590
211.835,0.588
212.810,0.590
213.278,0.587
213.887,0.584
214.666,0.584
215.199,0.581
215.882,0.581
216.614,0.581
219.785,0.584
220.432,0.584
221.147,0.584
221.617,0.584
222.271,0.584
224.170,0.584
235.635,0.584
237.438,0.589
244.646,0.600
251.177,0.613
257.176,0.618
258.443,0.619
263.174,0.625
263.872,0.638
264.631,0.648
268.146,0.652
278.645,0.652
286.181,0.652
287.500,0.655
288.048,0.658
289.304,0.655
295.491,0.655
298.177,0.655
298.857,0.658
299.547,0.665
300.029,0.667
300.612,0.679
301.211,0.683
301.833,0.683
305.393,0.683
305.974,0.675
307.776,0.675
309.439,0.671
310.066,0.668
310.561,0.664
311.088,0.664
312.992,0.668
313.488,0.668
314.212,0.668
314.927,0.664
315.676,0.664
316.367,0.660
317.479,0.656
318.507,0.648
319.674,0.636
320.695,0.629
321.481,0.629
322.016,0.629
322.547,0.629
323.089,0.627
323.665,0.627
329.178,0.630
329.663,0.627
330.149,0.625
330.643,0.624
331.130,0.625
332.792,0.625
335.076,0.627
335.468,0.625
336.197,0.625
341.419,0.628
342.061,0.631
343.168,0.632
344.194,0.633
347.217,0.633
347.903,0.633
349.900,0.633
350.988,0.633
352.050,0.638
355.651,0.643
356.139,0.638
