df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,temperature
385.142,36.656
386.163,36.719
387.138,36.719
388.210,36.719
389.137,36.719
390.550,36.719
391.140,36.719
392.159,36.688
393.134,36.688
394.458,36.625
395.136,36.625
396.157,36.594
397.232,36.562
398.155,36.594
399.131,36.562
400.155,36.562
401.129,36.594
402.152,36.625
403.177,36.625
404.152,36.625
405.127,36.656
406.150,36.625
407.181,36.625
408.200,36.625
409.124,36.625
410.148,36.625
411.172,36.625
412.147,36.625
413.125,36.625
414.344,36.656
415.120,36.656
416.144,36.625
417.414,36.656
418.165,36.625
419.139,36.625
420.142,36.625
421.117,36.625
422.396,36.625
423.116,36.594
424.385,36.594
425.415,36.594
426.287,36.625
427.162,36.594
428.234,36.594
429.161,36.594
430.136,36.562
431.169,36.500
432.332,36.500
433.167,36.500
434.133,36.500
435.265,36.469
436.131,36.469
437.156,36.531
438.153,36.531
439.154,36.562
440.141,36.594
441.153,36.688
442.423,36.719
443.152,36.719
444.175,36.750
445.151,36.719
446.130,36.750
447.298,36.719
448.182,36.688
449.155,36.656
450.322,36.625
451.152,36.625
452.130,36.531
453.163,36.531
454.121,36.531
455.344,36.562
456.119,36.531
457.143,36.531
458.170,36.531
459.142,36.531
460.117,36.531
461.145,36.594
462.116,36.625
463.140,36.625
464.236,36.625
465.142,36.594
466.161,36.594
467.141,36.594
468.404,36.625
469.136,36.625
470.355,36.625
471.135,36.625
472.110,36.625
473.133,36.625
474.108,36.625
475.132,36.656
476.156,36.656
477.131,36.688
478.203,36.656
479.130,36.656
480.203,36.656
481.128,36.625
482.152,36.625
483.168,36.625
484.152,36.594
485.126,36.594
486.150,36.594
487.125,36.562
488.148,36.594
489.123,36.625
