df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,acc_mag
4.807,1.003
4.837,0.996
4.867,0.991
4.897,0.993
4.927,1.017
4.957,0.997
4.987,0.991
5.017,1.002
5.047,0.997
5.077,1.002
5.107,1.002
5.137,0.992
5.167,1.000
5.197,1.004
5.227,0.995
5.257,0.998
5.287,1.000
5.317,0.993
5.347,0.998
5.377,0.993
5.407,0.998
5.437,1.003
5.467,0.999
5.497,0.994
5.527,0.998
5.557,0.995
5.587,1.003
5.617,1.002
5.647,0.997
5.677,0.994
5.707,0.993
5.737,0.994
5.767,0.998
5.797,0.997
5.827,1.004
5.857,1.007
5.887,0.998
5.917,0.996
5.947,0.996
5.977,0.994
6.007,1.000
6.037,0.993
6.067,1.000
6.097,1.007
6.127,1.004
6.157,0.997
6.187,0.994
6.217,0.991
6.247,1.006
6.277,0.997
6.307,0.991
6.337,0.997
6.367,1.001
6.397,1.001
6.427,1.000
6.457,1.000
6.487,0.999
6.517,1.000
6.547,0.999
6.577,0.999
6.607,0.998
6.637,0.999
6.667,1.000
6.697,1.002
6.727,0.994
6.757,1.000
6.787,0.996
6.817,1.004
6.847,1.001
6.877,0.998
6.907,0.997
6.937,0.987
6.967,1.009
6.997,0.999
7.027,0.995
7.057,1.000
7.087,0.999
7.117,1.005
7.147,0.995
7.177,0.997
7.207,1.003
7.237,1.002
7.267,1.000
7.297,0.996
7.327,0.997
7.357,1.001
7.387,1.000
7.417,1.001
7.447,0.996
7.477,0.993
7.507,0.997
7.537,1.002
7.567,1.004
7.597,1.004
7.627,1.004
7.657,0.996
7.687,0.988
7.717,1.005
7.747,0.994
7.777,0.999
7.807,0.997
7.837,0.999
7.867,0.999
7.897,1.000
7.927,1.000
7.957,0.991
7.987,1.001
8.017,1.002
8.047,0.990
8.077,0.992
8.107,1.002
8.137,0.996
8.167,1.003
8.197,1.001
8.227,0.993
8.257,0.996
8.287,0.996
8.317,1.004
8.347,1.000
8.377,0.993
8.407,0.997
8.437,0.991
8.467,1.007
8.497,1.008
8.527,0.995
8.557,0.996
8.587,0.997
8.617,0.999
8.647,1.000
8.677,0.996
8.707,0.990
8.737,1.003
8.767,1.000
8.797,0.990
8.827,0.996
8.857,1.003
8.887,1.000
8.917,0.994
8.947,0.995
8.977,0.997
9.007,1.000
9.037,0.993
9.067,0.999
9.097,1.009
9.127,0.995
9.157,0.992
9.187,0.987
9.217,0.993
9.247,1.007
9.277,1.002
9.307,1.000
9.337,0.992
9.367,0.997
9.397,1.002
9.427,0.998
9.457,0.991
9.487,0.998
9.517,1.004
9.547,1.000
9.577,0.992
9.607,1.000
9.637,0.999
9.667,0.996
9.697,0.992
9.727,1.001
9.757,0.998
9.787,0.994
9.817,1.003
9.847,1.000
9.877,0.998
9.907,0.992
9.937,0.990
9.967,1.011
9.997,1.000
10.027,0.991
10.057,0.995
10.087,1.000
10.117,0.996
10.147,0.993
10.177,1.001
10.207,1.007
10.237,1.004
10.267,0.991
10.297,0.993
10.327,1.004
10.357,0.997
10.387,1.002
10.417,0.996
10.447,0.997
10.477,1.001
10.507,0.999
10.537,1.000
10.567,1.002
10.597,1.001
10.627,0.997
10.657,0.988
10.687,1.012
10.717,1.005
10.747,0.990
10.777,0.990
10.807,1.001
10.837,0.998
10.867,0.993
10.897,0.999
10.927,1.001
10.957,1.003
10.987,0.993
11.017,0.999
11.047,0.998
11.077,0.997
11.107,1.001
11.137,0.994
11.167,1.000
11.197,1.003
11.227,1.007
11.257,1.000
11.287,0.993
11.317,0.991
11.347,1.011
11.377,1.002
11.407,0.994
11.437,1.001
11.467,0.998
11.497,0.998
11.527,0.994
11.557,0.999
11.587,1.000
11.617,1.004
11.647,0.996
11.677,0.997
11.707,1.000
11.737,1.000
11.767,0.999
11.797,0.997
11.827,1.000
11.857,1.001
11.887,0.997
11.917,1.004
11.947,0.992
11.977,1.001
12.007,1.008
12.037,0.999
12.067,0.997
12.097,0.998
12.127,0.995
12.157,1.001
12.187,1.000
12.217,0.999
12.247,1.003
12.277,1.000
12.307,0.996
12.337,0.999
12.367,0.993
12.397,0.997
12.427,0.999
12.457,0.998
12.487,1.001
12.517,1.000
12.547,1.005
12.577,0.989
12.607,0.998
12.637,1.014
12.667,0.994
12.697,0.997
12.727,1.000
12.757,1.000
12.787,0.996
12.817,0.999
12.847,0.997
12.877,0.999
12.907,1.002
12.937,0.998
12.967,0.995
12.997,1.001
13.027,1.000
13.057,0.997
13.087,0.992
13.117,1.001
13.147,1.001
13.177,0.997
13.207,1.003
13.237,0.994
13.267,0.994
13.297,1.007
13.327,0.997
13.357,0.989
13.387,0.995
13.417,1.006
13.447,0.999
13.477,0.997
13.507,1.000
13.537,1.001
13.567,1.000
13.597,1.002
13.627,0.998
13.657,0.996
13.687,1.000
13.717,0.999
13.747,1.000
13.777,1.000
13.807,0.996
13.837,1.005
13.867,0.998
13.897,1.003
13.927,1.001
13.957,0.993
13.987,0.989
14.017,1.012
14.047,1.000
14.077,0.989
14.107,0.999
14.137,1.000
14.167,0.996
