df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,perfusion_ir
24.635,0.370
25.414,0.370
25.901,0.370
26.586,0.370
27.215,0.370
27.760,0.370
28.531,0.370
29.023,0.370
29.802,0.370
30.534,0.370
31.164,0.370
31.661,0.370
32.385,0.370
33.117,0.370
33.511,0.370
34.187,0.370
35.067,0.370
35.700,0.380
36.240,0.380
36.934,0.380
37.856,0.380
41.206,0.380
41.892,0.390
42.477,0.390
43.110,0.380
43.744,0.380
44.524,0.380
45.162,0.390
45.889,0.390
46.525,0.390
47.254,0.390
47.985,0.390
48.622,0.390
49.302,0.410
49.988,0.410
50.715,0.410
51.495,0.410
52.178,0.410
52.682,0.410
53.348,0.410
54.086,0.410
54.859,0.410
55.444,0.410
56.173,0.410
56.611,0.410
57.249,0.410
58.125,0.410
58.708,0.410
59.344,0.410
60.027,0.410
60.660,0.410
61.440,0.410
61.977,0.410
62.513,0.400
63.244,0.410
64.073,0.410
64.655,0.420
67.095,0.420
67.824,0.420
69.160,0.420
69.923,0.420
70.654,0.420
71.265,0.420
72.068,0.420
72.702,0.430
73.430,0.430
73.923,0.420
74.652,0.420
75.380,0.420
75.873,0.420
76.556,0.410
77.291,0.410
78.113,0.410
79.039,0.410
79.475,0.410
80.209,0.410
80.892,0.400
81.526,0.400
83.284,0.390
84.158,0.380
84.648,0.380
85.328,0.380
86.010,0.380
86.790,0.380
87.527,0.380
88.255,0.380
88.888,0.380
89.715,0.370
90.201,0.370
90.885,0.370
91.468,0.380
92.689,0.380
94.250,0.380
94.936,0.380
95.615,0.380
96.294,0.380
96.979,0.380
97.418,0.380
98.060,0.380
98.542,0.380
99.273,0.380
100.194,0.380
103.658,0.380
104.294,0.380
104.929,0.380
105.511,0.370
106.096,0.370
106.973,0.370
107.607,0.370
108.290,0.370
108.780,0.370
109.508,0.370
110.194,0.370
110.730,0.370
111.412,0.370
112.238,0.370
112.826,0.370
113.508,0.370
114.094,0.370
114.923,0.370
115.751,0.370
116.284,0.370
116.921,0.370
117.452,0.370
118.184,0.380
118.917,0.380
119.599,0.380
120.133,0.380
120.921,0.380
121.357,0.380
122.086,0.370
122.768,0.370
123.356,0.370
123.987,0.370
124.723,0.370
125.361,0.370
126.037,0.360
126.478,0.360
127.253,0.360
128.472,0.360
129.791,0.360
131.054,0.360
132.811,0.370
135.151,0.370
135.782,0.370
136.372,0.370
137.049,0.370
137.832,0.370
138.515,0.370
140.267,0.370
140.803,0.370
141.439,0.370
143.192,0.380
143.923,0.380
145.924,0.370
146.704,0.370
147.189,0.370
147.889,0.370
148.460,0.370
149.094,0.360
152.164,0.360
152.848,0.350
153.495,0.340
154.161,0.340
154.750,0.340
155.379,0.340
156.162,0.340
157.673,0.330
158.161,0.330
158.894,0.350
159.526,0.350
160.013,0.340
160.704,0.340
161.234,0.340
162.059,0.350
163.083,0.360
163.473,0.370
164.159,0.380
164.739,0.380
165.426,0.380
165.958,0.380
166.884,0.380
167.575,0.380
168.106,0.380
168.750,0.380
169.422,0.380
170.105,0.380
170.735,0.380
171.616,0.380
172.157,0.370
172.835,0.370
173.422,0.370
174.053,0.370
174.592,0.360
175.272,0.360
176.101,0.360
176.732,0.360
177.615,0.350
177.956,0.350
178.779,0.350
179.432,0.350
180.004,0.350
180.586,0.350
181.268,0.350
182.684,0.350
183.462,0.350
183.952,0.350
184.828,0.360
185.558,0.360
186.677,0.360
187.950,0.360
189.169,0.360
190.048,0.370
190.483,0.370
191.118,0.370
191.991,0.380
192.676,0.390
196.476,0.390
197.746,0.390
198.428,0.400
199.206,0.400
199.891,0.400
202.428,0.400
202.965,0.410
203.937,0.420
204.714,0.420
205.158,0.430
205.989,0.430
206.567,0.420
207.254,0.420
208.032,0.420
208.664,0.410
209.250,0.420
209.884,0.420
210.616,0.420
211.832,0.410
212.522,0.410
213.265,0.400
213.882,0.410
214.659,0.410
215.196,0.410
215.879,0.410
216.610,0.410
219.781,0.410
220.418,0.410
221.144,0.410
221.604,0.410
222.267,0.410
224.166,0.410
235.630,0.410
237.429,0.410
244.643,0.400
251.173,0.400
257.173,0.400
258.440,0.400
263.171,0.400
263.856,0.400
264.393,0.390
268.141,0.390
278.627,0.380
286.176,0.370
287.492,0.370
288.043,0.370
289.299,0.350
295.488,0.350
298.169,0.350
298.851,0.350
299.542,0.350
300.025,0.340
300.609,0.350
301.208,0.350
301.826,0.350
305.384,0.360
305.971,0.360
307.772,0.360
309.435,0.350
309.970,0.350
310.557,0.350
311.074,0.340
312.945,0.340
313.483,0.340
314.209,0.330
314.891,0.320
315.672,0.320
316.356,0.320
317.476,0.310
318.503,0.310
319.670,0.310
320.691,0.300
321.477,0.300
322.013,0.300
322.544,0.290
323.083,0.290
323.616,0.290
329.174,0.290
329.615,0.290
330.107,0.290
330.639,0.280
331.126,0.280
332.784,0.280
335.073,0.280
335.465,0.280
336.193,0.280
341.412,0.280
342.047,0.280
343.165,0.280
344.189,0.280
347.214,0.290
347.900,0.290
349.895,0.290
350.979,0.290
352.042,0.290
355.648,0.290
