df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,ppg_med
5.807,466
5.832,536
5.857,647
5.882,706
5.907,683
5.932,658
5.957,722
5.982,840
6.007,884
6.032,812
6.057,735
6.082,775
6.107,884
6.132,891
6.157,736
6.182,572
6.207,563
6.232,644
6.257,586
6.282,310
6.307,21
6.332,-60
6.357,-23
6.382,-168
6.407,-597
6.432,-1040
6.457,-1207
6.482,-1213
6.507,-1451
6.532,-2049
6.557,-2654
6.582,-2894
6.607,-2916
6.632,-3223
6.657,-3976
6.682,-4722
6.707,-4987
6.732,-4958
6.757,-5272
6.782,-6130
6.807,-6959
6.832,-7160
6.857,-6970
6.882,-7188
6.907,-8065
6.932,-8882
6.957,-8890
6.982,-8385
7.007,-8367
7.032,-9151
7.057,-9836
7.082,-9491
7.107,-8487
7.132,-8072
7.157,-8639
7.182,-9069
7.207,-8200
7.232,-6495
7.257,-5518
7.282,-5766
7.307,-5842
7.332,-4284
7.357,-1676
7.382,6
7.407,122
7.432,439
7.457,2819
7.482,6527
7.507,9018
7.532,9443
7.557,10082
7.582,13383
7.607,18404
7.632,21759
7.657,22260
7.682,22964
7.707,27274
7.732,32767
7.757,32767
7.782,32767
7.807,32767
7.832,32767
7.857,32767
7.882,32767
7.907,32767
7.932,32767
7.957,32767
7.982,32767
8.007,32767
8.032,32767
8.057,12241
8.082,-32768
8.107,-32768
8.132,-32768
8.157,-32768
8.182,-32768
8.207,-32768
8.232,-32768
8.257,-32768
8.282,-32768
8.307,-32768
8.332,-32768
8.357,-32768
8.382,-32768
8.407,-29588
8.432,-23871
8.457,-21946
8.482,-21905
8.507,-19835
8.532,-15117
8.557,-10824
8.582,-9310
8.607,-9235
8.632,-7714
8.657,-4252
8.682,-1141
8.707,-178
8.732,-341
8.757,619
8.782,3135
8.807,5436
8.832,6076
8.857,5787
8.882,6293
8.907,7930
8.932,9328
8.957,9378
8.982,8692
9.007,8654
9.032,9538
9.057,10250
9.082,9912
9.107,9015
9.132,8661
9.157,9055
9.182,9315
9.207,8737
9.232,7728
9.257,7175
9.282,7240
9.307,7212
9.332,6535
9.357,5541
9.382,4937
9.407,4841
9.432,4679
9.457,4027
9.482,3189
9.507,2760
9.532,2829
9.557,2890
9.582,2534
9.607,1950
9.632,1600
9.657,1588
9.682,1563
9.707,1234
9.732,748
9.757,456
9.782,436
9.807,425
9.832,205
9.857,-116
9.882,-286
9.907,-257
9.932,-235
9.957,-379
9.982,-601
10.007,-711
10.032,-675
10.057,-646
10.082,-737
10.107,-878
10.132,-932
10.157,-890
10.182,-866
10.207,-922
10.232,-969
10.257,-874
10.282,-634
10.307,-384
10.332,-238
10.357,-175
10.382,-99
10.407,26
10.432,145
10.457,192
10.482,187
10.507,204
10.532,271
10.557,343
10.582,371
10.607,365
10.632,360
10.657,337
10.682,312
10.707,284
10.732,249
10.757,208
10.782,160
10.807,108
10.832,56
10.857,8
10.882,-37
10.907,-91
10.932,-160
10.957,-231
10.982,-267
11.007,-229
11.032,-111
11.057,47
11.082,191
11.107,283
11.132,330
11.157,360
11.182,390
11.207,415
11.232,421
11.257,407
11.282,388
11.307,378
11.332,379
11.357,381
11.382,373
11.407,352
11.432,324
11.457,293
11.482,262
11.507,226
11.532,182
11.557,129
11.582,73
11.607,22
11.632,-21
11.657,-69
11.682,-131
11.707,-203
11.732,-251
11.757,-237
11.782,-144
11.807,3
11.832,155
11.857,268
11.882,332
11.907,365
11.932,387
11.957,402
11.982,406
12.007,395
12.032,378
12.057,366
12.082,363
12.107,362
12.132,353
12.157,331
12.182,301
12.207,271
12.232,242
12.257,209
12.282,165
12.307,111
12.332,56
12.357,9
12.382,-32
12.407,-85
12.432,-155
12.457,-222
12.482,-246
12.507,-190
12.532,-58
12.557,107
12.582,249
12.607,337
12.632,377
12.657,396
12.682,410
12.707,418
12.732,411
12.757,391
12.782,370
12.807,362
12.832,363
12.857,360
12.882,344
12.907,316
12.932,287
12.957,260
12.982,230
13.007,186
13.032,128
13.057,67
13.082,14
13.107,-34
13.132,-93
13.157,-169
13.182,-239
13.207,-259
13.232,-194
13.257,-53
13.282,114
13.307,253
13.332,336
13.357,373
13.382,388
13.407,394
13.432,390
13.457,372
13.482,351
13.507,337
13.532,332
13.557,327
13.582,315
13.607,295
13.632,271
13.657,244
13.682,208
13.707,166
13.732,123
13.757,83
13.782,34
13.807,-34
13.832,-111
13.857,-153
13.882,-119
13.907,-3
13.932,153
13.957,293
13.982,382
14.007,423
14.032,435
14.057,431
14.082,410
14.107,374
14.132,335
14.157,308
14.182,293
14.207,281
14.232,264
14.257,241
14.282,211
14.307,173
14.332,125
14.357,72
14.382,23
14.407,-24
14.432,-85
14.457,-166
14.482,-242
14.507,-261
14.532,-188
14.557,-36
14.582,137
14.607,273
14.632,351
14.657,389
14.682,410
14.707,420
14.732,413
14.757,388
14.782,357
14.807,332
14.832,315
14.857,298
14.882,275
14.907,248
14.932,216
14.957,177
14.982,128
15.007,75
15.032,21
15.057,-39
15.082,-117
15.107,-202
15.132,-254
