df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,respiration_rate
53.457,17
58.137,17
62.647,17
67.197,17
71.487,17
75.507,17
79.727,17
84.277,17
88.527,17
93.027,17
97.237,17
102.047,17
106.557,17
110.627,17
114.677,17
119.377,17
123.887,17
174.327,17
178.947,16
183.637,15
187.717,15
192.237,14
196.797,14
200.937,14
205.637,15
209.767,17
214.377,17
218.447,18
222.887,17
443.607,20
448.147,20
452.687,20
457.297,20
461.917,20
465.947,20
470.067,20
474.077,20
478.627,20
482.687,20
487.177,20
