df_hash,22ZHK4.HLFD3X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F6U0
person_label,V53
date_time_start,2025-10-31_14-12-01.952000_+03
date_time_start_unix,1761905521.952
date_time_end,2025-10-31_14-20-17.243000_+03
length_difference_noticed,no

time,quality
14.935,52
15.818,63
17.172,60
17.912,70
18.788,72
20.005,70
20.926,74
21.902,76
23.120,77
24.007,77
24.975,77
25.951,78
26.925,75
27.803,76
28.970,75
29.853,76
30.785,78
32.044,73
32.783,72
33.851,64
34.872,62
36.090,48
36.677,43
37.897,54
38.772,71
39.649,73
40.840,69
41.746,69
42.643,71
43.891,74
44.719,70
45.646,63
46.816,62
47.742,67
48.668,69
49.789,69
50.962,71
51.545,68
52.764,70
53.787,74
54.567,76
55.737,73
56.660,70
57.559,74
58.857,68
59.657,68
60.514,68
61.684,68
62.611,67
63.537,74
64.707,70
65.586,69
66.462,67
67.681,65
68.558,49
69.731,33
71.047,42
71.532,60
72.410,63
73.871,74
74.556,73
75.432,70
76.798,69
77.530,74
78.406,63
79.576,57
80.550,63
81.474,74
82.550,58
83.478,53
84.594,64
85.526,68
86.421,68
87.327,53
88.497,55
89.423,65
90.447,60
91.617,58
92.397,65
93.275,70
94.880,56
95.563,43
96.309,45
97.467,52
98.344,34
99.563,28
100.441,40
101.415,27
102.255,24
103.414,25
104.387,35
105.216,33
106.389,64
107.292,66
108.239,59
109.456,52
110.386,58
111.166,61
112.384,63
113.298,73
114.140,75
115.310,74
116.536,72
117.119,68
118.292,64
119.499,63
120.182,66
121.263,68
122.186,72
123.109,70
124.618,75
125.166,73
126.281,73
127.309,67
128.135,62
129.152,64
130.474,70
131.153,58
132.106,34
133.396,37
134.152,43
135.053,47
136.175,53
137.152,62
137.979,64
139.149,62
140.026,59
140.952,53
142.122,36
143.048,38
144.121,58
145.190,31
146.023,27
146.900,36
148.070,53
149.144,39
149.873,55
151.090,29
151.970,25
152.945,25
154.019,43
155.089,36
155.821,59
157.040,78
157.917,77
159.097,77
160.160,75
160.893,69
161.794,66
163.153,58
164.105,49
164.986,52
166.059,55
167.131,52
167.765,63
168.981,68
169.861,69
170.981,74
172.052,72
173.132,74
173.712,73
175.075,72
175.813,71
176.881,69
178.197,69
179.027,70
179.949,70
181.168,70
181.759,67
182.931,66
183.898,66
184.883,66
185.620,62
186.872,66
187.705,54
188.873,47
189.800,51
191.067,64
191.603,73
192.775,61
193.651,60
194.578,52
195.796,47
196.747,51
197.553,63
198.767,61
199.647,59
200.529,60
201.792,58
202.640,50
203.596,54
204.725,63
205.884,46
206.475,58
207.737,65
208.576,62
209.468,65
210.957,76
211.543,76
212.484,77
213.639,73
214.568,74
215.442,72
216.807,70
217.564,68
218.419,69
219.632,60
220.464,65
221.390,68
222.560,68
223.487,69
224.604,65
225.580,66
226.460,43
227.384,35
228.508,31
229.454,48
230.357,28
231.530,29
232.408,37
233.333,36
234.503,26
235.573,28
236.310,23
237.478,50
238.507,52
239.327,42
240.746,35
241.377,31
242.255,30
243.474,44
244.303,32
245.472,36
246.542,51
247.322,50
248.349,66
249.373,71
250.393,73
251.228,70
252.346,73
253.273,70
254.150,70
255.369,66
256.438,66
257.270,61
258.343,64
259.222,65
260.144,57
261.662,68
262.195,67
263.117,55
264.339,66
265.317,73
266.094,42
267.407,36
268.187,59
269.068,60
270.478,34
271.116,36
272.042,36
273.212,37
274.161,29
275.015,27
276.186,32
277.206,44
277.990,42
279.256,33
280.183,42
281.009,64
282.206,52
283.066,50
283.937,53
285.204,66
286.035,69
286.912,69
288.178,71
289.007,76
289.932,75
291.103,71
291.982,71
293.152,66
294.077,61
294.954,62
295.880,64
297.051,65
297.935,66
299.098,71
300.168,70
301.146,71
302.022,77
303.005,83
304.119,86
304.802,79
306.069,79
306.849,78
307.873,79
308.945,80
309.872,65
310.751,62
311.946,67
312.850,63
313.823,58
314.951,75
315.819,69
316.697,65
317.943,74
318.795,80
319.968,88
321.135,85
321.910,85
322.669,86
323.863,86
324.786,88
325.810,77
326.836,69
327.812,68
328.838,69
329.811,61
330.688,50
331.617,43
332.933,63
333.954,57
334.588,62
335.806,68
336.976,71
337.616,64
338.830,62
339.610,84
340.556,94
341.754,92
342.729,89
343.555,78
344.723,82
345.605,81
346.772,86
347.751,81
348.628,80
349.501,77
350.627,94
351.554,74
352.430,56
353.601,61
354.527,60
355.404,63
356.627,63
357.501,69
358.378,80
359.597,79
360.476,73
361.351,54
362.571,57
363.497,68
364.423,76
365.785,75
366.448,77
367.300,82
368.564,79
369.445,78
370.419,67
371.538,61
372.369,61
373.296,58
374.494,60
375.538,54
376.564,77
377.488,75
378.366,73
379.243,79
380.413,75
381.388,72
382.509,69
383.530,70
384.460,74
385.191,74
386.555,73
387.297,82
388.356,78
389.383,67
390.557,70
391.238,69
392.368,71
393.235,73
394.453,62
395.361,54
396.208,50
397.135,41
398.305,46
399.182,51
400.108,55
401.316,62
402.202,62
403.134,73
404.444,63
405.228,70
406.056,81
407.226,76
408.152,86
409.029,87
410.200,82
411.126,86
412.003,85
413.174,83
414.146,92
415.026,94
416.242,86
417.123,86
417.954,76
419.172,78
420.093,66
420.925,34
422.386,39
423.021,53
423.947,52
425.409,55
425.995,45
426.921,31
428.209,30
428.968,41
