df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,acc_mag
4.743,0.994
4.773,0.994
4.803,0.992
4.833,0.990
4.863,0.996
4.893,0.993
4.923,0.989
4.953,0.990
4.983,0.991
5.013,0.992
5.043,0.992
5.073,0.992
5.103,0.989
5.133,0.993
5.163,0.995
5.193,0.995
5.223,0.994
5.253,0.991
5.283,0.992
5.313,0.992
5.343,0.991
5.373,0.993
5.403,0.991
5.433,0.992
5.463,0.997
5.493,0.992
5.523,0.998
5.553,0.987
5.583,0.987
5.613,0.994
5.643,0.992
5.673,0.990
5.703,0.991
5.733,0.995
5.763,0.995
5.793,0.991
5.823,0.995
5.853,0.994
5.883,0.994
5.913,0.989
5.943,0.993
5.973,0.992
6.003,0.990
6.033,0.991
6.063,0.995
6.093,0.991
6.123,0.993
6.153,0.992
6.183,0.997
6.213,0.993
6.243,0.989
6.273,0.995
6.303,0.990
6.333,0.993
6.363,0.995
6.393,0.996
6.423,0.994
6.453,0.991
6.483,0.992
6.513,0.991
6.543,0.997
6.573,0.993
6.603,0.995
6.633,0.990
6.663,0.995
6.693,0.989
6.723,0.994
6.753,0.992
6.783,0.987
6.813,0.990
6.843,0.991
6.873,0.994
6.903,0.990
6.933,0.991
6.963,0.991
6.993,0.992
7.023,0.997
7.053,0.995
7.083,0.991
7.113,0.993
7.143,0.992
7.173,0.990
7.203,0.996
7.233,0.993
7.263,0.991
7.293,0.993
7.323,0.999
7.353,0.991
7.383,0.992
7.413,0.997
7.443,0.989
7.473,0.990
7.503,0.992
7.533,0.997
7.563,0.987
7.593,0.992
7.623,0.997
7.653,0.994
7.683,0.991
7.713,0.992
7.743,0.991
7.773,0.995
7.803,0.993
7.833,0.995
7.863,0.992
7.893,0.991
7.923,0.997
7.953,0.994
7.983,0.995
8.013,0.991
8.043,0.992
8.073,0.994
8.103,0.994
8.133,0.994
8.163,0.997
8.193,0.988
8.223,0.989
8.253,0.999
8.283,0.994
8.313,0.988
8.343,0.991
8.373,0.992
8.403,0.994
8.433,0.989
8.463,0.995
8.493,0.995
8.523,0.992
8.553,0.989
8.583,0.994
8.613,0.997
8.643,0.997
8.673,0.990
8.703,0.991
8.733,0.990
8.763,0.994
8.793,0.995
8.823,0.994
8.853,0.991
8.883,0.993
8.913,0.990
8.943,0.996
8.973,0.996
9.003,0.992
9.033,0.997
9.063,0.998
9.093,0.992
9.123,0.993
9.153,0.997
9.183,0.992
9.213,0.994
9.243,0.992
9.273,0.993
9.303,0.988
9.333,0.994
9.363,0.992
9.393,0.990
9.423,0.991
9.453,0.993
9.483,0.994
9.513,0.995
9.543,0.993
9.573,0.992
9.603,0.994
9.633,0.992
9.663,0.994
9.693,0.997
9.723,0.992
9.753,0.996
9.783,0.997
9.813,0.992
9.843,0.994
9.873,0.992
9.903,0.993
9.933,0.995
9.963,0.998
9.993,0.992
10.023,0.997
10.053,0.996
10.083,0.992
10.113,0.993
10.143,0.990
10.173,0.995
10.203,0.996
10.233,0.997
10.263,0.995
10.293,0.995
10.323,0.993
10.353,0.995
10.383,0.997
10.413,0.994
10.443,0.991
10.473,0.975
10.503,0.985
10.533,0.997
10.563,0.979
10.593,1.000
10.623,0.989
10.653,1.000
10.683,1.012
10.713,1.008
10.743,0.997
10.773,0.993
10.803,0.986
10.833,1.009
10.863,0.986
10.893,0.991
10.923,0.997
10.953,1.004
10.983,0.998
11.013,0.990
11.043,1.011
11.073,1.002
11.103,0.979
11.133,0.989
11.163,0.988
11.193,1.003
11.223,1.017
11.253,1.011
11.283,1.005
11.313,0.996
11.343,0.973
11.373,0.977
11.403,0.978
11.433,0.980
11.463,0.974
11.493,0.986
11.523,1.004
11.553,1.010
11.583,1.020
11.613,0.996
11.643,0.995
11.673,0.999
11.703,1.001
11.733,1.008
11.763,1.013
11.793,1.024
11.823,1.006
11.853,1.010
11.883,1.012
11.913,1.020
11.943,1.012
11.973,1.012
12.003,1.016
12.033,1.012
12.063,1.008
12.093,1.006
12.123,1.005
12.153,1.015
12.183,1.009
12.213,1.004
12.243,1.003
12.273,1.013
12.303,1.008
12.333,1.015
12.363,1.019
12.393,0.997
12.423,1.010
12.453,1.004
12.483,1.007
12.513,1.010
12.543,1.009
12.573,1.005
12.603,1.004
12.633,1.001
12.663,1.016
12.693,1.007
12.723,0.991
12.753,0.994
12.783,1.008
12.813,1.007
12.843,0.997
12.873,1.004
12.903,1.008
12.933,1.004
12.963,1.007
12.993,1.008
13.023,1.010
13.053,1.005
13.083,1.011
13.113,1.003
13.143,0.991
13.173,0.972
13.203,1.027
13.233,1.006
13.263,0.976
13.293,1.000
13.323,0.995
13.353,1.016
13.383,0.998
13.413,1.019
13.443,0.989
13.473,1.025
13.503,1.058
13.533,1.010
13.563,0.969
13.593,1.019
13.623,1.017
13.653,0.993
13.683,1.011
13.713,0.996
13.743,0.966
13.773,0.977
13.803,0.990
13.833,1.014
13.863,1.011
13.893,1.022
13.923,1.015
13.953,0.968
13.983,0.953
14.013,0.953
14.043,0.930
14.073,0.953
14.103,0.962
