df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,acc_mag
4.759,1.022
4.789,1.012
4.819,1.025
4.849,1.024
4.879,1.021
4.909,1.017
4.939,1.017
4.969,1.019
4.999,1.023
5.029,1.018
5.059,1.021
5.089,1.018
5.119,1.019
5.149,1.021
5.179,1.021
5.209,1.017
5.239,1.013
5.269,1.021
5.299,1.020
5.329,1.017
5.359,1.020
5.389,1.023
5.419,1.016
5.449,1.027
5.479,1.018
5.509,1.016
5.539,1.021
5.569,1.021
5.599,1.019
5.629,1.019
5.659,1.021
5.689,1.022
5.719,1.017
5.749,1.021
5.779,1.022
5.809,1.021
5.839,1.019
5.869,1.015
5.899,1.017
5.929,1.021
5.959,1.020
5.989,1.020
6.019,1.022
6.049,1.020
6.079,1.021
6.109,1.018
6.139,1.027
6.169,1.017
6.199,1.007
6.229,1.020
6.259,1.026
6.289,1.022
6.319,1.026
6.349,1.017
6.379,1.021
6.409,1.021
6.439,1.020
6.469,1.015
6.499,1.021
6.529,1.024
6.559,1.023
6.589,1.011
6.619,1.014
6.649,1.018
6.679,1.021
6.709,1.032
6.739,1.028
6.769,1.019
6.799,1.020
6.829,1.027
6.859,1.017
6.889,1.014
6.919,1.023
6.949,1.029
6.979,1.021
7.009,1.022
7.039,1.024
7.069,1.025
7.099,1.017
7.129,1.021
7.159,1.023
7.189,1.024
7.219,1.018
7.249,1.019
7.279,1.024
7.309,1.022
7.339,1.018
7.369,1.023
7.399,1.024
7.429,1.015
7.459,1.021
7.489,1.031
7.519,1.024
7.549,1.020
7.579,1.020
7.609,1.024
7.639,1.025
7.669,1.014
7.699,1.017
7.729,1.028
7.759,1.018
7.789,1.027
7.819,1.024
7.849,1.020
7.879,1.019
7.909,1.017
7.939,1.020
7.969,1.021
7.999,1.022
8.029,1.023
8.059,1.026
8.089,1.016
8.119,1.024
8.149,1.020
8.179,1.015
8.209,1.016
8.239,1.024
8.269,1.021
8.299,1.023
8.329,1.020
8.359,1.027
8.389,1.023
8.419,1.016
8.449,1.021
8.479,1.021
8.509,1.021
8.539,1.021
8.569,1.021
8.599,1.023
8.629,1.023
8.659,1.023
8.689,1.022
8.719,1.020
8.749,1.025
8.779,1.018
8.809,1.017
8.839,1.023
8.869,1.026
8.899,1.019
8.929,1.018
8.959,1.021
8.989,1.027
9.019,1.021
9.049,1.020
9.079,1.021
9.109,1.023
9.139,1.025
9.169,1.020
9.199,1.021
9.229,1.021
9.259,1.021
9.289,1.024
9.319,1.021
9.349,1.025
9.379,1.032
9.409,1.020
9.439,1.023
9.469,1.023
9.499,1.018
9.529,1.025
9.559,1.021
9.589,1.038
9.619,1.032
9.649,1.026
9.679,1.030
9.709,1.022
9.739,1.015
9.769,1.018
9.799,1.018
9.829,1.014
9.859,1.004
9.889,1.007
9.919,1.021
9.949,1.022
9.979,1.032
10.009,1.024
10.039,1.021
10.069,1.022
10.099,1.031
10.129,1.027
10.159,1.014
10.189,1.019
10.219,1.027
10.249,1.023
10.279,1.021
10.309,1.027
10.339,1.027
10.369,1.024
10.399,1.021
10.429,1.024
10.459,1.021
10.489,1.019
10.519,1.023
10.549,1.014
10.579,1.030
10.609,1.025
10.639,1.017
10.669,1.020
10.699,1.022
10.729,1.022
10.759,1.028
10.789,1.010
10.819,1.028
10.849,1.031
10.879,1.022
10.909,1.021
10.939,1.022
10.969,1.026
10.999,1.024
11.029,1.022
11.059,1.019
11.089,1.023
11.119,1.024
11.149,1.028
11.179,1.015
11.209,1.030
11.239,1.021
11.269,1.018
11.299,1.028
11.329,1.027
11.359,1.021
11.389,1.024
11.419,1.021
11.449,1.027
11.479,1.023
11.509,1.023
11.539,1.021
11.569,1.021
11.599,1.021
11.629,1.024
11.659,1.021
11.689,1.021
11.719,1.022
11.749,1.024
11.779,1.023
11.809,1.024
11.839,1.023
11.869,1.032
11.899,1.018
11.929,1.022
11.959,1.023
11.989,1.022
12.019,1.025
12.049,1.022
12.079,1.015
12.109,1.024
12.139,1.024
12.169,1.022
12.199,1.022
12.229,1.019
12.259,1.027
12.289,1.022
12.319,1.022
12.349,1.017
12.379,1.023
12.409,1.023
12.439,1.028
12.469,1.017
12.499,1.015
12.529,1.022
12.559,1.031
12.589,1.020
12.619,1.016
12.649,1.025
12.679,1.026
12.709,1.021
12.739,1.022
12.769,1.017
12.799,1.026
12.829,1.022
12.859,1.021
12.889,1.022
12.919,1.020
12.949,1.023
12.979,1.028
13.009,1.024
13.039,1.020
13.069,1.020
13.099,1.026
13.129,1.024
13.159,1.020
13.189,1.019
13.219,1.021
13.249,1.022
13.279,1.028
13.309,1.018
13.339,1.024
13.369,1.024
13.399,1.025
13.429,1.022
13.459,1.025
13.489,1.021
13.519,1.025
13.549,1.021
13.579,1.022
13.609,1.026
13.639,1.023
13.669,1.018
13.699,1.021
13.729,1.025
13.759,1.025
13.789,1.027
13.819,1.028
13.849,1.029
13.879,1.029
13.909,1.021
13.939,1.022
13.969,1.022
13.999,1.026
14.029,1.025
14.059,1.016
14.089,1.018
14.119,1.020
