df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,temperature
5.014,34.406
5.989,34.406
7.012,34.375
7.987,34.406
9.011,34.375
10.037,34.406
11.010,34.438
11.985,34.406
13.014,34.406
13.984,34.406
15.008,34.406
15.983,34.438
17.301,34.438
17.982,34.469
19.005,34.500
19.981,34.531
21.004,34.500
21.979,34.531
23.003,34.562
24.224,34.625
25.002,34.656
25.977,34.688
27.001,34.719
27.976,34.750
29.001,34.719
29.998,34.750
30.999,34.781
31.974,34.812
33.255,34.812
34.363,34.781
34.998,34.812
35.972,34.812
36.995,34.812
38.019,34.750
38.999,34.812
40.023,34.812
40.993,34.812
42.017,34.781
43.014,34.781
44.016,34.812
44.991,34.844
46.019,34.844
46.990,34.875
48.014,34.938
49.086,34.906
50.210,34.969
51.011,34.969
52.011,35.031
52.986,35.094
54.010,35.062
55.008,35.062
56.009,35.094
56.984,35.094
58.008,35.125
58.983,35.125
60.008,35.094
60.982,35.094
62.006,35.062
62.982,35.094
64.005,35.094
65.029,35.062
66.296,35.062
66.979,35.062
68.002,35.062
68.982,35.062
70.199,35.094
70.976,35.125
72.000,35.125
72.977,35.125
74.008,35.156
75.266,35.156
75.998,35.188
76.973,35.188
77.997,35.219
78.972,35.250
79.995,35.219
80.971,35.219
81.996,35.219
82.970,35.250
83.993,35.250
84.968,35.281
86.235,35.312
87.023,35.281
87.991,35.312
89.015,35.250
89.990,35.344
91.014,35.250
92.012,35.250
93.013,35.312
93.988,35.281
95.060,35.250
95.986,35.219
97.011,35.250
97.985,35.250
99.009,35.312
100.035,35.312
101.030,35.344
101.983,35.375
103.272,35.375
103.982,35.375
105.006,35.375
105.981,35.406
107.150,35.406
107.980,35.406
109.005,35.406
109.979,35.438
111.002,35.438
111.978,35.469
113.001,35.469
113.977,35.500
115.008,35.500
115.975,35.500
117.148,35.531
117.980,35.469
118.998,35.500
119.983,35.500
120.997,35.500
121.972,35.469
123.242,35.469
123.971,35.469
124.995,35.469
125.970,35.469
126.993,35.500
127.968,35.531
128.996,35.531
129.967,35.531
130.991,35.531
132.015,35.500
132.995,35.531
134.260,35.531
134.989,35.562
136.013,35.531
136.988,35.531
138.069,35.531
139.031,35.500
140.012,35.406
140.986,35.438
142.009,35.438
142.984,35.438
144.057,35.500
144.987,35.469
146.013,35.500
146.987,35.469
148.033,35.500
148.988,35.562
150.029,35.625
151.229,35.625
152.004,35.656
152.979,35.688
154.007,35.688
154.977,35.688
156.001,35.688
156.979,35.719
158.004,35.750
158.999,35.688
159.999,35.688
161.004,35.719
161.997,35.719
162.973,35.719
163.997,35.688
164.971,35.719
165.996,35.719
166.971,35.688
167.995,35.688
168.973,35.688
169.993,35.688
170.969,35.656
172.012,35.625
172.975,35.625
173.991,35.625
174.966,35.594
176.002,35.625
176.965,35.625
177.989,35.625
178.964,35.625
179.988,35.656
180.975,35.656
182.135,35.688
182.962,35.688
184.045,35.719
185.013,35.688
185.984,35.656
187.008,35.625
187.985,35.656
189.007,35.688
190.029,35.688
191.006,35.656
192.003,35.625
193.006,35.656
193.980,35.625
195.005,35.656
195.979,35.656
197.002,35.688
197.982,35.688
199.099,35.719
199.976,35.719
201.000,35.750
202.013,35.812
203.245,35.750
203.996,35.750
204.998,35.750
205.976,35.812
206.996,35.844
208.218,35.844
208.996,35.844
209.971,35.844
210.994,35.844
211.972,35.875
212.994,35.875
213.972,35.875
214.996,35.844
215.967,35.844
216.995,35.812
217.992,35.781
218.999,35.781
220.119,35.750
220.989,35.719
221.964,35.688
222.987,35.750
224.258,35.781
224.989,35.781
225.961,35.781
226.985,35.781
227.979,35.812
229.035,35.781
229.959,35.812
230.983,35.812
231.958,35.812
232.982,35.781
234.006,35.781
234.985,35.781
236.005,35.719
236.980,35.719
238.003,35.719
238.984,35.719
240.002,35.781
241.269,35.812
242.001,35.812
243.000,35.812
244.049,35.875
245.121,35.906
245.999,36.000
246.974,35.969
247.997,36.000
248.973,36.000
249.997,35.938
251.020,35.906
251.995,35.906
252.970,35.875
253.994,35.844
255.164,35.812
255.995,35.812
256.968,35.781
257.992,35.781
258.967,35.781
259.996,35.781
261.258,35.812
261.990,35.844
262.965,35.844
263.989,35.844
264.964,35.875
265.987,35.844
266.962,35.844
268.037,35.875
269.012,35.812
269.987,35.875
270.963,35.844
271.984,35.844
272.960,35.875
273.983,35.875
275.104,35.875
276.127,35.875
277.053,35.906
277.980,35.906
278.956,35.938
279.980,35.938
281.003,35.906
281.981,35.875
283.008,35.875
283.978,35.875
285.000,35.875
285.992,35.844
287.004,35.844
287.975,35.844
289.004,35.875
289.974,35.875
290.997,35.906
292.267,35.906
293.006,36.000
293.974,36.000
294.995,36.031
295.970,36.031
296.994,36.000
297.969,36.000
298.998,35.969
300.163,35.938
301.009,35.938
301.972,35.969
302.993,35.906
303.966,35.875
304.990,35.906
305.964,35.875
306.988,35.906
307.965,35.906
308.992,35.906
309.967,35.938
311.019,35.906
311.961,35.875
312.985,35.875
314.060,35.938
314.984,35.906
315.961,35.906
316.982,35.938
317.999,35.938
