df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,quality
14.768,77
15.644,82
16.863,73
17.741,72
18.618,78
19.837,78
20.715,71
21.599,80
22.825,79
23.689,80
24.566,81
25.785,76
26.663,77
27.589,72
28.760,83
29.934,88
30.563,80
31.735,53
32.705,51
33.683,64
34.709,72
35.587,63
36.511,72
37.681,78
38.609,71
39.486,72
40.655,80
41.581,83
42.480,86
43.629,85
44.558,79
45.432,78
46.651,85
47.529,85
48.552,83
49.625,83
50.503,78
51.380,82
52.897,80
53.479,76
54.403,77
55.768,79
56.499,76
57.377,78
58.548,78
59.519,85
60.352,83
61.618,82
62.447,77
63.325,77
64.495,80
65.421,83
66.347,69
67.519,60
68.395,60
69.306,71
70.492,72
71.666,62
72.490,66
73.611,68
74.346,73
75.415,77
76.439,65
77.320,63
78.340,64
79.417,58
80.344,32
81.217,0
82.633,39
83.321,26
84.223,27
85.363,53
86.631,62
87.165,78
88.384,73
89.262,78
90.145,60
91.406,53
92.236,67
93.113,74
94.627,80
95.306,84
96.174,83
97.306,80
98.191,80
99.356,84
100.281,83
101.206,86
102.085,81
103.354,81
104.180,73
105.057,79
106.568,70
107.394,62
108.032,64
109.253,76
110.130,79
111.148,77
112.226,81
113.397,83
114.030,85
115.200,74
116.078,71
117.002,72
118.174,74
119.390,67
119.978,48
121.146,31
122.080,23
122.950,28
124.142,0
125.047,0
125.945,0
127.142,44
128.312,63
128.992,61
130.117,75
131.186,72
131.920,63
133.090,60
133.970,69
134.902,71
136.104,73
136.941,71
137.868,67
139.039,74
139.964,75
140.842,79
142.059,82
142.939,79
143.817,83
145.036,81
146.007,85
146.936,82
148.075,80
148.981,75
149.858,74
151.223,60
151.906,60
152.835,59
154.002,42
154.892,26
155.763,34
156.934,22
158.000,27
158.734,49
159.912,46
160.881,32
161.710,40
162.927,37
163.804,32
164.682,52
165.904,50
166.784,39
167.696,0
168.875,0
169.811,6
170.635,0
171.946,0
172.967,24
173.653,55
174.868,61
175.997,59
176.675,58
177.943,53
178.674,51
179.600,54
180.964,74
181.700,60
182.574,53
183.758,58
184.672,70
185.550,75
186.767,75
187.645,64
188.522,63
189.982,72
190.862,78
191.496,76
192.761,77
193.592,69
194.814,64
195.691,69
196.617,68
197.687,80
198.665,84
199.882,56
200.468,45
201.731,48
202.565,48
203.441,44
204.610,45
205.537,45
206.463,41
207.636,61
208.511,68
209.413,80
210.607,60
211.485,55
212.362,54
213.627,49
214.459,36
215.385,51
216.556,60
217.746,73
218.407,90
219.829,88
220.411,88
221.335,86
222.552,84
223.380,84
224.307,80
225.477,76
226.405,60
227.283,63
228.451,74
229.427,79
230.255,80
231.425,82
232.353,82
233.231,85
234.447,82
235.328,75
236.346,76
237.711,81
238.444,82
239.177,81
240.397,75
241.368,65
242.151,63
243.370,70
244.295,34
245.173,28
246.343,0
247.512,24
248.149,0
249.320,25
250.195,51
251.121,24
252.291,32
253.221,36
254.387,30
255.265,25
256.191,26
257.070,37
258.247,0
259.460,41
260.283,44
261.358,55
262.431,52
263.016,73
264.287,64
265.256,38
266.084,46
267.209,61
268.086,66
268.964,63
270.184,59
271.061,37
271.966,35
273.157,36
274.326,33
274.961,28
276.228,25
277.303,46
277.934,35
279.167,40
280.028,68
280.909,71
282.120,69
283.249,38
283.883,30
285.298,23
285.981,29
287.000,39
288.028,0
288.999,28
289.830,36
291.049,0
291.930,33
292.804,31
294.071,45
294.901,47
295.778,50
297.091,59
297.920,58
298.901,67
299.971,46
300.991,44
301.967,48
302.944,52
303.825,43
304.756,47
305.918,40
306.796,29
307.723,0
308.901,34
309.962,53
310.696,48
311.891,41
312.793,36
313.740,28
314.840,33
315.766,46
316.646,52
317.864,50
318.743,31
319.620,23
320.839,28
321.955,24
322.592,0
323.852,24
324.688,25
325.616,35
326.785,1
327.665,0
328.588,3
329.761,3
330.782,12
331.565,3
332.735,0
333.662,32
334.537,0
335.708,27
336.635,32
337.513,19
338.872,30
339.606,35
340.773,32
341.703,40
342.582,41
343.553,35
344.677,20
345.555,23
346.432,27
347.651,0
348.528,0
349.405,0
350.628,0
351.504,0
352.431,0
353.693,0
354.672,6
355.403,5
356.573,4
357.450,21
358.377,17
359.546,10
360.478,5
361.350,0
362.569,5
363.742,0
364.519,0
365.543,0
366.712,4
367.298,6
368.517,0
369.394,40
370.274,48
371.786,51
372.369,50
373.296,46
374.465,49
375.343,57
376.268,55
377.450,49
378.342,46
379.242,40
380.559,44
381.340,44
382.218,45
383.386,39
384.313,28
385.192,24
386.653,0
387.287,28
388.166,41
389.334,0
390.550,0
391.149,0
392.359,26
393.526,44
394.112,41
395.331,19
396.263,29
397.085,0
398.353,22
399.425,27
400.060,32
401.279,30
402.156,36
403.107,31
404.449,31
405.452,0
406.056,23
407.228,21
408.396,16
409.225,28
410.200,38
411.078,35
412.149,45
413.174,48
414.344,49
414.993,39
416.174,21
417.120,26
418.195,0
419.173,0
420.295,19
420.945,22
422.147,0
423.068,25
423.951,26
425.121,28
426.150,39
426.923,28
428.144,26
429.113,29
