df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,heart_rate
14.763,72
15.641,74
16.860,75
17.738,76
18.615,77
19.834,77
20.712,76
21.589,74
22.808,74
23.685,71
24.563,71
25.782,71
26.659,72
27.586,73
28.756,74
29.926,75
30.560,75
31.730,74
32.615,72
33.541,70
34.704,69
35.581,69
36.507,71
37.677,73
38.604,73
39.481,72
40.652,71
41.578,70
42.477,70
43.625,70
44.552,71
45.429,73
46.648,74
47.526,75
48.408,75
49.622,75
50.500,74
51.377,74
52.891,74
53.473,74
54.400,75
55.576,75
56.452,75
57.374,75
58.544,74
59.446,74
60.348,74
61.540,74
62.444,74
63.322,74
64.492,73
65.418,72
66.299,73
67.515,74
68.392,77
69.302,80
70.488,81
71.661,80
72.252,79
73.484,77
74.340,76
75.270,75
76.436,74
77.314,73
78.244,74
79.411,74
80.337,73
81.214,73
82.631,73
83.310,73
84.214,73
85.358,74
86.628,74
87.162,75
88.381,76
89.258,77
90.136,76
91.356,75
92.232,74
93.110,73
94.624,73
95.226,73
96.133,74
97.302,74
98.180,75
99.353,76
100.276,77
101.203,78
102.080,78
103.276,78
104.177,77
105.054,76
106.287,76
107.156,78
108.028,79
109.247,80
110.124,81
111.055,81
112.221,81
113.391,81
114.025,81
115.195,80
116.072,79
116.999,78
118.169,77
119.104,77
119.974,77
121.143,77
122.070,77
122.946,77
124.139,77
125.043,77
125.942,77
127.139,76
128.046,76
128.897,78
130.113,80
130.994,79
131.917,79
133.087,78
133.965,76
134.891,74
136.096,72
136.938,71
137.865,71
139.035,72
139.961,73
140.839,73
142.013,73
142.935,73
143.813,73
145.032,74
145.910,74
146.850,74
148.057,74
148.890,75
149.849,75
151.004,77
151.859,79
152.832,81
153.975,79
154.880,79
155.757,79
156.927,79
157.876,79
158.731,81
159.902,83
160.876,81
161.705,82
162.924,82
163.801,86
164.679,86
165.898,87
166.777,86
167.685,86
168.872,86
169.802,86
170.627,86
171.865,86
172.750,86
173.649,82
174.819,82
175.991,81
176.626,81
177.940,81
178.671,80
179.597,79
180.770,77
181.694,76
182.571,76
183.745,76
184.668,78
185.545,80
186.764,80
187.641,80
188.519,79
189.743,78
190.618,77
191.493,77
192.714,77
193.589,78
194.811,78
195.686,79
196.612,79
197.493,79
198.660,78
199.599,78
200.464,78
201.642,79
202.560,79
203.437,78
204.607,80
205.534,80
206.420,79
207.630,79
208.507,78
209.409,78
210.604,78
211.481,79
212.359,80
213.581,81
214.455,80
215.382,80
216.552,79
217.737,78
218.368,78
219.822,77
220.403,77
221.332,76
222.548,76
223.377,76
224.303,76
225.474,76
226.400,78
227.277,80
228.447,81
229.422,82
230.251,83
231.421,83
232.348,83
233.225,83
234.444,83
235.322,83
236.239,84
237.421,85
238.299,86
239.173,86
240.392,87
241.274,86
242.147,85
243.366,84
244.244,84
245.170,84
246.340,84
247.242,84
248.143,84
249.314,84
250.191,81
251.117,82
252.287,82
253.214,82
254.093,82
255.261,82
256.188,82
257.065,82
258.235,82
259.457,80
260.046,79
261.261,78
262.152,78
263.013,79
264.238,79
265.112,78
265.992,76
267.206,74
268.083,72
268.961,71
270.180,71
271.057,71
271.963,71
273.153,71
274.054,71
274.957,71
276.130,71
277.061,78
277.931,80
279.112,80
279.997,78
280.905,78
282.117,77
283.245,75
283.879,76
285.051,76
285.978,76
286.856,75
288.023,75
288.952,75
289.827,81
291.046,78
291.924,82
292.801,83
294.027,84
294.897,85
295.775,84
296.997,84
297.872,83
298.895,83
299.967,83
300.884,83
301.774,83
302.941,84
303.819,83
304.746,82
305.915,82
306.793,82
307.720,82
308.898,82
309.818,74
310.693,78
311.888,77
312.790,77
313.710,76
314.837,80
315.763,80
316.641,80
317.861,81
318.737,80
319.615,80
320.834,80
321.717,80
322.589,80
323.846,80
324.685,80
325.611,81
326.781,80
327.659,80
328.585,80
329.755,80
330.659,80
331.559,80
332.729,80
333.655,80
334.533,80
335.703,78
336.629,75
337.507,77
338.703,71
339.603,74
340.506,74
341.700,77
342.577,78
343.462,76
344.673,76
345.551,76
346.429,76
347.647,76
348.525,76
349.402,76
350.621,76
351.499,76
352.425,76
353.598,76
354.475,76
355.399,76
356.569,76
357.447,76
358.373,76
359.543,76
360.470,76
361.347,76
362.522,76
363.739,76
364.324,76
365.540,76
366.423,76
367.295,76
368.513,76
369.391,78
370.268,80
371.499,80
372.365,81
373.253,83
374.461,86
375.339,88
376.265,90
377.435,90
378.340,89
379.239,89
380.413,88
381.335,87
382.213,86
383.383,86
384.309,86
385.187,86
386.649,86
387.283,86
388.161,86
389.331,86
390.291,86
391.136,86
392.353,87
393.233,88
394.108,89
395.327,88
396.209,82
397.082,85
398.305,84
399.204,84
400.056,84
401.275,84
402.153,83
403.103,83
404.270,83
405.427,83
406.053,83
407.223,83
408.102,83
409.029,78
410.197,82
411.074,82
412.005,84
413.171,84
414.105,85
414.988,85
416.168,84
417.073,84
418.027,84
419.167,84
420.289,84
420.922,84
422.141,84
423.019,84
423.945,81
425.115,88
426.146,90
426.919,87
428.136,87
428.970,87
