df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,acc_mag
4.604,1.026
4.634,1.021
4.664,1.023
4.694,1.021
4.724,1.025
4.754,1.025
4.784,1.025
4.814,1.021
4.844,1.021
4.874,1.023
4.904,1.022
4.934,1.021
4.964,1.028
4.994,1.022
5.024,1.026
5.054,1.022
5.084,1.032
5.114,1.031
5.144,1.026
5.174,1.024
5.204,1.021
5.234,1.024
5.264,1.025
5.294,1.021
5.324,1.021
5.354,1.024
5.384,1.023
5.414,1.028
5.444,1.029
5.474,1.021
5.504,1.025
5.534,1.023
5.564,1.030
5.594,1.028
5.624,1.026
5.654,1.027
5.684,1.024
5.714,1.024
5.744,1.026
5.774,1.026
5.804,1.026
5.834,1.026
5.864,1.027
5.894,1.028
5.924,1.021
5.954,1.022
5.984,1.021
6.014,1.024
6.044,1.028
6.074,1.028
6.104,1.024
6.134,1.024
6.164,1.024
6.194,1.025
6.224,1.027
6.254,1.029
6.284,1.031
6.314,1.024
6.344,1.029
6.374,1.024
6.404,1.024
6.434,1.024
6.464,1.026
6.494,1.025
6.524,1.025
6.554,1.027
6.584,1.025
6.614,1.028
6.644,1.027
6.674,1.025
6.704,1.031
6.734,1.027
6.764,1.028
6.794,1.022
6.824,1.025
6.854,1.032
6.884,1.027
6.914,1.022
6.944,1.025
6.974,1.025
7.004,1.027
7.034,1.026
7.064,1.024
7.094,1.021
7.124,1.029
7.154,1.031
7.184,1.027
7.214,1.022
7.244,1.025
7.274,1.028
7.304,1.026
7.334,1.025
7.364,1.029
7.394,1.026
7.424,1.025
7.454,1.027
7.484,1.023
7.514,1.022
7.544,1.019
7.574,1.028
7.604,1.028
7.634,1.028
7.664,1.027
7.694,1.021
7.724,1.024
7.754,1.027
7.784,1.025
7.814,1.027
7.844,1.023
7.874,1.027
7.904,1.025
7.934,1.027
7.964,1.026
7.994,1.024
8.024,1.023
8.054,1.021
8.084,1.025
8.114,1.025
8.144,1.026
8.174,1.024
8.204,1.026
8.234,1.030
8.264,1.022
8.294,1.026
8.324,1.026
8.354,1.028
8.384,1.027
8.414,1.026
8.444,1.026
8.474,1.024
8.504,1.024
8.534,1.025
8.564,1.027
8.594,1.028
8.624,1.029
8.654,1.025
8.684,1.032
8.714,1.031
8.744,1.026
8.774,1.023
8.804,1.027
8.834,1.021
8.864,1.025
8.894,1.026
8.924,1.026
8.954,1.026
8.984,1.025
9.014,1.026
9.044,1.027
9.074,1.028
9.104,1.027
9.134,1.028
9.164,1.027
9.194,1.028
9.224,1.028
9.254,1.026
9.284,1.024
9.314,1.028
9.344,1.023
9.374,1.029
9.404,1.030
9.434,1.024
9.464,1.020
9.494,1.031
9.524,1.028
9.554,1.024
9.584,1.021
9.614,1.025
9.644,1.030
9.674,1.029
9.704,1.027
9.734,1.026
9.764,1.027
9.794,1.028
9.824,1.028
9.854,1.030
9.884,1.028
9.914,1.027
9.944,1.025
9.974,1.023
10.004,1.025
10.034,1.029
10.064,1.029
10.094,1.032
10.124,1.023
10.154,1.023
10.184,1.026
10.214,1.027
10.244,1.028
10.274,1.026
10.304,1.028
10.334,1.021
10.364,1.029
10.394,1.028
10.424,1.021
10.454,1.024
10.484,1.028
10.514,1.026
10.544,1.025
10.574,1.024
10.604,1.027
10.634,1.025
10.664,1.024
10.694,1.025
10.724,1.021
10.754,1.022
10.784,1.030
10.814,1.026
10.844,1.027
10.874,1.027
10.904,1.022
10.934,1.026
10.964,1.026
10.994,1.027
11.024,1.028
11.054,1.028
11.084,1.031
11.114,1.024
11.144,1.028
11.174,1.030
11.204,1.023
11.234,1.026
11.264,1.025
11.294,1.024
11.324,1.025
11.354,1.023
11.384,1.029
11.414,1.027
11.444,1.026
11.474,1.027
11.504,1.029
11.534,1.024
11.564,1.023
11.594,1.021
11.624,1.028
11.654,1.029
11.684,1.026
11.714,1.027
11.744,1.027
11.774,1.027
11.804,1.026
11.834,1.025
11.864,1.027
11.894,1.030
11.924,1.020
11.954,1.028
11.984,1.029
12.014,1.023
12.044,1.023
12.074,1.024
12.104,1.026
12.134,1.028
12.164,1.028
12.194,1.026
12.224,1.026
12.254,1.026
12.284,1.028
12.314,1.026
12.344,1.026
12.374,1.028
12.404,1.024
12.434,1.026
12.464,1.024
12.494,1.027
12.524,1.030
12.554,1.025
12.584,1.025
12.614,1.031
12.644,1.024
12.674,1.022
12.704,1.028
12.734,1.029
12.764,1.023
12.794,1.022
12.824,1.029
12.854,1.027
12.884,1.027
12.914,1.027
12.944,1.026
12.974,1.027
13.004,1.026
13.034,1.030
13.064,1.028
13.094,1.022
13.124,1.028
13.154,1.031
13.184,1.026
13.214,1.027
13.244,1.027
13.274,1.023
13.304,1.023
13.334,1.024
13.364,1.030
13.394,1.031
13.424,1.028
13.454,1.024
13.484,1.023
13.514,1.027
13.544,1.026
13.574,1.026
13.604,1.030
13.634,1.025
13.664,1.023
13.694,1.031
13.724,1.027
13.754,1.025
13.784,1.023
13.814,1.029
13.844,1.024
13.874,1.024
13.904,1.031
13.934,1.025
13.964,1.028
