df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,battery
8.914,84
18.908,84
28.903,84
38.994,84
48.891,84
58.886,84
68.977,84
78.881,84
88.869,84
98.912,84
108.916,84
118.901,84
128.894,84
138.889,84
148.883,84
158.996,84
168.970,84
178.885,84
188.864,84
198.922,84
208.898,84
218.991,84
228.887,84
238.978,83
248.875,83
258.922,83
268.867,83
278.858,83
288.852,83
298.908,83
308.891,83
318.884,83
328.936,83
338.889,83
348.880,83
358.861,83
368.878,83
378.849,83
388.892,83
398.886,83
408.881,83
418.875,83
428.870,83
438.868,83
448.858,83
458.852,83
468.898,83
478.841,83
488.883,83
