df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,rr_int
306.257,395
306.696,230
307.524,410
308.906,895
309.328,1335
310.746,490
311.213,1330
311.301,635
312.938,790
313.619,760
313.911,755
314.204,305
315.032,370
315.715,755
316.446,765
317.128,640
317.137,750
317.275,10
317.281,10
317.421,20
317.446,200
318.252,380
318.494,415
318.786,385
319.078,250
319.907,310
320.590,840
320.736,790
320.884,200
321.029,70
321.035,10
321.711,695
322.004,15
322.008,210
322.150,220
323.663,795
324.197,685
325.172,615
325.176,995
325.319,20
325.322,75
326.440,325
326.443,800
326.879,10
327.854,400
328.536,980
328.683,675
328.829,375
328.832,10
329.073,215
330.195,800
330.342,465
330.359,15
331.462,275
332.147,780
332.976,740
334.120,810
334.631,1175
334.923,490
335.898,265
335.915,1005
335.996,10
336.045,95
336.290,15
337.020,300
337.702,790
338.002,715
338.008,210
338.013,10
339.359,680
339.703,730
340.042,275
340.778,410
341.602,745
341.996,845
342.431,310
343.558,490
344.089,1120
344.917,485
346.185,865
347.452,1340
347.456,1195
347.845,10
347.848,410
347.851,10
348.135,10
349.500,345
350.383,1355
350.475,845
350.914,155
352.036,455
352.279,990
353.403,355
353.705,1070
355.063,385
356.618,1375
357.159,1525
357.303,480
357.739,15
358.422,625
359.104,635
359.108,710
359.114,10
359.397,80
360.665,265
362.574,1210
362.712,2060
365.394,1240
365.491,1520
365.495,15
365.640,15
365.688,205
365.692,15
365.695,10
366.076,15
366.080,345
366.758,10
367.051,755
367.587,275
368.419,590
369.148,715
369.686,815
369.857,240
371.491,360
371.825,1375
371.975,605
372.999,15
373.584,1230
373.596,590
374.413,10
374.852,780
375.095,500
375.099,285
375.147,10
375.150,20
375.534,10
376.216,360
376.900,750
377.728,705
378.999,750
379.694,1350
380.409,675
381.921,720
382.749,1485
383.334,855
383.337,560
384.605,15
385.382,1245
385.675,845
386.357,325
386.658,630
387.332,325
388.015,695
388.623,600
389.282,690
390.040,665
390.597,670
391.915,615
392.207,1400
392.213,235
392.259,10
392.264,10
392.403,25
392.408,25
392.413,20
392.618,15
393.183,250
393.865,625
394.158,670
394.597,350
394.840,405
395.717,190
396.272,865
396.937,530
397.472,765
398.447,570
398.457,990
398.596,10
398.601,15
398.740,185
398.745,10
398.893,210
398.991,10
400.544,845
400.690,900
400.693,10
402.056,560
402.496,790
402.933,530
403.177,595
403.329,165
403.359,15
403.368,15
403.376,10
404.009,470
405.712,280
406.248,1615
406.958,555
407.622,750
408.491,620
408.589,820
409.229,230
409.710,450
411.123,630
411.126,1430
411.806,10
412.488,660
413.317,685
413.903,835
414.585,590
414.926,675
415.317,380
415.560,340
415.852,265
416.536,350
416.827,655
417.127,275
417.948,335
417.954,780
418.339,10
418.778,455
419.752,320
420.302,1020
421.410,590
422.098,1165
422.683,585
422.826,660
422.921,275
423.897,450
425.164,460
425.602,1245
425.609,480
425.703,10
425.848,275
426.140,135
426.154,180
426.676,500
427.406,10
427.943,655
428.625,670
428.629,670
428.772,10
428.775,40
428.918,165
428.921,15
429.118,110
429.227,105
429.245,10
431.258,1290
432.233,700
432.236,1150
433.111,10
434.477,865
435.112,1435
435.597,500
435.895,610
435.987,205
436.280,55
437.011,400
437.791,675
438.670,795
439.497,845
439.502,890
440.472,10
441.155,975
442.134,765
442.959,900
442.963,830
443.641,10
443.648,760
444.470,10
445.201,745
445.884,710
446.713,780
447.395,735
448.370,830
448.811,865
448.817,350
448.822,15
449.105,15
449.931,410
450.954,845
451.734,840
452.418,865
453.246,835
454.091,790
454.806,775
455.634,760
456.317,805
457.145,785
457.977,800
458.705,790
458.949,755
459.933,305
460.220,875
461.046,320
461.874,900
462.021,855
462.313,330
462.316,10
463.532,415
464.264,795
465.092,795
465.095,770
465.241,240
466.750,1140
467.189,315
467.876,460
468.700,755
469.383,730
469.821,705
470.068,405
470.311,330
470.796,10
471.479,690
471.482,750
472.308,10
472.600,820
473.136,310
473.969,500
474.111,855
474.115,155
474.259,20
474.266,10
474.306,10
474.310,15
474.313,10
474.316,10
474.560,15
474.802,15
475.623,560
475.626,780
476.354,10
476.500,815
477.183,10
477.625,825
477.868,410
478.012,10
478.995,355
480.110,920
480.352,1070
480.644,335
480.792,545
481.911,745
482.204,300
482.594,350
483.282,350
484.252,655
485.161,1020
485.812,915
485.958,585
486.911,185
487.470,950
488.737,580
490.541,1285
490.985,1850
491.565,330
