df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,quality
15.518,63
16.630,71
17.606,53
18.483,55
19.361,59
20.676,48
21.457,63
22.480,57
23.553,34
24.723,36
25.357,34
26.548,35
27.645,43
28.623,51
29.547,44
30.573,37
31.548,37
32.523,38
33.402,40
34.278,50
35.497,48
36.374,33
37.252,47
38.472,43
39.348,46
40.277,50
41.543,44
42.322,48
43.540,51
44.480,58
45.344,48
46.224,34
47.392,37
48.319,43
49.196,35
50.415,46
51.447,53
52.170,39
53.535,36
54.266,36
55.193,34
56.363,43
57.438,42
58.166,37
59.628,33
60.262,46
61.140,40
62.359,40
63.236,56
64.118,41
65.332,42
66.236,41
67.088,35
68.307,49
69.281,58
70.112,63
71.280,45
72.157,42
73.087,44
74.548,42
75.177,43
76.060,58
77.468,31
78.154,31
79.034,32
80.251,34
81.127,45
82.005,44
83.297,51
84.160,43
85.219,42
86.249,42
87.172,47
88.242,50
89.217,54
90.049,48
90.983,37
92.240,34
93.122,36
93.998,40
95.121,45
96.237,61
96.923,34
98.237,36
99.021,33
99.898,30
101.115,42
101.995,53
103.062,74
104.091,46
105.012,41
106.136,39
107.207,40
107.978,38
108.866,42
110.045,54
110.916,41
111.986,32
113.012,48
113.939,36
114.816,35
115.985,48
116.911,47
118.077,37
119.007,36
119.893,28
120.807,27
122.127,24
122.885,42
123.930,51
124.954,77
125.832,50
126.855,40
127.928,57
128.948,55
129.732,51
131.142,40
131.779,34
132.755,25
133.876,25
134.826,28
135.680,37
136.849,47
137.777,68
138.654,45
139.917,42
140.749,26
141.627,44
142.891,48
143.723,54
144.605,51
145.821,0
146.699,0
147.626,37
148.793,41
149.972,49
150.597,40
151.816,33
152.739,33
153.718,37
154.791,34
155.667,52
156.638,63
157.812,59
158.641,38
159.518,28
160.785,37
161.757,32
162.518,26
163.711,43
164.588,32
165.515,33
166.684,33
167.564,40
168.488,44
169.706,54
170.584,63
171.462,34
172.656,39
173.558,38
174.579,34
175.676,39
176.678,54
177.750,39
178.629,38
179.506,38
180.383,40
181.602,51
182.480,54
183.458,49
184.576,42
185.454,33
186.380,34
187.646,33
188.622,40
189.595,48
190.716,48
191.596,32
192.327,34
193.497,35
194.375,41
195.302,46
196.475,45
197.422,42
198.275,37
199.735,39
200.371,39
201.248,49
202.467,56
203.344,48
204.317,43
205.442,39
206.416,32
207.491,31
208.415,43
209.292,53
210.219,58
211.388,42
212.567,37
213.245,37
214.390,34
215.242,28
216.212,38
217.336,38
218.262,26
219.140,39
220.609,32
221.236,33
222.212,32
223.284,33
224.214,31
225.087,31
226.306,30
227.185,30
228.062,26
229.280,37
230.203,40
231.181,40
232.302,38
233.141,43
234.057,52
235.278,57
236.107,60
237.080,49
238.209,31
239.152,42
240.005,34
241.240,40
242.102,36
242.979,39
244.149,20
245.075,17
245.958,23
247.171,32
248.192,27
248.926,18
250.191,26
251.022,30
252.092,24
253.165,33
254.046,37
254.923,37
256.187,45
256.971,50
257.897,50
259.112,34
260.045,40
260.967,31
262.080,0
262.967,33
263.844,39
265.062,43
266.086,39
266.820,27
268.040,36
268.916,27
269.794,24
271.010,0
271.890,0
272.911,31
273.984,37
275.108,54
275.836,61
277.008,67
277.837,72
278.811,55
280.176,62
280.955,59
281.736,62
282.906,61
283.831,70
284.713,59
285.973,52
287.097,48
287.683,0
288.855,0
289.791,3
290.657,0
291.876,0
292.948,22
293.661,47
294.852,65
295.773,79
296.901,55
297.826,42
298.707,44
299.627,39
300.799,32
301.705,18
302.603,27
304.209,38
304.648,41
305.866,39
306.746,58
307.814,68
308.840,49
309.718,33
310.644,31
311.814,39
312.692,34
313.619,30
314.501,72
315.666,65
316.602,64
317.469,44
318.688,41
319.568,25
320.589,29
321.757,26
322.685,30
323.417,46
324.746,49
325.513,50
326.439,43
327.610,29
328.487,0
329.413,0
330.583,0
331.712,28
332.387,34
333.655,39
334.483,65
335.472,74
336.531,75
337.457,71
338.337,72
339.730,69
340.435,51
341.332,42
342.527,43
343.427,43
344.290,37
345.599,33
346.378,41
347.257,31
348.523,46
349.352,57
350.230,57
351.450,47
352.590,54
353.252,48
354.422,41
355.300,51
356.320,63
357.399,65
358.326,35
359.200,24
360.380,24
361.539,32
362.174,31
363.392,34
364.270,35
365.193,61
366.756,48
367.244,49
368.166,44
369.295,43
370.221,27
371.095,29
372.606,30
373.290,33
374.163,0
375.287,38
376.171,42
377.091,50
378.318,35
379.188,38
380.065,43
381.627,36
382.207,27
383.182,53
384.550,60
385.181,68
386.019,67
387.475,72
388.109,68
388.987,30
390.202,0
391.177,0
391.964,0
393.325,0
394.059,0
394.934,0
396.153,44
397.031,53
397.916,42
399.126,23
400.004,23
400.881,29
402.151,29
402.978,23
403.930,36
405.074,39
406.097,44
406.878,55
408.048,64
408.976,35
410.143,30
411.022,21
411.993,32
413.069,32
413.995,43
415.162,41
415.799,42
417.018,39
417.896,54
418.773,43
419.992,49
420.963,56
421.755,59
422.991,42
423.913,38
424.771,33
425.940,32
426.968,43
427.742,47
429.202,39
429.791,7
