df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,acc_mag
16.761,1.004
16.791,1.000
16.821,1.006
16.851,1.008
16.881,1.006
16.911,1.002
16.941,1.001
16.971,1.007
17.001,0.998
17.031,1.004
17.061,1.008
17.091,1.003
17.121,1.004
17.151,1.002
17.181,1.006
17.211,1.004
17.241,1.011
17.271,1.001
17.301,1.008
17.331,0.997
17.361,1.004
17.391,1.003
17.421,1.000
17.451,1.005
17.481,1.001
17.511,1.010
17.541,1.005
17.571,1.009
17.601,1.009
17.631,1.008
17.661,1.008
17.691,0.995
17.721,0.997
17.751,1.000
17.781,1.004
17.811,1.008
17.841,1.002
17.871,1.007
17.901,1.005
17.931,1.001
17.961,0.998
17.991,1.002
18.021,1.013
18.051,1.008
18.081,1.005
18.111,0.995
18.141,1.008
18.171,1.001
18.201,0.998
18.231,1.002
18.261,1.000
18.291,1.001
18.321,1.002
18.351,1.016
18.381,1.005
18.411,0.998
18.441,1.009
18.471,1.004
18.501,1.004
18.531,1.003
18.561,1.000
18.591,1.004
18.621,1.012
18.651,1.005
18.681,1.003
18.711,1.002
18.741,1.004
18.771,1.002
18.801,1.003
18.831,1.002
18.861,1.014
18.891,1.008
18.921,0.998
18.951,1.003
18.981,1.013
19.011,1.002
19.041,1.004
19.071,1.010
19.101,1.002
19.131,0.996
19.161,1.009
19.191,1.013
19.221,0.997
19.251,1.004
19.281,1.005
19.311,1.017
19.341,1.002
19.371,1.001
19.401,1.003
19.431,1.007
19.461,1.006
19.491,1.004
19.521,1.007
19.551,1.002
19.581,1.006
19.611,1.004
19.641,1.011
19.671,1.007
19.701,1.005
19.731,0.999
19.761,1.007
19.791,1.000
19.821,1.000
19.851,1.002
19.881,1.010
19.911,0.996
19.941,1.006
19.971,1.011
20.001,1.007
20.031,1.000
20.061,1.015
20.091,0.999
20.121,1.008
20.151,1.012
20.181,1.000
20.211,1.002
20.241,1.000
20.271,0.995
20.301,1.012
20.331,1.011
20.361,1.006
20.391,1.003
20.421,1.000
20.451,1.006
20.481,1.003
20.511,1.007
20.541,1.001
20.571,1.016
20.601,1.001
20.631,1.013
20.661,0.999
