df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,ppg_quality
58.441,106
60.461,110
62.481,109
64.501,106
66.521,109
67.531,107
69.541,101
71.561,89
72.571,88
73.581,87
74.591,82
75.601,75
77.621,68
80.651,83
82.671,91
84.691,96
86.711,102
88.731,94
89.741,85
90.751,77
93.781,71
95.801,65
96.811,60
97.821,57
99.841,76
101.851,84
103.871,86
104.881,86
105.891,85
106.901,91
108.921,86
110.941,84
112.961,69
114.981,62
117.001,69
118.011,70
120.031,75
122.051,80
124.071,91
126.091,86
127.101,84
128.111,85
129.121,84
130.131,78
132.151,72
133.161,74
135.171,83
137.191,86
138.201,89
140.221,91
141.231,90
144.261,82
146.281,75
148.301,60
150.321,67
152.341,74
153.351,80
154.361,82
157.391,78
158.401,77
159.411,66
160.421,69
161.431,61
163.451,32
164.461,25
166.481,34
167.491,44
168.501,52
170.521,55
172.541,71
173.551,88
174.561,100
176.581,105
177.591,102
178.601,101
179.611,108
180.621,112
181.631,117
182.641,120
183.651,117
185.671,109
187.691,112
189.711,107
190.721,105
192.741,97
194.761,102
196.781,100
197.791,99
198.801,100
200.821,102
202.841,104
205.871,98
207.891,105
209.911,104
210.921,106
211.931,107
212.941,108
213.951,108
214.961,112
215.971,117
217.991,116
219.001,114
221.021,116
223.041,115
225.061,112
227.081,111
229.101,112
230.111,109
231.121,104
232.131,107
234.151,112
236.171,105
238.191,96
239.201,81
241.221,84
243.241,77
245.261,71
246.271,70
247.281,66
249.301,77
251.321,79
253.341,83
255.361,88
256.371,88
258.391,86
260.411,92
263.441,74
264.451,64
265.461,58
266.471,54
267.481,65
268.491,63
271.521,24
273.541,47
275.561,58
277.581,50
279.601,61
281.621,67
282.631,54
284.651,38
286.671,25
288.691,15
290.711,13
291.721,26
293.741,44
295.761,49
296.771,60
297.781,78
299.801,103
301.821,91
303.841,85
304.851,85
305.861,87
308.891,66
310.911,52
312.931,57
314.951,61
315.961,57
317.981,52
318.991,51
322.021,45
323.031,35
324.041,21
326.061,24
328.081,26
330.101,28
331.111,31
332.121,26
333.131,35
335.151,54
336.161,57
337.171,58
339.191,61
341.211,63
343.231,57
346.261,39
347.271,45
348.281,41
350.301,46
351.311,41
352.321,45
354.341,64
356.361,61
359.391,40
361.411,35
363.431,24
364.441,18
365.451,19
366.461,30
367.471,38
368.481,43
370.501,54
372.521,60
374.541,73
376.561,71
378.581,59
379.591,57
380.601,57
382.621,58
383.631,60
385.651,60
386.661,55
387.671,53
388.681,53
389.691,51
391.711,41
392.721,41
393.731,34
394.741,25
395.751,21
396.761,28
397.771,33
398.781,36
400.801,42
402.821,43
404.841,50
405.851,52
406.861,46
407.871,41
409.891,44
411.911,50
413.931,45
415.951,34
418.981,16
421.001,16
423.021,18
425.041,28
426.051,38
427.061,44
429.081,48
430.091,42
432.111,35
433.121,34
434.131,30
435.141,29
436.151,26
437.161,20
439.181,18
440.191,26
443.221,26
444.231,25
445.241,19
447.261,36
449.281,41
451.301,25
452.311,31
453.321,34
454.331,54
456.351,70
458.371,55
460.391,82
462.411,93
464.431,82
465.441,77
467.461,75
469.481,68
471.501,62
473.521,46
474.531,42
475.541,31
476.551,21
478.571,32
480.591,21
481.601,22
482.611,27
483.621,30
484.631,31
486.651,47
487.661,36
489.681,22
490.691,23
491.701,18
