df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,temperature
6.244,34.094
7.219,34.125
8.243,34.125
9.219,34.125
10.242,34.125
11.317,34.094
12.323,34.031
13.215,34.062
14.239,34.031
15.265,34.094
16.240,34.094
17.214,34.094
18.268,34.094
19.212,34.062
20.235,34.094
21.216,34.031
22.234,34.094
23.209,34.094
24.233,34.094
25.208,34.094
26.231,34.125
27.450,34.125
28.231,34.125
29.449,34.156
30.229,34.125
31.206,34.156
32.231,34.156
33.203,34.219
34.228,34.219
35.251,34.250
36.226,34.250
37.201,34.281
38.273,34.281
39.248,34.219
40.223,34.250
41.246,34.219
42.225,34.250
43.245,34.125
44.221,34.156
45.244,34.188
46.514,34.156
47.243,34.188
48.218,34.188
49.242,34.281
50.253,34.281
51.244,34.344
52.216,34.312
53.239,34.406
54.215,34.375
55.260,34.375
56.213,34.375
57.236,34.344
58.212,34.375
59.333,34.344
60.233,34.344
61.332,34.344
62.259,34.344
63.303,34.344
64.208,34.375
65.281,34.375
66.256,34.375
67.231,34.375
68.209,34.375
69.286,34.406
70.247,34.406
71.228,34.375
72.203,34.438
73.227,34.469
74.250,34.438
75.225,34.438
76.201,34.438
77.224,34.469
78.200,34.469
79.223,34.500
80.198,34.531
81.222,34.531
82.222,34.531
83.318,34.531
84.206,34.531
85.224,34.531
86.490,34.500
87.243,34.500
88.249,34.500
89.222,34.469
90.241,34.469
91.215,34.469
92.245,34.500
93.220,34.469
94.246,34.500
95.219,34.500
96.244,34.531
97.358,34.531
98.249,34.500
99.211,34.469
100.333,34.531
101.210,34.531
102.234,34.500
103.598,34.531
104.232,34.531
105.207,34.562
106.269,34.500
107.215,34.531
108.229,34.562
109.255,34.594
110.229,34.562
111.278,34.594
112.227,34.594
113.202,34.562
114.472,34.531
115.201,34.562
116.227,34.562
117.397,34.562
118.224,34.562
119.276,34.531
120.222,34.500
121.198,34.531
122.225,34.500
123.196,34.562
124.660,34.531
125.195,34.531
126.219,34.531
127.194,34.531
128.217,34.531
129.265,34.531
130.216,34.531
131.242,34.500
132.222,34.500
133.190,34.500
134.214,34.531
135.238,34.531
136.213,34.531
137.236,34.531
138.211,34.531
139.235,34.562
140.231,34.562
141.334,34.531
142.209,34.562
143.233,34.625
144.208,34.625
145.232,34.594
146.206,34.594
147.278,34.688
148.205,34.656
149.228,34.688
150.204,34.688
151.228,34.719
152.203,34.688
153.227,34.625
154.201,34.625
155.230,34.688
156.541,34.656
157.224,34.594
158.199,34.625
159.226,34.594
160.198,34.625
161.325,34.625
162.197,34.656
163.220,34.656
164.195,34.656
165.220,34.656
166.194,34.688
167.269,34.719
168.193,34.688
169.217,34.719
170.193,34.719
171.215,34.750
172.339,34.719
173.215,34.750
174.189,34.719
175.213,34.719
176.192,34.719
177.212,34.688
178.187,34.719
179.455,34.719
180.185,34.750
181.209,34.750
182.406,34.781
183.378,34.719
184.232,34.719
185.207,34.719
186.231,34.688
187.205,34.719
188.278,34.625
189.215,34.594
190.228,34.625
191.203,34.594
192.226,34.625
193.448,34.656
194.226,34.781
195.211,34.781
196.235,34.844
197.199,34.844
198.223,35.000
199.447,35.000
200.222,35.031
201.199,35.031
202.247,35.000
203.195,35.000
204.219,34.938
205.194,34.906
206.218,34.875
207.195,34.844
208.217,34.781
209.192,34.719
210.462,34.719
211.191,34.688
212.215,34.688
213.384,34.719
214.214,34.656
215.223,34.656
216.219,34.688
217.187,34.688
218.211,34.719
219.186,34.781
220.210,34.750
221.185,34.719
222.217,34.750
223.232,34.719
224.221,34.750
225.182,34.750
226.206,34.750
227.193,34.812
228.205,34.812
229.180,34.781
230.352,34.781
231.376,34.781
232.250,34.781
233.234,34.750
234.203,34.781
235.224,34.719
236.397,34.719
237.223,34.656
238.199,34.688
239.222,34.656
240.197,34.656
241.245,34.750
242.200,34.750
243.220,34.781
244.195,34.812
245.221,34.875
246.194,34.812
247.217,34.875
248.198,34.875
249.216,34.906
250.198,34.875
251.215,34.812
252.239,34.781
253.214,34.781
254.189,34.812
255.243,34.781
256.192,34.844
257.211,34.750
258.429,34.781
259.210,34.781
260.185,34.781
261.354,34.781
262.184,34.781
263.207,34.750
264.182,34.750
265.206,34.781
266.182,34.750
267.500,34.781
268.326,34.719
269.211,34.688
270.228,34.688
271.203,34.719
272.229,34.750
273.201,34.750
274.176,34.719
275.200,34.688
276.227,34.688
277.199,34.688
278.319,34.688
279.198,34.688
280.181,34.688
281.245,34.688
282.224,34.688
283.198,34.656
284.224,34.594
285.194,34.594
286.317,34.625
287.282,34.625
288.560,34.625
289.191,34.656
290.215,34.656
291.190,34.656
292.213,34.656
293.188,34.656
294.213,34.719
295.190,34.719
296.211,34.719
297.187,34.688
298.210,34.688
299.429,34.688
300.209,34.688
301.184,34.688
302.209,34.656
303.183,34.656
304.355,34.688
305.182,34.656
306.205,34.688
307.180,34.688
308.204,34.688
309.179,34.656
310.204,34.656
311.178,34.656
312.235,34.688
313.177,34.688
314.200,34.688
315.175,34.688
316.215,34.656
317.174,34.625
318.198,34.656
