df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,rr_int
10.632,4220
11.509,845
11.899,930
12.337,300
13.166,490
13.996,830
14.824,840
14.829,845
15.555,10
16.237,675
16.921,715
17.749,650
17.755,855
18.578,10
19.407,845
20.239,835
20.969,840
21.115,745
21.650,10
22.185,695
22.770,565
23.453,575
24.281,635
25.257,905
26.085,865
26.914,845
27.650,825
28.328,745
28.889,695
29.453,610
29.553,600
30.424,10
31.265,875
32.082,875
32.228,900
33.056,10
33.349,855
33.352,280
33.739,15
34.470,490
34.714,725
35.154,190
35.836,435
36.664,730
37.639,895
38.322,860
39.053,800
39.057,705
39.297,10
39.735,225
39.739,405
40.324,10
40.351,605
41.250,10
42.076,855
42.954,915
43.928,900
44.611,845
45.294,700
45.878,700
46.707,665
47.681,830
47.689,915
48.511,10
49.342,890
50.168,870
50.850,780
50.855,690
51.241,10
51.453,180
51.590,420
52.118,10
52.655,590
53.629,690
54.604,930
55.482,930
55.583,860
56.167,215
56.408,550
56.847,185
56.850,485
57.530,10
57.675,625
57.679,200
57.825,10
58.114,10
58.943,455
59.919,835
60.746,855
61.455,840
62.280,805
62.843,740
62.845,640
63.138,10
63.380,180
63.968,400
63.979,565
64.646,10
65.671,690
66.453,895
67.279,895
68.108,865
68.205,845
68.401,10
68.986,220
69.083,560
69.086,160
69.183,15
69.187,15
69.378,10
69.668,15
70.204,445
70.935,600
71.765,695
72.593,865
73.422,840
73.428,850
73.585,10
73.720,275
73.863,10
73.869,10
74.256,500
74.933,10
75.080,750
75.232,10
75.664,160
76.395,510
76.493,605
76.883,195
77.474,405
78.443,615
79.272,915
79.277,865
80.150,10
80.930,860
81.758,805
81.762,775
82.343,10
82.346,650
83.026,10
83.172,595
83.562,210
84.293,360
85.271,815
85.273,910
86.097,10
87.072,895
87.190,875
87.318,295
87.367,10
87.370,10
88.583,545
88.587,705
88.729,10
88.734,165
88.905,10
88.927,50
88.930,10
88.934,10
89.123,10
89.851,370
90.536,580
91.070,595
91.898,670
92.923,870
93.022,835
93.459,10
94.344,795
94.436,790
94.973,10
95.701,725
95.705,665
95.821,10
95.944,150
95.948,15
95.951,10
95.993,10
95.997,10
96.000,15
96.288,15
96.292,350
96.824,10
97.362,540
97.751,575
98.333,10
99.167,880
99.991,885
100.878,875
101.648,850
102.380,830
102.480,725
103.070,10
103.603,625
104.186,565
104.866,560
105.054,630
105.066,160
105.071,20
105.083,60
105.549,10
105.841,535
106.523,255
107.352,645
107.355,895
107.400,15
107.403,10
107.406,10
107.501,15
108.181,15
108.327,740
108.474,195
108.912,70
109.595,515
110.277,695
110.961,685
111.107,615
111.111,10
111.203,155
111.207,15
111.210,35
111.213,15
111.255,10
111.544,10
111.548,115
111.551,10
112.520,315
113.348,940
114.178,845
114.859,805
115.591,750
116.273,710
116.956,655
117.541,630
118.082,580
118.614,550
119.203,560
119.248,620
120.052,10
121.002,880
121.831,890
122.660,870
123.488,890
123.493,795
124.221,10
124.928,730
125.733,685
126.268,685
127.242,745
127.245,855
127.389,10
127.973,235
128.221,540
128.225,265
128.802,10
128.954,535
129.102,190
129.485,70
129.631,425
130.072,160
130.606,440
131.148,550
131.728,565
132.267,545
132.315,605
133.239,10
134.067,900
134.899,855
135.725,815
135.728,815
136.461,10
137.723,815
138.406,1265
138.942,570
139.820,695
139.924,670
140.356,195
141.039,430
141.042,675
141.185,125
141.188,20
141.233,10
141.237,10
141.240,10
141.282,10
141.285,15
141.289,10
141.295,15
141.575,20
142.160,365
142.712,620
142.896,580
143.380,10
143.525,565
143.964,155
143.967,425
144.818,10
146.498,840
147.284,1680
147.574,885
148.108,10
148.400,810
148.839,220
149.082,530
149.088,285
149.234,10
149.326,10
149.521,20
149.524,305
150.057,10
150.646,565
150.796,550
150.912,10
150.916,270
151.179,15
151.862,260
152.743,655
153.567,840
154.396,865
154.399,840
154.689,10
154.693,330
154.737,15
154.740,10
154.743,15
154.838,10
155.079,20
155.907,395
156.054,845
156.200,135
156.249,10
156.252,15
156.300,20
156.304,10
156.644,10
157.325,495
157.858,645
158.150,605
158.589,160
159.272,460
159.423,705
160.100,225
160.930,610
161.077,885
161.221,180
161.226,15
161.367,10
161.373,205
161.498,135
161.611,10
161.771,230
162.586,795
162.732,145
162.738,75
163.171,15
163.856,445
164.395,585
164.539,600
165.173,10
166.096,745
166.925,915
166.929,880
167.072,10
167.754,205
168.582,630
168.729,815
169.265,235
169.558,520
169.997,195
170.679,500
170.682,635
171.218,10
172.053,595
172.922,885
173.750,845
173.994,795
174.584,330
175.262,475
175.407,755
175.410,170
175.554,10
175.557,15
175.602,20
175.606,10
175.610,10
175.944,15
176.529,430
176.532,585
176.683,10
177.066,145
178.043,410
178.577,615
179.458,840
180.282,895
180.440,840
180.527,200
181.112,20
181.945,620
182.135,765
182.138,190
182.235,10
182.239,10
182.822,10
183.233,460
183.382,625
183.451,180
183.463,20
183.744,55
183.747,300
184.332,10
185.011,575
185.841,645
186.709,850
186.717,835
187.351,10
187.355,795
187.655,10
187.939,195
