df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,heart_rate
15.506,71
16.432,75
17.602,78
18.480,80
19.357,80
20.578,78
21.454,76
22.383,76
23.550,77
24.429,76
25.354,76
26.545,76
27.453,76
28.355,75
29.524,75
30.428,75
31.386,75
32.520,75
33.398,75
34.275,72
35.494,73
36.371,73
37.249,73
38.468,72
39.345,72
40.271,74
41.539,73
42.319,72
43.249,68
44.415,66
45.341,67
46.219,66
47.389,65
48.315,72
49.193,69
50.411,70
51.438,70
52.166,70
53.483,69
54.263,69
55.189,69
56.359,68
57.240,69
58.163,67
59.336,67
60.259,74
61.137,78
62.355,78
63.233,77
64.114,75
65.329,76
66.233,76
67.084,76
68.303,73
69.278,71
70.107,70
71.277,69
72.154,68
73.080,68
74.546,68
75.128,71
76.054,73
77.230,71
78.150,70
79.028,70
80.247,70
81.124,69
82.002,70
83.294,70
84.147,70
85.016,70
86.194,70
87.076,69
87.951,68
89.170,68
90.045,67
90.972,67
92.144,67
93.117,67
93.994,67
95.116,70
96.067,73
96.919,71
98.091,74
99.016,73
99.893,72
101.112,71
101.989,69
102.868,70
104.086,70
104.966,72
105.846,71
107.062,73
107.970,72
108.863,71
110.033,73
110.911,72
111.872,72
113.007,78
113.933,75
114.811,77
115.982,77
116.907,76
117.789,76
119.003,76
119.881,76
120.758,76
121.980,76
122.879,73
123.762,71
124.951,71
125.829,72
126.708,75
127.925,78
128.813,79
129.728,79
130.933,78
131.776,78
132.751,78
133.872,78
134.822,78
135.677,76
136.846,75
137.772,74
138.650,74
139.823,74
140.746,74
141.623,84
142.843,89
143.720,89
144.597,92
145.816,89
146.693,90
147.620,89
148.790,83
149.964,81
150.594,79
151.764,81
152.645,80
153.571,80
154.786,80
155.663,77
156.545,76
157.809,76
158.637,76
159.515,76
160.782,82
161.617,78
162.512,79
163.708,78
164.585,78
165.511,78
166.681,75
167.560,74
168.485,71
169.658,71
170.581,71
171.459,71
172.653,77
173.555,74
174.457,73
175.673,75
176.675,75
177.408,74
178.625,75
179.503,75
180.380,73
181.599,71
182.477,71
183.455,71
184.573,71
185.450,71
186.376,71
187.571,71
188.426,72
189.353,74
190.523,76
191.401,74
192.324,74
193.494,74
194.371,72
195.298,71
196.468,73
197.419,72
198.271,72
199.493,72
200.368,72
201.245,71
202.464,71
203.341,71
204.222,71
205.439,71
206.321,71
207.488,71
208.411,71
209.289,71
210.215,71
211.385,71
212.556,71
213.238,73
214.387,72
215.237,71
216.167,75
217.333,78
218.259,76
219.137,84
220.606,79
221.233,80
222.208,79
223.280,79
224.208,79
225.084,79
226.303,79
227.181,78
228.058,78
229.277,79
230.156,79
231.093,80
232.254,79
233.128,78
234.054,77
235.273,77
236.102,76
237.077,76
238.206,76
239.149,76
240.002,76
241.234,76
242.098,76
242.976,76
244.146,76
245.072,76
245.950,76
247.168,76
248.054,76
248.923,76
250.170,80
251.019,79
251.934,78
253.117,78
254.042,78
254.919,78
256.093,78
256.967,70
257.893,62
259.063,58
260.042,55
260.869,58
262.076,58
262.963,57
263.841,57
265.059,57
265.957,57
266.815,57
268.033,57
268.911,57
269.788,57
271.007,57
271.885,57
272.809,57
273.981,57
275.105,70
275.788,77
277.004,80
277.832,82
278.808,82
280.173,82
280.856,82
281.732,82
282.902,82
283.828,82
284.706,82
285.878,82
286.826,82
287.680,82
288.850,82
289.777,82
290.654,82
291.872,82
292.849,82
293.651,83
294.846,82
295.724,81
296.604,81
297.820,80
298.697,80
299.624,80
300.794,80
301.697,80
302.597,80
303.795,80
304.645,76
305.613,76
306.742,74
307.624,74
308.551,74
309.715,74
310.641,74
311.521,77
312.689,75
313.615,75
314.492,75
315.662,75
316.589,75
317.466,74
318.685,74
319.562,74
320.441,74
321.661,74
322.547,74
323.414,77
324.716,78
325.510,79
326.391,79
327.606,78
328.484,78
329.410,78
330.580,78
331.702,78
332.384,80
333.578,80
334.480,82
335.360,83
336.528,84
337.454,85
338.331,85
339.694,86
340.428,87
341.329,86
342.524,86
343.424,86
344.279,86
345.503,86
346.375,89
347.253,87
348.475,89
349.349,88
350.227,88
351.445,89
352.326,90
353.249,91
354.419,90
355.297,90
356.227,89
357.393,88
358.323,88
359.197,88
360.367,88
361.271,88
362.170,88
363.342,88
364.267,91
365.145,92
366.338,93
367.241,93
368.120,94
369.288,94
370.215,93
371.092,93
372.312,93
373.193,93
374.067,93
375.284,92
376.163,92
377.088,91
378.261,91
379.185,92
380.062,93
381.625,92
382.113,92
383.059,90
384.209,89
385.153,88
386.009,88
387.233,88
388.106,87
388.983,87
390.157,87
391.089,87
391.958,87
393.198,87
394.053,87
394.931,87
396.149,87
397.027,88
397.905,88
399.123,87
400.001,87
400.878,85
402.148,86
402.974,85
403.927,87
405.071,87
405.951,87
406.874,87
408.044,86
408.971,86
409.850,86
411.018,86
411.944,86
412.833,86
413.992,90
414.929,91
415.796,93
417.015,95
417.892,96
418.770,96
419.988,95
420.869,93
421.750,91
422.988,92
423.909,91
424.766,91
425.937,91
426.965,91
427.740,91
428.913,91
429.787,91
