df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,acc_mag
4.791,1.035
4.821,1.044
4.851,1.057
4.881,1.038
4.911,1.039
4.941,1.039
4.971,1.030
5.001,1.035
5.031,1.027
5.061,1.043
5.091,1.048
5.121,1.039
5.151,1.043
5.181,1.038
5.211,1.035
5.241,1.033
5.271,1.044
5.301,1.037
5.331,1.039
5.361,1.035
5.391,1.040
5.421,1.037
5.451,1.033
5.481,1.032
5.511,1.032
5.541,1.025
5.571,1.034
5.601,1.043
5.631,1.035
5.661,1.046
5.691,1.044
5.721,1.040
5.751,1.035
5.781,1.036
5.811,1.050
5.841,1.056
5.871,1.029
5.901,1.015
5.931,1.023
5.961,1.034
5.991,1.041
6.021,1.034
6.051,1.054
6.081,1.076
6.111,1.003
6.141,1.055
6.171,1.048
6.201,1.000
6.231,1.022
6.261,1.026
6.291,1.010
6.321,1.008
6.351,1.029
6.381,1.033
6.411,1.036
6.441,1.050
6.471,1.059
6.501,1.064
6.531,1.046
6.561,1.049
6.591,1.041
6.621,1.023
6.651,1.030
6.681,1.030
6.711,1.024
6.741,1.025
6.771,1.036
6.801,1.048
6.831,1.040
6.861,1.034
6.891,1.028
6.921,1.025
6.951,1.029
6.981,1.022
7.011,1.022
7.041,1.024
7.071,1.018
7.101,1.020
7.131,1.023
7.161,1.025
7.191,1.027
7.221,1.033
7.251,1.027
7.281,1.026
7.311,1.026
7.341,1.027
7.371,1.021
7.401,1.028
7.431,1.023
7.461,1.023
7.491,1.025
7.521,1.022
7.551,1.013
7.581,1.047
7.611,0.988
7.641,1.020
7.671,1.038
7.701,1.027
7.731,1.074
7.761,1.054
7.791,1.040
7.821,1.042
7.851,1.037
7.881,1.018
7.911,1.018
7.941,1.016
7.971,1.028
8.001,1.018
8.031,1.020
8.061,1.024
8.091,1.025
8.121,1.032
8.151,1.041
8.181,1.050
8.211,1.035
8.241,1.017
8.271,1.024
8.301,1.028
8.331,1.026
8.361,1.022
8.391,1.019
8.421,1.019
8.451,1.012
8.481,1.016
8.511,1.035
8.541,1.027
8.571,1.024
8.601,1.023
8.631,1.021
8.661,1.024
8.691,1.017
8.721,1.024
8.751,1.021
8.781,1.025
8.811,1.025
8.841,1.025
8.871,1.019
8.901,1.012
8.931,1.020
8.961,1.017
8.991,1.024
9.021,1.016
9.051,1.014
9.081,1.014
9.111,1.018
9.141,1.023
9.171,1.015
9.201,1.026
9.231,1.024
9.261,1.018
9.291,1.031
9.321,1.032
9.351,1.026
9.381,1.035
9.411,1.040
9.441,1.039
9.471,1.024
9.501,1.015
9.531,1.019
9.561,0.995
9.591,1.008
9.621,0.977
9.651,1.005
9.681,1.045
9.711,1.039
9.741,1.041
9.771,1.027
9.801,1.015
9.831,1.026
9.861,1.021
9.891,1.002
9.921,1.038
9.951,1.027
9.981,1.028
10.011,1.052
10.041,1.010
10.071,1.006
10.101,0.990
10.131,1.003
10.161,0.992
10.191,1.023
10.221,1.023
10.251,1.018
10.281,1.021
10.311,1.013
10.341,0.992
10.371,1.005
10.401,1.015
10.431,1.025
10.461,1.020
10.491,1.017
10.521,1.032
10.551,1.020
10.581,1.010
10.611,1.017
10.641,1.026
10.671,1.006
10.701,1.018
10.731,1.030
10.761,1.006
10.791,1.011
10.821,1.021
10.851,1.036
10.881,1.027
10.911,1.019
10.941,1.030
10.971,1.016
11.001,1.012
11.031,1.017
11.061,1.005
11.091,0.994
11.121,0.990
11.151,1.014
11.181,1.034
11.211,1.073
11.241,1.068
11.271,1.045
11.301,0.986
11.331,1.003
11.361,1.011
11.391,0.980
11.421,1.006
11.451,1.007
11.481,1.011
11.511,1.002
11.541,1.036
11.571,1.021
11.601,1.000
11.631,1.012
11.661,1.007
11.691,1.010
11.721,0.995
11.751,1.018
11.781,1.017
11.811,1.012
11.841,1.012
11.871,1.028
11.901,1.015
11.931,1.010
11.961,1.016
11.991,0.999
12.021,1.014
12.051,1.021
12.081,1.019
12.111,1.018
12.141,1.009
12.171,1.011
12.201,1.018
12.231,1.017
12.261,1.017
12.291,1.026
12.321,1.020
12.351,1.010
12.381,1.014
12.411,1.019
12.441,1.019
12.471,1.022
12.501,1.022
12.531,1.007
12.561,1.017
12.591,1.020
12.621,1.021
12.651,1.024
12.681,1.019
12.711,1.012
12.741,1.014
12.771,1.021
12.801,1.022
12.831,1.016
12.861,1.011
12.891,1.029
12.921,1.021
12.951,1.010
12.981,1.027
13.011,1.010
13.041,1.023
13.071,1.021
13.101,1.020
13.131,1.017
13.161,1.020
13.191,1.021
13.221,1.016
13.251,1.022
13.281,1.018
13.311,1.023
13.341,1.027
13.371,1.024
13.401,1.021
13.431,1.019
13.461,1.025
13.491,1.020
13.521,1.025
13.551,1.028
13.581,1.026
13.611,1.017
13.641,1.019
13.671,1.024
13.701,1.023
13.731,1.033
13.761,1.017
13.791,1.021
13.821,1.021
13.851,1.018
13.881,1.023
13.911,1.025
13.941,1.021
13.971,1.022
14.001,1.025
14.031,1.019
14.061,1.021
14.091,1.024
14.121,1.030
14.151,1.022
14.181,1.021
