df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,ppg_med
5.792,190
5.817,218
5.842,263
5.867,287
5.892,278
5.917,268
5.942,294
5.967,342
5.992,360
6.017,331
6.042,300
6.067,316
6.092,360
6.117,363
6.142,300
6.167,234
6.192,230
6.217,263
6.242,239
6.267,127
6.292,10
6.317,-23
6.342,-8
6.367,-67
6.392,-242
6.417,-421
6.442,-490
6.467,-493
6.492,-590
6.517,-833
6.542,-1079
6.567,-1177
6.592,-1186
6.617,-1312
6.642,-1618
6.667,-1922
6.692,-2030
6.717,-2019
6.742,-2148
6.767,-2497
6.792,-2834
6.817,-2917
6.842,-2840
6.867,-2930
6.892,-3286
6.917,-3618
6.942,-3619
6.967,-3409
6.992,-3397
7.017,-3714
7.042,-3992
7.067,-3849
7.092,-3435
7.117,-3261
7.142,-3490
7.167,-3665
7.192,-3309
7.217,-2608
7.242,-2204
7.267,-2305
7.292,-2337
7.317,-1701
7.342,-633
7.367,57
7.392,103
7.417,227
7.442,1195
7.467,2711
7.492,3729
7.517,3897
7.542,4146
7.567,5484
7.592,7532
7.617,8899
7.642,9091
7.667,9357
7.692,11100
7.717,13819
7.742,15547
7.767,15520
7.792,15538
7.817,17771
7.842,21554
7.867,23709
7.892,22732
7.917,21640
7.942,24895
7.967,31945
7.992,32767
8.017,26193
8.042,4752
8.067,-19261
8.092,-32768
8.117,-32768
8.142,-28077
8.167,-22854
8.192,-22594
8.217,-24155
8.242,-23314
8.267,-19854
8.292,-16799
8.317,-16059
8.342,-16338
8.367,-15349
8.392,-12847
8.417,-10598
8.442,-9831
8.467,-9750
8.492,-8849
8.517,-6946
8.542,-5239
8.567,-4570
8.592,-4377
8.617,-3601
8.642,-2136
8.667,-854
8.692,-346
8.717,-179
8.742,413
8.767,1478
8.792,2367
8.817,2684
8.842,2783
8.867,3208
8.892,3944
8.917,4516
8.942,4694
8.967,4773
8.992,5098
9.017,5579
9.042,5885
9.067,5960
9.092,6074
9.117,6372
9.142,6650
9.167,6712
9.192,6730
9.217,6989
9.242,7371
9.267,7434
9.292,7129
9.317,7096
9.342,7858
9.367,8732
9.392,8026
9.417,4710
9.442,-192
9.467,-4198
9.492,-5532
9.517,-4620
9.542,-3358
9.567,-3109
9.592,-3626
9.617,-3848
9.642,-3341
9.667,-2666
9.692,-2485
9.717,-2722
9.742,-2782
9.767,-2384
9.792,-1873
9.817,-1687
9.842,-1794
9.867,-1794
9.892,-1488
9.917,-1110
9.942,-970
9.967,-1039
9.992,-1023
10.017,-778
10.042,-477
10.067,-359
10.092,-403
10.117,-386
10.142,-191
10.167,46
10.192,143
10.217,110
10.242,123
10.267,281
10.292,484
10.317,584
10.342,578
10.367,588
10.392,689
10.417,807
10.442,838
10.467,789
10.492,764
10.517,818
10.542,888
10.567,885
10.592,814
10.617,754
10.642,736
10.667,732
10.692,686
10.717,598
10.742,523
10.767,495
10.792,488
10.817,454
10.842,387
10.867,328
10.892,301
10.917,287
10.942,253
10.967,202
10.992,162
11.017,148
11.042,138
11.067,106
11.092,62
11.117,38
11.142,48
11.167,72
11.192,77
11.217,60
11.242,43
11.267,46
11.292,64
11.317,80
11.342,91
11.367,103
11.392,117
11.417,120
11.442,107
11.467,87
11.492,82
11.517,95
11.542,107
11.567,95
11.592,59
11.617,19
11.642,-3
11.667,-9
11.692,-6
11.717,-4
11.742,0
11.767,8
11.792,14
11.817,10
11.842,-7
11.867,-26
11.892,-35
11.917,-30
11.942,-15
11.967,1
11.992,20
12.017,39
12.042,60
12.067,81
12.092,99
12.117,111
12.142,117
12.167,122
12.192,126
12.217,130
12.242,128
12.267,123
12.292,116
12.317,112
12.342,110
12.367,109
12.392,106
12.417,101
12.442,97
12.467,93
12.492,89
12.517,82
12.542,68
12.567,51
12.592,36
12.617,29
12.642,29
12.667,33
12.692,36
12.717,39
12.742,47
12.767,62
12.792,81
12.817,96
12.842,100
12.867,94
12.892,86
12.917,83
12.942,85
12.967,85
12.992,80
13.017,69
13.042,59
13.067,53
13.092,52
13.117,56
13.142,62
13.167,69
13.192,73
13.217,72
13.242,62
13.267,49
13.292,43
13.317,49
13.342,69
13.367,96
13.392,130
13.417,175
13.442,237
13.467,308
13.492,368
13.517,394
13.542,377
13.567,327
13.592,267
13.617,218
13.642,184
13.667,159
13.692,135
13.717,108
13.742,82
13.767,59
13.792,39
13.817,16
13.842,-9
13.867,-40
13.892,-71
13.917,-96
13.942,-111
13.967,-115
13.992,-109
14.017,-95
14.042,-75
14.067,-52
14.092,-25
14.117,0
14.142,22
14.167,39
14.192,54
14.217,72
14.242,96
14.267,122
14.292,142
14.317,152
14.342,154
14.367,155
14.392,161
14.417,171
14.442,178
14.467,176
14.492,165
14.517,149
14.542,133
14.567,118
14.592,102
14.617,80
14.642,53
14.667,22
14.692,-5
14.717,-19
14.742,-17
14.767,0
14.792,20
14.817,36
14.842,44
14.867,50
14.892,63
14.917,84
14.942,107
14.967,124
14.992,130
15.017,131
15.042,134
15.067,138
15.092,141
15.117,141
15.142,140
15.167,143
