df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,acc_mag
4.777,1.020
4.807,1.017
4.837,1.023
4.867,1.021
4.897,1.017
4.927,1.018
4.957,1.020
4.987,1.022
5.017,1.021
5.047,1.021
5.077,1.021
5.107,1.022
5.137,1.019
5.167,1.015
5.197,1.020
5.227,1.019
5.257,1.023
5.287,1.022
5.317,1.018
5.347,1.018
5.377,1.021
5.407,1.022
5.437,1.018
5.467,1.020
5.497,1.020
5.527,1.010
5.557,1.024
5.587,1.023
5.617,1.019
5.647,1.018
5.677,1.022
5.707,1.021
5.737,1.017
5.767,1.019
5.797,1.020
5.827,1.021
5.857,1.021
5.887,1.021
5.917,1.020
5.947,1.019
5.977,1.021
6.007,1.021
6.037,1.021
6.067,1.021
6.097,1.018
6.127,1.022
6.157,1.020
6.187,1.019
6.217,1.020
6.247,1.017
6.277,1.017
6.307,1.021
6.337,1.022
6.367,1.019
6.397,1.017
6.427,1.023
6.457,1.020
6.487,1.021
6.517,1.020
6.547,1.021
6.577,1.021
6.607,1.020
6.637,1.021
6.667,1.021
6.697,1.022
6.727,1.019
6.757,1.018
6.787,1.020
6.817,1.023
6.847,1.022
6.877,1.024
6.907,1.014
6.937,1.015
6.967,1.024
6.997,1.019
7.027,1.020
7.057,1.020
7.087,1.021
7.117,1.015
7.147,1.022
7.177,1.025
7.207,1.018
7.237,1.018
7.267,1.017
7.297,1.021
7.327,1.019
7.357,1.017
7.387,1.017
7.417,1.018
7.447,1.021
7.477,1.021
7.507,1.021
7.537,1.019
7.567,1.018
7.597,1.022
7.627,1.025
7.657,1.028
7.687,1.017
7.717,1.020
7.747,1.022
7.777,1.022
7.807,1.021
7.837,1.022
7.867,1.021
7.897,1.020
7.927,1.021
7.957,1.023
7.987,1.026
8.017,1.018
8.047,1.023
8.077,1.016
8.107,1.016
8.137,1.010
8.167,1.019
8.197,1.023
8.227,1.022
8.257,1.038
8.287,1.036
8.317,1.021
8.347,1.013
8.377,1.006
8.407,1.015
8.437,1.014
8.467,1.013
8.497,1.021
8.527,1.030
8.557,1.042
8.587,1.034
8.617,1.008
8.647,1.015
8.677,1.017
8.707,1.018
8.737,1.013
8.767,1.014
8.797,1.025
8.827,1.014
8.857,1.005
8.887,1.023
8.917,1.032
8.947,1.021
8.977,1.021
9.007,1.031
9.037,1.017
9.067,1.022
9.097,1.026
9.127,1.025
9.157,1.024
9.187,1.016
9.217,1.023
9.247,1.021
9.277,1.018
9.307,1.018
9.337,1.019
9.367,1.015
9.397,1.021
9.427,1.015
9.457,1.018
9.487,1.022
9.517,1.027
9.547,1.023
9.577,1.021
9.607,1.021
9.637,1.014
9.667,1.021
9.697,1.022
9.727,1.017
9.757,1.016
9.787,1.020
9.817,1.021
9.847,1.019
9.877,1.026
9.907,1.025
9.937,1.027
9.967,1.019
9.997,1.015
10.027,1.029
10.057,1.022
10.087,1.023
10.117,1.019
10.147,1.016
10.177,1.013
10.207,1.018
10.237,1.024
10.267,1.030
10.297,1.022
10.327,1.026
10.357,1.017
10.387,1.032
10.417,1.024
10.447,1.032
10.477,1.027
10.507,1.018
10.537,1.021
10.567,1.016
10.597,1.019
10.627,1.018
10.657,1.006
10.687,1.011
10.717,1.008
10.747,0.997
10.777,1.011
10.807,1.011
10.837,1.018
10.867,1.028
10.897,1.039
10.927,1.033
10.957,1.027
10.987,1.033
11.017,1.020
11.047,1.017
11.077,1.023
11.107,1.033
11.137,1.026
11.167,1.024
11.197,1.025
11.227,1.030
11.257,1.022
11.287,1.025
11.317,1.022
11.347,1.016
11.377,1.021
11.407,1.010
11.437,1.021
11.467,1.028
11.497,1.027
11.527,1.034
11.557,1.026
11.587,1.028
11.617,1.035
11.647,1.028
11.677,1.021
11.707,1.021
11.737,1.021
11.767,1.023
11.797,1.015
11.827,1.025
11.857,1.022
11.887,1.021
11.917,1.019
11.947,1.015
11.977,1.022
12.007,1.022
12.037,1.022
12.067,1.021
12.097,1.026
12.127,1.016
12.157,1.021
12.187,1.027
12.217,1.031
12.247,1.027
12.277,1.026
12.307,1.028
12.337,1.028
12.367,1.019
12.397,1.026
12.427,1.022
12.457,1.015
12.487,1.027
12.517,1.028
12.547,1.021
12.577,1.018
12.607,1.027
12.637,1.034
12.667,1.021
12.697,1.021
12.727,1.022
12.757,1.024
12.787,1.024
12.817,1.018
12.847,1.024
12.877,1.024
12.907,1.028
12.937,1.021
12.967,1.022
12.997,1.023
13.027,1.017
13.057,1.022
13.087,1.028
13.117,1.020
13.147,1.019
13.177,1.026
13.207,1.029
13.237,1.026
13.267,1.022
13.297,1.024
13.327,1.023
13.357,1.025
13.387,1.025
13.417,1.025
13.447,1.021
13.477,1.021
13.507,1.025
13.537,1.024
13.567,1.022
13.597,1.025
13.627,1.024
13.657,1.021
13.687,1.027
13.717,1.029
13.747,1.020
13.777,1.020
13.807,1.021
13.837,1.025
13.867,1.025
13.897,1.027
13.927,1.023
13.957,1.024
13.987,1.026
14.017,1.022
14.047,1.025
14.077,1.026
14.107,1.023
14.137,1.025
