df_hash,22ZHK4.A7NV4E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T6MJ
person_label,V11
date_time_start,2025-05-22_10-27-42.020000_+03
date_time_start_unix,1747898862.02
date_time_end,2025-05-22_10-35-22.993000_+03
length_difference_noticed,no

time,temperature
5.846,32.719
6.870,32.812
7.948,32.781
8.869,32.781
9.892,32.781
10.867,32.781
11.843,32.750
12.938,32.750
14.087,32.750
14.865,32.750
15.840,32.750
16.864,32.625
17.903,32.656
18.893,32.688
19.837,32.688
20.861,32.688
21.842,32.688
23.106,32.656
23.835,32.656
24.859,32.656
25.836,32.688
26.857,32.750
27.861,32.719
28.856,32.719
29.831,32.719
30.854,32.688
31.830,32.688
32.854,32.719
33.830,32.719
34.852,32.719
35.828,32.719
36.851,32.719
38.072,32.750
38.850,32.719
39.840,32.750
40.849,32.750
41.827,32.781
42.847,32.812
43.845,32.781
44.897,32.812
45.870,32.844
46.893,32.844
47.917,32.750
48.854,32.719
49.868,32.781
50.842,32.812
51.867,32.844
52.941,32.875
53.865,32.938
54.889,32.969
55.863,32.938
56.985,32.969
57.960,33.062
58.843,33.094
59.861,33.062
60.836,33.031
61.860,33.000
62.984,33.031
64.007,32.969
64.834,32.938
65.858,33.000
66.835,33.000
68.151,33.000
68.831,33.000
69.855,33.000
70.878,33.031
71.857,33.031
72.829,33.062
74.099,33.094
75.023,33.094
75.856,33.094
76.827,33.125
78.002,33.125
78.873,33.188
79.849,33.156
80.892,33.219
81.896,33.188
82.826,33.188
83.897,33.188
84.926,33.219
85.845,33.281
86.820,33.250
88.090,33.219
88.971,33.219
89.842,33.250
90.964,33.250
91.842,33.281
92.914,33.281
93.889,33.312
94.864,33.312
96.096,33.250
96.911,33.250
97.881,33.250
99.105,33.250
99.838,33.281
100.860,33.281
101.835,33.281
102.959,33.312
103.919,33.312
104.859,33.344
105.841,33.438
106.857,33.500
107.832,33.531
108.855,33.594
110.074,33.625
110.854,33.656
111.835,33.688
112.853,33.719
113.836,33.812
114.851,33.844
115.844,33.812
116.911,33.812
117.825,33.781
119.092,33.812
119.829,33.812
120.848,33.812
121.823,33.781
122.918,33.812
123.850,33.812
124.846,33.781
125.821,33.781
126.872,33.781
127.917,33.812
128.843,33.781
129.867,33.812
130.890,33.812
131.917,33.781
132.863,33.812
134.110,33.812
135.079,33.812
135.863,33.812
136.907,33.781
137.862,33.781
138.886,33.844
139.909,33.844
140.836,33.812
141.859,33.844
142.981,33.844
143.879,33.781
145.051,33.781
145.906,33.844
146.832,33.875
147.904,33.906
148.933,33.875
149.855,33.906
150.829,33.938
151.858,33.906
152.977,33.969
153.852,34.000
154.846,34.000
155.851,33.938
156.974,33.969
157.849,33.969
158.826,33.969
159.862,33.938
160.823,33.969
161.847,33.969
162.831,33.969
163.849,33.969
164.822,33.969
165.844,34.000
166.821,34.000
167.845,34.000
168.818,34.031
169.842,34.062
170.817,34.031
171.840,34.094
172.816,34.094
173.851,34.094
174.815,34.125
175.847,34.125
176.813,34.125
177.837,34.125
178.881,34.125
179.836,34.125
180.860,34.156
181.883,34.125
182.925,34.125
183.834,34.156
184.933,34.188
185.880,34.188
186.807,34.188
187.836,34.188
188.870,34.188
189.829,34.156
190.853,34.156
191.828,34.188
192.903,34.062
193.827,34.062
194.854,34.062
195.850,34.062
196.862,34.094
197.825,34.094
198.859,34.188
199.824,34.219
200.847,34.219
201.871,34.250
202.895,34.375
204.132,34.375
204.845,34.344
205.820,34.375
206.843,34.375
207.848,34.375
208.891,34.281
209.825,34.312
210.841,34.281
211.816,34.250
212.860,34.219
213.819,34.250
214.841,34.281
215.862,34.281
216.837,34.281
217.963,34.250
218.836,34.250
219.811,34.219
220.835,34.219
221.907,34.219
222.834,34.250
223.817,34.250
224.832,34.219
225.807,34.250
226.841,34.250
227.823,34.281
229.078,34.312
229.805,34.344
230.830,34.375
231.904,34.375
232.828,34.344
233.802,34.375
234.878,34.375
235.857,34.375
236.876,34.344
237.856,34.344
238.832,34.344
240.069,34.219
240.822,34.219
242.261,34.219
243.068,34.188
243.848,34.188
244.820,34.156
245.850,34.188
247.114,34.188
247.842,34.188
248.821,34.156
249.841,34.250
250.816,34.219
251.937,34.219
252.915,34.281
253.839,34.281
254.838,34.312
255.837,34.250
257.105,34.281
257.836,34.281
258.811,34.281
260.033,34.312
260.810,34.312
261.837,34.344
263.057,34.312
263.833,34.281
264.808,34.281
265.831,34.281
266.806,34.281
267.872,34.250
268.805,34.312
269.832,34.312
270.804,34.344
271.828,34.375
272.803,34.406
273.827,34.469
275.145,34.500
275.825,34.531
276.800,34.594
277.825,34.594
278.840,34.625
279.823,34.625
280.798,34.594
281.822,34.594
282.943,34.594
283.861,34.594
284.799,34.594
285.819,34.562
286.843,34.562
287.818,34.562
288.842,34.562
289.817,34.531
290.840,34.531
291.826,34.500
293.036,34.531
293.814,34.531
294.838,34.625
295.812,34.625
296.837,34.688
297.816,34.688
298.835,34.719
299.811,34.750
300.836,34.750
301.809,34.750
302.872,34.750
303.809,34.781
304.832,34.688
305.807,34.656
307.113,34.656
308.003,34.688
308.829,34.656
309.804,34.656
310.828,34.656
311.839,34.656
312.827,34.656
313.802,34.656
314.851,34.656
315.800,34.625
316.873,34.625
317.995,34.625
