df_hash,22ZHK4.A7NV4E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T6MJ
person_label,V11
date_time_start,2025-05-22_10-27-42.020000_+03
date_time_start_unix,1747898862.02
date_time_end,2025-05-22_10-35-22.993000_+03
length_difference_noticed,no

time,acc_mag
5.302,0.995
5.332,0.987
5.362,0.985
5.392,0.985
5.422,0.989
5.452,0.991
5.482,1.000
5.512,0.993
5.542,0.981
5.572,0.985
5.602,0.985
5.632,0.984
5.662,0.992
5.692,0.988
5.722,0.988
5.752,0.992
5.782,0.991
5.812,0.989
5.842,0.984
5.872,0.987
5.902,0.990
5.932,0.988
5.962,0.986
5.992,0.991
6.022,0.992
6.052,0.995
6.082,0.994
6.112,0.982
6.142,0.998
6.172,0.995
6.202,0.983
6.232,0.982
6.262,0.984
6.292,0.993
6.322,0.991
6.352,0.981
6.382,0.991
6.412,0.996
6.442,0.992
6.472,0.983
6.502,0.988
6.532,0.989
6.562,0.990
6.592,0.987
6.622,0.984
6.652,0.987
6.682,0.991
6.712,0.996
6.742,0.993
6.772,0.992
6.802,0.983
6.832,0.988
6.862,0.984
6.892,0.976
6.922,0.978
6.952,0.985
6.982,0.976
7.012,0.997
7.042,1.001
7.072,0.967
7.102,1.000
7.132,0.996
7.162,0.989
7.192,0.974
7.222,0.992
7.252,0.976
7.282,0.998
7.312,1.009
7.342,0.997
7.372,1.008
7.402,1.001
7.432,0.985
7.462,0.970
7.492,0.987
7.522,0.980
7.552,0.976
7.582,0.989
7.612,1.006
7.642,1.000
7.672,0.999
7.702,1.005
7.732,1.003
7.762,0.999
7.792,0.983
7.822,0.987
7.852,0.998
7.882,0.999
7.912,1.009
7.942,1.015
7.972,1.016
8.002,1.031
8.032,1.024
8.062,1.003
8.092,0.983
8.122,0.978
8.152,0.979
8.182,1.006
8.212,1.020
8.242,1.023
8.272,1.024
8.302,1.020
8.332,1.018
8.362,0.998
8.392,0.995
8.422,1.007
8.452,1.008
8.482,1.026
8.512,1.021
8.542,1.018
8.572,1.012
8.602,1.008
8.632,1.013
8.662,1.021
8.692,1.015
8.722,1.010
8.752,0.998
8.782,0.998
8.812,1.007
8.842,1.007
8.872,1.013
8.902,1.014
8.932,1.020
8.962,1.016
8.992,1.020
9.022,1.022
9.052,1.016
9.082,1.012
9.112,1.005
9.142,0.998
9.172,0.999
9.202,1.008
9.232,1.014
9.262,1.007
9.292,1.001
9.322,1.014
9.352,1.011
9.382,1.008
9.412,1.027
9.442,1.019
9.472,0.997
9.502,1.001
9.532,1.009
9.562,1.010
9.592,1.002
9.622,1.006
9.652,1.012
9.682,1.012
9.712,1.000
9.742,1.009
9.772,1.014
9.802,1.004
9.832,1.008
9.862,1.009
9.892,1.020
9.922,1.012
9.952,1.006
9.982,1.012
10.012,1.009
10.042,1.011
10.072,1.006
10.102,1.013
10.132,1.010
10.162,1.010
10.192,1.008
10.222,1.007
10.252,1.011
10.282,1.019
10.312,1.009
10.342,1.007
10.372,1.006
10.402,1.003
10.432,1.006
10.462,1.005
10.492,1.009
10.522,1.010
10.552,1.009
10.582,1.008
10.612,1.014
10.642,1.013
10.672,1.008
10.702,1.007
10.732,1.008
10.762,1.008
10.792,1.006
10.822,1.012
10.852,1.007
10.882,1.006
10.912,1.005
10.942,1.008
10.972,1.007
11.002,1.007
11.032,1.003
11.062,1.016
11.092,1.007
11.122,1.003
11.152,1.013
11.182,1.013
11.212,1.006
11.242,1.007
11.272,1.006
11.302,1.009
11.332,1.009
11.362,1.002
11.392,1.015
11.422,1.014
11.452,1.015
11.482,1.006
11.512,1.010
11.542,1.013
11.572,1.008
11.602,1.006
11.632,1.004
11.662,1.005
11.692,1.011
11.722,1.013
11.752,1.010
11.782,1.004
11.812,1.006
11.842,1.003
11.872,1.009
11.902,1.010
11.932,1.007
11.962,1.007
11.992,1.006
12.022,1.013
12.052,1.014
12.082,1.006
12.112,1.001
12.142,1.007
12.172,1.013
12.202,1.008
12.232,1.003
12.262,1.004
12.292,1.007
12.322,1.011
12.352,1.005
12.382,1.006
12.412,1.008
12.442,1.008
12.472,1.006
12.502,1.006
12.532,1.006
12.562,1.010
12.592,1.008
12.622,1.010
12.652,1.007
12.682,1.007
12.712,1.011
12.742,1.005
12.772,1.002
12.802,1.006
12.832,1.013
12.862,1.018
12.892,1.011
12.922,1.000
12.952,1.003
12.982,1.009
13.012,1.013
13.042,1.014
13.072,1.000
13.102,1.013
13.132,1.010
13.162,1.006
13.192,1.005
13.222,1.008
13.252,1.008
13.282,1.005
13.312,1.011
13.342,1.007
13.372,1.008
13.402,1.009
13.432,1.007
13.462,1.007
13.492,1.008
13.522,1.009
13.552,1.008
13.582,1.005
13.612,1.005
13.642,1.007
13.672,1.007
13.702,1.015
13.732,1.008
13.762,1.001
13.792,1.004
13.822,1.010
13.852,1.009
13.882,1.013
13.912,1.000
13.942,1.011
13.972,1.013
14.002,1.006
14.032,1.004
14.062,1.009
14.092,1.008
14.122,1.009
14.152,1.007
14.182,1.004
14.212,1.008
14.242,1.010
14.272,1.007
14.302,1.008
14.332,1.003
14.362,1.010
14.392,1.005
14.422,1.005
14.452,1.001
14.482,1.008
14.512,1.004
14.542,1.011
14.572,1.008
14.602,1.002
14.632,1.004
14.662,1.008
