df_hash,22ZHK4.A7NV4E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T6MJ
person_label,V11
date_time_start,2025-05-22_10-27-42.020000_+03
date_time_start_unix,1747898862.02
date_time_end,2025-05-22_10-35-22.993000_+03
length_difference_noticed,no

time,quality
8.629,100
18.475,62
19.304,74
20.523,70
21.401,75
22.281,71
23.595,77
24.375,74
25.253,75
26.541,78
27.359,77
28.517,81
29.446,75
30.468,69
31.248,76
32.467,54
33.389,35
34.222,30
35.392,0
36.269,0
37.828,6
38.367,10
39.243,4
40.215,6
41.340,0
42.417,0
43.144,32
44.313,60
45.337,75
46.118,78
47.579,77
48.216,81
49.109,82
50.317,82
51.430,79
52.064,83
53.526,83
54.161,80
55.038,84
56.291,82
57.277,84
58.106,82
59.182,84
60.206,84
60.985,82
62.403,84
63.127,85
64.305,83
65.206,88
66.071,81
66.933,80
68.402,80
69.030,47
69.908,0
71.126,0
72.003,0
72.880,31
74.347,27
75.044,57
76.053,79
77.265,81
78.025,82
79.021,81
80.190,82
80.927,80
81.852,81
83.071,76
84.099,68
84.825,48
85.995,54
86.931,58
87.799,57
89.115,59
89.943,54
90.869,24
91.990,0
92.868,28
93.795,26
94.915,30
96.089,25
96.719,0
97.892,28
98.816,52
99.695,47
100.909,27
101.791,25
102.671,2
104.080,0
104.763,19
105.836,11
106.811,0
107.738,0
108.712,0
109.861,0
110.711,0
111.829,0
112.808,0
113.831,0
114.562,36
115.827,59
116.906,67
117.730,71
118.755,79
119.824,46
120.510,31
121.728,0
122.606,27
123.483,27
124.746,0
125.774,35
126.537,55
127.676,71
128.677,81
129.674,76
130.744,80
131.527,79
132.425,71
133.626,61
134.551,59
135.671,69
136.740,63
137.530,60
138.352,59
139.571,56
140.449,62
141.472,55
142.739,58
143.427,67
144.301,70
145.668,68
146.494,71
147.274,78
148.538,82
149.474,81
150.542,81
151.468,79
152.344,74
153.319,81
154.485,82
155.463,80
156.196,80
157.556,81
158.535,82
159.169,79
160.530,81
161.265,75
162.142,70
163.361,65
164.241,66
165.211,56
166.339,60
167.217,63
168.140,63
169.325,65
170.186,68
171.113,71
172.379,71
173.257,75
174.115,71
175.292,69
176.183,60
177.060,59
178.280,54
179.166,49
180.034,35
181.243,37
182.132,36
183.010,36
184.178,34
185.104,34
186.277,46
187.172,42
188.082,29
189.004,27
190.176,33
191.100,52
192.075,52
193.151,56
194.075,37
194.902,25
196.074,33
197.097,25
197.882,32
199.113,33
200.220,47
201.046,35
202.035,22
202.947,31
204.114,29
205.046,23
205.920,26
206.798,37
208.016,40
208.942,24
209.817,25
210.990,38
211.868,0
212.843,0
213.964,0
214.892,0
215.793,0
216.938,3
217.958,1
218.713,0
220.308,36
220.789,43
221.809,29
222.933,26
223.812,26
224.714,25
225.859,23
226.755,28
227.662,34
228.882,46
229.710,43
230.734,40
231.807,36
232.684,43
233.659,51
234.783,40
235.851,52
236.584,58
237.754,41
238.827,33
239.509,36
240.774,0
241.897,0
242.483,0
243.757,25
244.582,0
245.706,0
246.821,31
247.599,37
248.622,0
249.649,26
250.724,33
251.453,26
252.674,52
253.500,55
254.426,55
255.694,53
256.476,48
257.498,35
258.571,49
259.484,44
260.374,47
261.546,13
262.422,0
263.395,22
264.615,25
265.442,21
266.324,19
267.494,0
268.477,0
269.299,9
270.560,0
271.343,0
272.656,0
273.439,0
274.560,0
275.246,0
276.413,0
277.437,0
278.509,0
279.387,50
280.316,48
281.240,70
282.361,56
283.332,59
284.181,54
285.434,47
286.268,44
287.138,43
288.308,39
289.255,38
290.119,42
291.379,20
292.210,33
293.131,26
294.257,36
295.182,23
296.062,22
297.521,40
298.156,53
299.102,75
300.203,78
301.147,81
302.007,78
303.472,78
304.200,74
305.175,72
306.297,61
307.369,56
308.103,74
309.174,80
310.145,80
311.025,79
312.148,85
313.025,84
314.009,82
315.121,85
316.293,85
317.070,89
318.189,86
318.972,88
319.899,84
321.068,78
322.089,82
322.869,83
324.341,79
325.160,89
325.851,85
327.065,87
327.893,80
328.793,64
329.990,44
330.964,34
331.749,27
333.014,29
333.842,25
334.767,27
335.983,34
336.867,77
337.742,76
338.911,80
339.789,81
340.814,85
341.884,79
342.860,81
343.689,81
345.047,83
345.736,87
346.698,89
348.076,90
348.710,86
349.639,83
350.806,40
351.683,34
352.659,33
354.166,34
354.707,37
355.589,34
356.756,61
357.714,53
358.558,36
359.727,37
360.654,0
361.531,0
362.798,0
363.647,60
364.506,52
365.830,46
366.602,50
367.479,54
368.743,69
369.575,78
370.453,81
371.626,75
372.549,71
373.475,63
374.693,50
375.523,46
376.450,1
377.617,9
378.742,0
379.374,0
380.788,32
381.472,30
382.373,42
383.521,41
384.488,45
385.323,44
386.783,35
387.418,0
388.296,0
389.465,0
390.392,0
391.280,34
392.448,36
393.391,43
394.250,59
395.413,64
396.339,57
397.237,62
398.387,59
399.315,59
400.193,61
401.506,47
402.335,40
403.209,31
404.384,31
405.263,37
406.141,40
407.600,39
408.255,40
409.125,73
410.334,77
411.209,80
412.086,73
413.306,73
414.425,69
415.120,73
416.375,76
417.155,81
418.033,78
419.253,78
420.426,78
421.060,77
422.322,75
423.103,69
424.149,71
425.201,71
426.266,59
427.012,71
428.319,76
429.052,81
430.022,79
431.149,77
