df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,acc_mag
4.558,1.026
4.588,1.029
4.618,1.033
4.648,1.031
4.678,1.027
4.708,1.031
4.738,1.033
4.768,1.029
4.798,1.029
4.828,1.034
4.858,1.035
4.888,1.029
4.918,1.029
4.948,1.030
4.978,1.029
5.008,1.033
5.038,1.033
5.068,1.033
5.098,1.029
5.128,1.031
5.158,1.033
5.188,1.032
5.218,1.035
5.248,1.033
5.278,1.026
5.308,1.028
5.338,1.031
5.368,1.037
5.398,1.031
5.428,1.034
5.458,1.028
5.488,1.025
5.518,1.026
5.548,1.037
5.578,1.033
5.608,1.031
5.638,1.033
5.668,1.029
5.698,1.032
5.728,1.033
5.758,1.033
5.788,1.031
5.818,1.029
5.848,1.033
5.878,1.033
5.908,1.031
5.938,1.029
5.968,1.036
5.998,1.030
6.028,1.038
6.058,1.035
6.088,1.026
6.118,1.034
6.148,1.031
6.178,1.029
6.208,1.034
6.238,1.031
6.268,1.034
6.298,1.032
6.328,1.036
6.358,1.025
6.388,1.030
6.418,1.035
6.448,1.033
6.478,1.030
6.508,1.030
6.538,1.031
6.568,1.033
6.598,1.031
6.628,1.032
6.658,1.030
6.688,1.033
6.718,1.031
6.748,1.032
6.778,1.032
6.808,1.029
6.838,1.029
6.868,1.031
6.898,1.034
6.928,1.028
6.958,1.031
6.988,1.037
7.018,1.029
7.048,1.034
7.078,1.031
7.108,1.030
7.138,1.031
7.168,1.030
7.198,1.036
7.228,1.032
7.258,1.024
7.288,1.025
7.318,1.033
7.348,1.034
7.378,1.034
7.408,1.031
7.438,1.031
7.468,1.029
7.498,1.033
7.528,1.029
7.558,1.028
7.588,1.033
7.618,1.030
7.648,1.032
7.678,1.032
7.708,1.030
7.738,1.026
7.768,1.032
7.798,1.026
7.828,1.031
7.858,1.030
7.888,1.031
7.918,1.026
7.948,1.031
7.978,1.030
8.008,1.031
8.038,1.036
8.068,1.033
8.098,1.027
8.128,1.030
8.158,1.034
8.188,1.032
8.218,1.028
8.248,1.030
8.278,1.031
8.308,1.036
8.338,1.031
8.368,1.031
8.398,1.037
8.428,1.033
8.458,1.042
8.488,1.032
8.518,1.056
8.548,1.040
8.578,1.035
8.608,0.989
8.638,1.000
8.668,1.012
8.698,1.032
8.728,1.051
8.758,1.057
8.788,1.058
8.818,1.074
8.848,1.049
8.878,1.038
8.908,1.022
8.938,1.009
8.968,1.012
8.998,1.012
9.028,1.032
9.058,1.052
9.088,1.055
9.118,1.033
9.148,1.026
9.178,1.026
9.208,1.023
9.238,1.033
9.268,1.042
9.298,1.031
9.328,1.029
9.358,1.033
9.388,1.029
9.418,1.032
9.448,1.035
9.478,1.031
9.508,1.028
9.538,1.028
9.568,1.026
9.598,1.032
9.628,1.035
9.658,1.035
9.688,1.033
9.718,1.030
9.748,1.031
9.778,1.038
9.808,1.031
9.838,1.026
9.868,1.027
9.898,1.037
9.928,1.035
9.958,1.028
9.988,1.022
10.018,1.038
10.048,1.026
10.078,1.037
10.108,1.037
10.138,1.036
10.168,1.026
10.198,1.035
10.228,1.032
10.258,1.035
10.288,1.032
10.318,1.029
10.348,1.037
10.378,1.021
10.408,1.039
10.438,1.025
10.468,1.037
10.498,1.038
10.528,1.033
10.558,1.037
10.588,1.031
10.618,1.013
10.648,1.037
10.678,1.029
10.708,1.025
10.738,1.028
10.768,1.028
10.798,1.033
10.828,1.042
10.858,1.036
10.888,1.025
10.918,1.031
10.948,1.031
10.978,1.032
11.008,1.036
11.038,1.041
11.068,1.037
11.098,1.028
11.128,1.026
11.158,1.024
11.188,1.025
11.218,1.028
11.248,1.034
11.278,1.037
11.308,1.039
11.338,1.033
11.368,1.030
11.398,1.028
11.428,1.033
11.458,1.038
11.488,1.027
11.518,1.023
11.548,1.031
11.578,1.027
11.608,1.037
11.638,1.029
11.668,1.029
11.698,1.037
11.728,1.032
11.758,1.028
11.788,1.029
11.818,1.034
11.848,1.031
11.878,1.033
11.908,1.030
11.938,1.028
11.968,1.029
11.998,1.033
12.028,1.035
12.058,1.035
12.088,1.030
12.118,1.031
12.148,1.027
12.178,1.027
12.208,1.038
12.238,1.035
12.268,1.036
12.298,1.031
12.328,1.030
12.358,1.030
12.388,1.033
12.418,1.032
12.448,1.030
12.478,1.030
12.508,1.031
12.538,1.028
12.568,1.034
12.598,1.029
12.628,1.034
12.658,1.036
12.688,1.025
12.718,1.028
12.748,1.030
12.778,1.030
12.808,1.037
12.838,1.032
12.868,1.026
12.898,1.030
12.928,1.030
12.958,1.031
12.988,1.032
13.018,1.035
13.048,1.031
13.078,1.033
13.108,1.033
13.138,1.033
13.168,1.031
13.198,1.032
13.228,1.027
13.258,1.029
13.288,1.031
13.318,1.032
13.348,1.024
13.378,1.024
13.408,1.027
13.438,1.024
13.468,1.024
13.498,1.027
13.528,1.030
13.558,1.030
13.588,1.027
13.618,1.037
13.648,1.041
13.678,1.030
13.708,1.035
13.738,1.037
13.768,1.032
13.798,1.032
13.828,1.027
13.858,1.033
13.888,1.030
13.918,1.029
