df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,temperature
4.822,30.109
5.817,30.141
6.793,30.203
7.816,30.219
8.795,30.266
9.815,30.344
10.792,30.406
11.862,30.453
12.788,30.469
13.812,30.547
14.787,30.594
15.811,30.688
16.786,30.734
17.809,30.766
18.785,30.859
20.054,30.891
20.783,30.938
21.814,31.016
22.984,31.094
23.841,31.141
24.781,31.188
25.804,31.203
26.779,31.266
27.803,31.297
28.778,31.312
29.806,31.344
30.777,31.391
31.801,31.438
32.809,31.453
34.095,31.484
35.018,31.516
35.798,31.562
36.970,31.594
37.814,31.625
38.872,31.641
39.796,31.703
40.839,31.750
41.794,31.766
42.817,31.859
43.800,31.906
44.816,31.953
45.801,32.000
46.824,32.062
47.988,32.094
48.814,32.125
49.815,32.125
50.813,32.156
51.986,32.219
52.811,32.219
53.786,32.281
54.850,32.312
55.785,32.312
56.809,32.344
57.784,32.344
58.807,32.438
60.077,32.438
60.807,32.469
61.781,32.469
62.831,32.469
63.780,32.500
64.805,32.500
65.779,32.562
66.802,32.562
67.777,32.594
68.801,32.562
69.776,32.594
70.800,32.625
71.775,32.625
72.799,32.688
73.972,32.656
75.187,32.656
75.807,32.656
76.796,32.656
77.771,32.688
78.838,32.719
79.770,32.719
80.802,32.750
81.776,32.781
82.903,32.781
83.767,32.781
84.791,32.781
85.814,32.812
86.796,32.844
87.814,32.844
88.788,32.844
90.056,32.844
90.787,32.875
91.811,32.906
92.862,32.906
93.809,33.000
94.784,33.031
95.808,33.156
96.783,33.188
97.811,33.219
98.782,33.281
99.805,33.344
100.929,33.312
101.804,33.312
102.780,33.344
103.802,33.344
104.781,33.375
105.802,33.281
106.786,33.312
107.800,33.344
108.785,33.375
109.825,33.375
110.920,33.406
111.800,33.438
112.773,33.500
113.796,33.531
114.810,33.500
115.795,33.500
116.770,33.500
117.794,33.531
118.769,33.531
119.792,33.562
120.822,33.594
121.791,33.562
122.766,33.531
123.795,33.562
124.765,33.625
125.812,33.625
126.764,33.625
127.788,33.625
128.862,33.625
129.791,33.625
130.810,33.594
132.031,33.625
132.761,33.656
133.784,33.656
134.807,33.625
135.806,33.656
136.805,33.656
137.781,33.688
138.805,33.719
139.779,33.719
140.803,33.719
141.778,33.719
142.813,33.750
143.779,33.781
144.800,33.812
145.775,33.812
146.800,33.906
147.779,33.938
148.798,33.938
149.777,33.938
150.796,34.031
151.775,34.062
152.804,34.031
153.791,34.031
154.812,34.062
155.769,34.062
156.799,34.031
157.768,34.000
158.826,34.031
159.772,34.031
160.830,34.031
161.817,34.000
162.794,34.000
163.769,34.031
164.787,34.031
165.763,34.031
166.810,34.000
168.008,34.000
168.785,34.031
169.813,34.031
170.784,34.062
172.051,34.062
172.787,34.062
173.770,34.031
174.781,34.062
175.756,34.062
176.781,34.094
177.759,34.094
178.778,34.094
179.805,34.125
180.782,34.125
181.899,34.125
182.776,34.125
183.801,34.156
184.775,34.156
185.835,34.219
187.117,34.219
187.797,34.250
188.773,34.250
189.798,34.281
190.771,34.312
191.804,34.344
192.770,34.344
193.793,34.375
194.790,34.375
195.792,34.375
196.767,34.344
197.791,34.344
198.766,34.375
199.790,34.375
200.765,34.375
201.885,34.375
202.763,34.344
203.787,34.344
204.762,34.375
205.787,34.375
206.761,34.375
207.784,34.344
208.765,34.312
209.783,34.312
210.758,34.312
211.927,34.312
212.814,34.344
213.781,34.344
214.756,34.312
215.779,34.312
216.803,34.312
218.027,34.344
218.753,34.375
219.777,34.375
220.757,34.344
221.775,34.344
222.850,34.312
223.779,34.344
224.749,34.375
225.773,34.438
226.837,34.500
227.771,34.500
228.746,34.469
229.770,34.469
230.745,34.531
231.827,34.531
232.795,34.531
233.768,34.469
234.793,34.406
235.766,34.375
236.790,34.375
238.008,34.375
238.789,34.406
239.842,34.438
240.791,34.438
241.762,34.469
242.787,34.562
243.810,34.562
244.785,34.625
245.957,34.656
246.783,34.688
247.856,34.688
248.782,34.656
249.757,34.656
250.781,34.625
251.755,34.625
252.780,34.594
253.755,34.562
254.779,34.562
255.753,34.562
256.777,34.500
257.752,34.531
258.776,34.531
259.856,34.562
260.774,34.531
261.749,34.594
262.777,34.594
263.748,34.625
264.793,34.625
265.747,34.625
266.770,34.656
267.745,34.656
268.781,34.688
269.744,34.656
270.781,34.656
271.743,34.656
272.767,34.688
273.798,34.625
274.775,34.625
275.791,34.625
276.764,34.594
277.888,34.625
278.763,34.656
279.738,34.688
280.761,34.688
281.824,34.656
282.817,34.656
283.784,34.656
284.815,34.656
285.831,34.656
286.758,34.688
287.830,34.625
288.756,34.594
289.780,34.562
290.755,34.531
291.780,34.594
292.805,34.594
293.777,34.625
294.783,34.688
295.776,34.656
296.751,34.688
297.775,34.719
298.847,34.719
299.773,34.719
300.749,34.781
301.772,34.750
302.817,34.719
303.771,34.719
304.747,34.719
305.770,34.719
306.745,34.719
307.768,34.719
308.743,34.750
309.793,34.719
310.742,34.750
311.765,34.750
313.059,34.750
313.764,34.781
314.742,34.781
315.763,34.781
316.738,34.781
317.767,34.812
