df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,perfusion_ir
60.437,0.210
62.245,0.210
66.970,0.200
67.703,0.190
68.432,0.190
69.456,0.190
70.379,0.190
72.970,0.190
75.650,0.190
76.473,0.190
77.308,0.190
78.135,0.190
79.937,0.190
80.725,0.190
81.747,0.190
82.570,0.190
83.493,0.190
84.374,0.190
92.859,0.190
93.779,0.190
94.611,0.190
95.488,0.190
96.902,0.190
97.741,0.190
98.804,0.190
100.510,0.190
101.387,0.190
103.142,0.190
103.971,0.190
104.662,0.190
105.822,0.190
106.483,0.190
107.335,0.190
108.264,0.190
110.945,0.190
111.820,0.190
111.879,0.190
118.453,0.190
119.235,0.190
120.156,0.190
120.253,0.190
124.798,0.190
125.126,0.200
144.431,0.200
147.453,0.200
149.069,0.200
149.163,0.200
151.454,0.200
152.085,0.200
153.992,0.200
156.134,0.200
156.820,0.200
157.650,0.190
158.568,0.190
164.467,0.200
165.296,0.200
167.690,0.200
170.464,0.190
186.262,0.190
187.188,0.190
188.065,0.190
188.943,0.190
189.867,0.190
189.918,0.190
196.161,0.190
198.550,0.190
199.375,0.200
199.668,0.200
211.073,0.200
218.466,0.200
219.360,0.200
222.044,0.210
224.140,0.210
228.187,0.210
229.991,0.210
230.966,0.220
231.794,0.220
232.867,0.220
233.598,0.220
234.424,0.220
235.442,0.220
236.328,0.230
237.157,0.230
237.888,0.230
238.961,0.230
239.698,0.220
242.277,0.220
243.056,0.220
244.076,0.210
244.862,0.220
245.003,0.210
249.150,0.210
253.342,0.210
253.634,0.210
263.774,0.210
270.404,0.210
280.110,0.210
298.198,0.210
299.317,0.200
299.997,0.200
317.693,0.200
321.311,0.200
328.271,0.200
329.978,0.200
339.923,0.210
340.751,0.210
341.453,0.210
343.969,0.210
344.801,0.210
345.675,0.210
347.332,0.210
349.088,0.200
349.913,0.200
349.978,0.200
354.649,0.190
355.522,0.190
359.082,0.190
359.767,0.190
360.885,0.190
366.735,0.190
371.657,0.200
378.530,0.200
400.419,0.200
403.883,0.190
404.617,0.190
413.097,0.190
415.242,0.190
415.973,0.180
424.214,0.180
443.178,0.180
443.813,0.180
444.645,0.190
445.711,0.190
447.560,0.190
448.487,0.200
449.559,0.200
450.534,0.210
452.484,0.220
453.264,0.220
454.288,0.220
455.217,0.220
456.290,0.220
459.315,0.220
460.041,0.220
461.166,0.230
461.975,0.230
463.212,0.240
463.993,0.240
465.601,0.240
467.651,0.250
470.087,0.250
472.135,0.250
473.057,0.250
473.990,0.250
474.912,0.250
475.791,0.250
476.716,0.240
477.595,0.240
478.763,0.240
479.837,0.240
480.957,0.240
482.612,0.240
483.593,0.240
484.516,0.240
485.603,0.240
