df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,battery
12.367,12
22.361,12
32.357,12
42.348,12
52.342,12
62.533,12
72.330,12
82.421,12
92.415,12
102.311,12
112.354,12
122.348,12
132.341,12
142.433,12
152.329,12
162.333,12
172.317,12
182.311,12
192.304,12
202.321,12
212.341,12
222.339,12
232.328,12
242.422,12
252.326,11
262.320,11
272.308,11
282.367,11
292.291,11
302.326,11
312.342,11
322.322,11
332.364,11
342.319,11
352.303,11
362.346,11
372.323,11
382.285,11
392.278,11
402.320,11
412.315,11
422.308,11
432.302,11
442.317,11
452.338,11
462.284,11
472.316,11
482.369,11
