df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,ppg_quality
57.599,119
59.619,120
61.639,117
63.659,126
64.669,132
65.679,131
66.689,129
68.699,123
69.709,123
70.719,124
72.739,128
74.759,128
76.779,129
78.799,132
80.819,141
81.829,142
82.839,141
83.849,137
85.869,132
86.879,134
87.889,131
89.909,116
90.919,114
91.929,115
92.939,116
94.959,118
96.979,114
98.999,126
101.009,128
103.029,123
104.039,124
105.049,128
107.069,128
108.079,125
110.099,126
111.109,129
112.119,132
114.139,122
115.149,113
116.159,108
118.179,112
119.189,110
121.209,105
123.229,96
125.249,111
127.269,111
128.279,109
129.289,108
131.309,105
132.319,104
133.319,103
134.329,99
136.349,99
138.369,105
140.389,106
141.399,107
142.409,115
144.429,123
145.439,121
146.449,122
147.459,121
149.479,123
151.499,126
153.519,125
155.539,125
157.559,126
158.569,127
159.579,126
160.589,124
162.609,123
164.629,119
166.649,120
167.659,118
168.669,117
171.699,115
172.709,113
173.719,115
175.739,111
177.759,102
179.779,96
181.799,97
184.829,110
185.839,113
186.849,119
188.869,131
190.889,132
192.909,132
194.929,127
195.939,126
197.959,123
199.979,119
201.999,126
204.019,130
205.029,122
207.049,111
208.059,103
209.069,101
211.089,93
212.099,87
214.119,72
215.129,78
216.139,85
218.159,93
219.169,95
220.179,95
221.189,101
222.199,104
224.219,115
225.229,116
226.239,113
228.259,113
230.279,119
231.289,118
233.309,116
235.329,122
237.349,135
238.359,136
239.369,133
241.389,134
243.409,140
245.429,137
246.439,134
247.449,133
248.459,134
250.479,136
252.499,125
253.509,116
254.519,110
255.529,108
256.539,109
258.559,106
260.579,109
261.589,111
263.609,116
265.629,106
266.639,97
268.659,84
269.669,78
272.699,73
273.709,77
274.719,84
276.739,74
278.759,67
280.779,51
281.789,49
282.799,48
283.809,49
284.819,52
285.829,62
287.849,75
288.859,80
289.869,89
291.889,85
293.909,76
294.919,63
296.939,40
298.959,35
300.979,42
302.999,44
304.009,48
305.019,60
306.029,77
307.039,89
308.049,96
309.059,97
310.069,100
311.079,100
312.089,99
314.109,101
316.129,100
318.149,99
319.159,98
320.169,96
323.199,107
325.219,99
327.239,100
328.249,106
329.259,110
331.279,112
332.289,109
334.309,110
336.329,111
338.349,107
339.359,105
340.369,104
342.389,104
345.419,104
347.439,109
349.459,106
350.469,105
352.489,110
353.499,108
356.529,113
358.549,107
360.569,104
362.589,106
363.599,93
364.609,78
366.629,68
367.639,71
369.659,60
371.679,45
373.699,65
375.719,90
377.739,67
378.749,59
379.759,70
380.769,84
382.789,81
384.809,72
386.829,71
387.839,67
388.849,61
389.859,54
390.869,40
391.879,39
393.899,43
395.919,43
397.939,45
399.959,74
400.969,84
401.979,85
402.989,82
405.009,73
407.029,84
408.039,96
409.049,96
410.059,95
411.069,93
414.099,94
415.109,98
416.119,100
418.139,96
420.159,79
422.179,69
423.189,69
425.209,60
426.219,57
427.229,53
429.249,46
431.269,44
432.279,46
433.289,40
434.299,33
436.319,5
439.349,11
440.359,18
441.369,1
443.389,10
444.399,26
445.409,51
447.429,84
449.449,89
451.469,116
452.479,125
453.489,124
454.499,122
455.509,121
456.519,120
457.529,122
458.539,126
460.559,130
462.579,128
463.589,128
464.599,130
465.609,130
466.619,127
468.639,119
469.649,116
471.669,108
472.679,108
473.689,108
475.709,109
477.729,112
478.739,114
480.759,119
482.779,124
484.799,122
486.819,122
488.839,121
489.849,119
490.859,118
