df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,spo2
60.292,97
62.096,97
66.874,97
67.653,97
68.338,97
69.453,97
70.285,97
72.967,97
75.645,97
76.430,97
77.305,97
78.086,97
79.890,97
80.721,97
81.741,98
82.522,98
83.448,98
84.228,98
92.853,98
93.688,98
94.517,98
95.392,98
96.854,98
97.731,98
98.658,98
100.507,98
101.339,98
102.997,98
103.828,98
104.657,98
105.629,98
106.477,98
107.289,98
108.261,98
110.940,98
111.728,98
111.874,98
118.447,97
119.231,97
120.011,97
120.207,97
124.795,97
125.081,97
144.387,97
147.360,97
149.017,97
149.160,97
151.211,97
152.066,97
153.989,97
155.989,97
156.817,98
157.645,98
158.475,98
164.325,98
165.156,98
167.642,98
170.421,99
186.117,99
187.091,99
187.920,99
188.798,99
189.773,99
189.915,99
196.158,99
198.547,99
199.327,99
199.665,99
211.057,99
218.437,99
219.220,99
222.001,99
224.092,99
228.184,99
229.798,99
230.780,99
231.746,98
232.575,98
233.550,98
234.379,98
235.413,98
236.183,98
237.023,98
237.885,98
238.718,98
239.692,98
242.182,97
243.008,97
243.983,97
244.859,97
244.958,97
249.102,97
253.301,97
253.587,97
263.727,97
270.357,97
279.960,97
298.192,97
299.314,97
299.853,96
317.690,96
321.305,96
328.223,97
329.975,97
339.877,97
340.706,96
341.450,97
343.923,97
344.798,97
345.579,96
347.285,97
348.943,97
349.625,97
349.968,96
354.645,96
355.475,96
358.791,96
359.764,96
360.739,96
366.732,96
371.611,96
378.436,96
400.374,96
403.835,95
404.614,95
413.048,95
415.193,95
415.828,95
424.209,95
443.174,95
443.809,95
444.642,95
445.565,95
447.515,95
448.344,95
449.510,95
450.443,96
452.435,96
453.221,96
454.244,97
455.172,97
456.147,97
459.167,97
459.996,97
461.163,97
461.971,97
462.920,97
463.990,97
465.598,97
467.646,97
470.083,97
471.939,97
472.916,97
473.983,97
474.865,97
475.787,97
476.713,97
477.548,97
478.631,97
479.833,97
480.715,97
482.518,98
483.590,98
484.513,98
485.540,98
