df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,temperature
4.524,33.375
5.642,33.375
6.468,33.406
7.562,33.438
8.467,33.500
9.445,33.500
10.465,33.500
11.441,33.500
12.536,33.531
13.441,33.500
14.463,33.500
15.438,33.500
16.461,33.500
17.436,33.500
18.461,33.500
19.730,33.531
20.459,33.562
21.435,33.562
22.462,33.625
23.579,33.625
24.457,33.656
25.532,33.688
26.456,33.750
27.431,33.750
28.555,33.781
29.434,33.781
30.648,33.781
31.428,33.812
32.452,33.781
33.623,33.812
34.452,33.781
35.523,33.781
36.459,33.812
37.425,33.812
38.448,33.812
39.423,33.844
40.449,33.875
41.425,33.906
42.451,33.938
43.470,33.938
44.477,33.969
45.420,34.000
46.467,33.969
47.472,33.938
48.499,33.938
49.518,33.938
50.554,33.938
51.469,33.844
52.440,33.875
53.463,33.875
54.444,33.906
55.462,33.906
56.475,33.906
57.461,34.031
58.436,34.000
59.460,33.938
60.534,34.000
61.460,34.125
62.539,34.125
63.457,34.156
64.499,34.156
65.605,34.156
66.437,34.156
67.457,34.156
68.578,34.219
69.461,34.281
70.433,34.250
71.501,34.250
72.452,34.250
73.466,34.250
74.426,34.250
75.454,34.250
76.484,34.312
77.548,34.312
78.523,34.344
79.447,34.344
80.422,34.375
81.689,34.375
82.424,34.406
83.498,34.375
84.469,34.375
85.443,34.344
86.493,34.312
87.442,34.312
88.417,34.281
89.441,34.281
90.416,34.281
91.440,34.250
92.711,34.281
93.439,34.312
94.463,34.344
95.635,34.344
96.461,34.375
97.679,34.375
98.563,34.375
99.435,34.406
100.458,34.406
101.511,34.438
102.458,34.375
103.442,34.375
104.505,34.375
105.480,34.375
106.456,34.375
107.430,34.406
108.479,34.406
109.429,34.406
110.452,34.406
111.427,34.406
112.451,34.438
113.672,34.438
114.450,34.406
115.425,34.438
116.449,34.469
117.423,34.469
118.645,34.500
119.473,34.500
120.446,34.531
121.421,34.531
122.445,34.594
123.420,34.625
124.493,34.625
125.422,34.594
126.444,34.562
127.418,34.562
128.490,34.594
129.416,34.594
130.440,34.562
131.415,34.562
132.438,34.562
133.414,34.562
134.486,34.625
135.413,34.625
136.436,34.625
137.411,34.656
138.593,34.594
139.511,34.562
140.434,34.594
141.409,34.594
142.436,34.594
143.651,34.562
144.536,34.500
145.455,34.500
146.625,34.500
147.459,34.500
148.429,34.562
149.456,34.531
150.428,34.500
151.551,34.500
152.426,34.469
153.453,34.531
154.724,34.531
155.449,34.688
156.424,34.688
157.497,34.688
158.423,34.688
159.470,34.719
160.467,34.750
161.445,34.812
162.420,34.812
163.444,34.812
164.487,34.812
165.469,34.688
166.420,34.688
167.442,34.688
168.522,34.719
169.442,34.719
170.473,34.719
171.455,34.750
172.414,34.750
173.438,34.750
174.413,34.812
175.461,34.781
176.412,34.812
177.484,34.781
178.482,34.812
179.434,34.812
180.420,34.812
181.530,34.812
182.654,34.781
183.432,34.750
184.455,34.719
185.430,34.719
186.406,34.750
187.429,34.781
188.458,34.750
189.428,34.719
190.403,34.719
191.673,34.719
192.402,34.719
193.425,34.719
194.449,34.750
195.424,34.719
196.691,34.688
197.423,34.688
198.447,34.719
199.616,34.750
200.445,34.750
201.421,34.781
202.445,34.875
203.419,34.906
204.443,34.875
205.418,34.875
206.442,34.875
207.471,34.875
208.446,34.906
209.416,34.875
210.588,34.844
211.417,34.812
212.441,34.719
213.510,34.750
214.442,34.781
215.412,34.781
216.551,34.781
217.411,34.750
218.475,34.719
219.436,34.781
220.433,34.812
221.408,34.812
222.445,34.781
223.556,34.781
224.441,34.750
225.406,34.750
226.429,34.781
227.456,34.781
228.821,34.812
229.403,34.781
230.427,34.750
231.403,34.781
232.425,34.812
233.401,34.844
234.430,34.844
235.792,34.875
236.423,34.875
237.398,34.906
238.422,34.844
239.543,34.875
240.422,34.906
241.495,34.875
242.430,34.875
243.443,34.844
244.810,34.875
245.442,34.875
246.417,34.875
247.441,34.844
248.415,34.875
249.451,34.906
250.415,34.844
251.441,34.812
252.414,34.844
253.439,34.875
254.561,34.875
255.436,34.875
256.459,34.875
257.434,34.906
258.410,34.906
259.457,34.875
260.408,34.938
261.432,34.938
262.407,34.906
263.431,34.906
264.652,34.938
265.430,34.906
266.405,34.906
267.428,34.906
268.403,34.875
269.432,34.906
270.413,34.875
271.426,34.906
272.401,34.875
273.424,34.875
274.400,34.844
275.424,34.844
276.405,34.844
277.428,34.844
278.398,34.844
279.421,34.781
280.737,34.750
281.420,34.719
282.395,34.750
283.467,34.750
284.442,34.688
285.417,34.688
286.392,34.688
287.416,34.688
288.439,34.688
289.437,34.719
290.390,34.750
291.413,34.781
292.437,34.750
293.412,34.750
294.436,34.875
295.414,34.875
296.435,34.812
297.436,34.812
298.434,34.844
299.419,34.812
300.444,34.844
301.410,34.844
302.431,34.875
303.455,34.875
304.431,34.875
305.405,34.875
306.429,34.969
307.406,34.938
308.430,34.938
309.402,34.969
310.426,34.938
311.693,34.938
312.430,34.938
313.400,34.938
314.427,34.906
315.399,34.906
316.519,34.938
317.397,34.938
