df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,respiration_rate
79.199,27
83.719,27
87.889,27
92.279,27
145.709,9
149.749,9
154.469,9
159.049,9
163.509,9
168.259,9
172.909,10
177.129,11
181.429,10
185.469,11
189.839,10
193.869,10
198.699,10
202.959,10
233.939,14
260.349,16
265.229,15
269.949,15
277.359,16
281.409,16
334.409,18
338.569,20
342.749,20
346.929,18
351.049,18
355.829,18
360.149,18
365.949,18
373.859,18
378.089,18
382.439,19
386.839,19
488.569,15
