df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,quality
5.741,61
7.787,100
8.713,100
9.594,100
10.763,0
11.833,0
12.573,22
13.978,31
14.673,67
15.781,81
16.903,82
17.636,82
18.512,80
19.828,70
20.610,59
21.486,67
22.751,66
23.729,66
24.510,71
25.679,75
26.556,74
27.577,72
28.652,62
29.822,56
30.457,44
31.694,28
32.553,0
33.430,35
34.600,37
35.672,33
36.453,50
37.574,63
38.500,63
39.378,52
40.597,57
41.474,75
42.446,75
43.573,73
44.688,74
45.374,71
46.594,70
47.467,72
48.493,74
49.858,73
50.542,70
51.418,68
52.491,70
53.429,72
54.295,78
55.708,77
56.392,76
57.269,69
58.495,71
59.366,70
60.243,78
61.479,80
62.439,75
63.245,66
64.486,70
65.312,61
66.431,49
67.409,36
68.288,50
69.307,72
70.428,55
71.309,30
72.186,52
73.451,66
74.283,74
75.161,74
76.333,74
77.256,75
78.433,68
79.304,68
80.378,70
81.108,66
82.327,72
83.204,74
84.081,77
85.302,78
86.210,75
87.055,62
88.302,65
89.152,69
90.078,69
91.255,58
92.174,69
93.151,66
94.273,73
95.148,76
96.025,74
97.244,70
98.121,66
98.999,71
100.220,59
101.144,60
102.019,72
103.436,75
104.120,69
104.973,73
106.166,75
107.046,74
108.112,76
109.382,76
110.024,76
110.997,70
112.307,66
113.286,69
113.871,70
115.088,53
115.966,57
116.893,61
118.401,66
118.938,63
119.864,72
121.035,57
121.912,42
122.982,55
124.008,55
124.937,31
126.104,39
126.990,56
127.908,50
128.786,51
129.985,61
130.882,72
131.905,69
132.970,71
133.856,69
134.733,70
135.953,70
136.829,77
137.707,72
138.926,74
139.900,69
140.726,73
141.949,74
142.777,74
143.849,77
144.873,71
145.751,69
146.822,70
147.847,68
148.724,75
149.651,73
150.820,73
151.700,73
152.624,73
153.794,78
155.014,68
155.600,74
156.769,73
157.696,72
158.718,73
159.791,77
160.668,72
161.643,75
162.764,69
163.642,64
164.811,60
165.740,66
166.616,71
167.543,68
168.716,69
169.782,73
170.561,83
171.693,75
172.566,66
173.490,66
174.661,59
175.586,48
176.463,34
177.925,50
178.657,55
179.485,63
180.656,57
181.581,47
182.411,46
183.631,56
184.508,70
185.384,72
186.655,70
187.481,69
188.453,64
189.577,71
190.746,74
191.380,75
192.791,65
193.620,68
194.360,76
195.527,76
196.402,79
197.377,70
198.513,55
199.465,54
200.304,68
201.473,70
202.401,67
203.278,66
204.494,49
205.372,43
206.250,44
207.712,35
208.441,37
209.367,0
210.442,28
211.320,0
212.197,25
213.465,37
214.437,64
215.173,54
216.533,44
217.313,41
218.195,47
219.409,64
220.257,39
221.216,26
222.438,35
223.216,60
224.437,71
225.360,72
226.237,70
227.115,68
228.431,70
229.259,68
230.234,76
231.305,74
232.186,71
233.062,67
234.285,77
235.350,78
236.037,75
237.301,78
238.133,70
239.010,63
240.229,66
241.152,71
241.986,67
243.209,72
244.129,76
245.249,73
246.178,72
247.083,68
247.982,69
249.443,73
250.227,73
251.048,75
252.124,43
253.001,46
253.928,61
255.389,56
256.025,50
256.996,72
258.117,71
258.998,69
259.876,65
261.046,70
262.163,75
262.849,66
264.260,71
264.948,73
265.846,71
266.993,68
268.016,69
268.796,75
270.307,74
270.893,74
271.917,70
272.989,65
273.891,53
274.744,38
275.962,35
276.840,37
277.717,37
278.985,37
279.860,41
280.790,52
281.913,54
282.789,51
283.857,56
284.911,58
285.761,58
286.688,56
287.907,56
288.801,68
289.661,73
290.845,71
291.757,46
292.635,49
293.805,42
294.731,40
295.618,43
297.078,51
297.708,76
298.585,79
299.827,80
300.681,66
301.800,72
302.781,71
303.653,67
304.530,70
305.795,74
306.626,81
307.508,79
308.768,83
309.600,80
310.581,74
312.086,79
312.769,74
313.524,71
314.716,78
315.598,82
316.766,86
317.701,81
318.573,82
319.493,82
320.864,79
321.545,79
322.665,79
323.644,85
324.522,85
325.396,84
326.663,77
327.492,73
328.415,69
329.589,74
330.714,73
331.394,74
332.562,76
333.439,75
334.365,75
335.535,76
336.556,64
337.342,64
338.585,64
339.387,70
340.317,70
341.827,69
342.412,82
343.294,79
344.746,80
345.383,77
346.260,78
347.674,86
348.403,82
349.234,82
350.455,82
351.425,71
352.258,65
353.524,69
354.305,63
355.182,53
356.401,74
357.427,82
358.155,82
359.432,81
360.395,82
361.178,63
362.394,62
363.372,57
364.165,58
365.371,53
366.294,50
367.415,32
368.439,27
369.228,0
370.405,0
371.419,0
372.196,0
373.073,42
374.292,67
375.169,52
376.048,59
377.363,43
378.167,45
379.120,48
380.285,52
381.208,51
382.043,53
383.213,80
384.092,85
385.017,80
386.187,66
387.064,61
387.991,63
389.404,57
390.088,55
391.256,53
392.139,70
393.061,63
393.938,54
395.400,60
396.035,60
396.913,61
398.133,61
399.352,75
399.886,81
401.165,78
402.174,77
403.004,76
404.078,77
405.007,67
405.834,65
407.055,65
407.935,72
408.856,73
410.029,67
410.906,71
411.831,69
413.000,65
414.170,74
414.854,78
416.219,78
416.900,30
417.931,0
418.947,0
420.020,17
420.752,0
