df_hash,22ZHK4.M2RKJ7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WA30
person_label,V63
date_time_start,2025-10-31_16-24-10.947000_+03
date_time_start_unix,1761913450.947
date_time_end,2025-10-31_16-32-26.409000_+03
length_difference_noticed,no

time,rr_int
9.637,4085
10.612,855
11.587,930
12.857,970
13.683,1030
14.610,1000
15.535,930
16.469,995
17.442,1010
17.486,985
18.412,10
18.561,910
19.143,195
20.069,630
21.045,880
22.020,1015
22.994,1010
23.970,985
24.945,950
25.919,965
26.992,1055
27.586,850
28.566,825
29.429,910
30.652,875
30.748,1230
31.087,10
31.090,345
32.062,10
32.891,975
34.697,915
36.645,1835
37.473,1905
38.451,930
39.277,860
40.252,910
41.422,950
42.056,940
43.033,915
43.860,920
44.693,870
45.812,905
46.638,945
47.516,945
48.402,850
49.320,865
50.294,910
50.300,1005
51.270,10
52.294,960
53.073,995
54.048,930
55.023,925
55.852,950
56.827,925
57.656,885
58.500,850
59.313,865
60.288,890
61.117,900
62.092,885
63.067,920
63.896,1005
64.579,805
65.407,790
66.143,800
66.869,740
67.649,710
68.332,725
69.315,790
70.282,910
71.160,955
71.988,930
72.964,860
73.792,880
74.816,915
75.596,930
76.424,890
77.302,810
78.082,810
78.911,840
79.886,895
80.717,915
81.693,905
82.518,920
83.444,905
84.225,875
85.151,845
86.077,870
86.711,850
87.539,780
88.369,825
89.197,795
90.172,860
91.050,945
91.976,910
92.804,880
93.682,880
94.511,885
95.388,870
96.169,820
96.851,770
97.683,790
98.654,855
99.630,930
100.461,935
101.336,910
102.164,865
102.993,825
103.822,820
104.652,845
105.626,875
106.465,895
107.283,865
108.117,805
108.956,845
109.916,875
110.891,950
111.720,945
111.867,880
111.915,175
111.920,10
112.551,10
112.725,680
112.990,160
113.426,20
114.108,605
114.938,760
115.767,830
116.595,835
117.429,865
118.408,870
119.228,880
120.007,805
120.202,760
120.641,220
121.323,465
122.153,720
122.993,790
123.956,905
124.785,940
125.077,890
125.131,230
125.663,10
126.491,615
127.173,785
128.003,785
128.149,725
128.152,225
128.685,10
129.515,520
130.245,790
130.489,760
130.928,205
131.756,495
132.442,770
133.267,770
134.000,805
134.828,770
134.974,755
135.510,180
136.339,565
137.193,795
137.850,810
138.710,810
139.465,750
140.238,775
140.396,775
140.924,200
141.750,600
142.579,785
143.310,780
144.138,785
144.382,840
144.436,220
144.967,25
145.805,575
146.629,800
147.356,795
148.233,815
149.014,820
149.112,810
149.696,180
150.525,575
151.207,745
152.061,755
152.865,780
153.743,835
153.843,850
154.721,185
155.254,615
155.985,770
156.813,750
157.508,755
158.179,760
158.471,745
158.889,165
159.690,545
159.836,705
159.840,200
159.888,15
159.891,15
160.451,20
161.104,450
161.935,770
162.080,800
162.325,175
162.664,20
163.502,585
164.321,815
165.150,850
165.306,820
165.442,175
165.833,25
166.661,545
167.344,750
167.637,770
168.172,205
168.914,595
169.791,765
170.415,735
170.577,750
170.710,160
170.716,15
171.244,15
171.937,635
172.755,775
173.635,760
173.730,725
174.169,220
174.853,500
174.997,680
175.291,200
175.682,445
176.801,680
177.097,685
177.243,180
177.247,40
177.532,15
178.215,430
179.046,675
179.581,700
180.458,760
181.286,825
182.115,820
182.261,830
182.359,185
182.944,25
183.775,610
184.459,770
185.284,795
186.113,820
187.087,875
187.916,890
188.794,900
189.769,885
189.871,870
190.451,205
191.280,590
191.963,795
192.796,775
193.134,795
193.628,210
194.368,570
195.034,765
196.114,740
196.694,770
197.716,860
198.544,915
199.324,920
199.620,875
199.677,200
199.717,15
200.201,25
201.031,595
201.908,820
202.005,815
202.104,190
202.109,10
202.252,10
202.257,10
202.834,10
204.346,670
205.856,1555
207.417,1600
207.423,1520
207.953,10
207.957,600
208.661,10
208.666,590
209.371,10
210.196,745
211.053,850
211.196,900
211.902,10
212.682,825
213.513,825
214.242,795
214.924,745
215.317,700
215.607,200
216.305,475
216.559,680
216.671,190
217.121,25
217.703,445
218.389,705
219.214,765
220.189,835
221.018,915
221.993,930
222.822,930
223.799,910
224.089,850
224.675,300
225.503,630
226.331,860
227.307,860
228.135,880
228.989,840
229.793,845
230.768,870
231.743,940
232.572,955
233.547,950
234.375,900
235.355,905
236.179,920
237.008,910
237.865,825
238.714,805
239.546,815
240.374,865
241.350,895
242.175,895
243.004,865
243.979,885
244.813,915
244.954,840
245.637,185
246.320,625
247.148,815
248.125,845
248.952,870
249.098,840
249.683,190
249.975,570
250.073,215
250.366,10
250.707,520
251.064,255
251.877,420
252.608,720
253.290,735
253.583,815
254.120,215
254.948,595
255.095,795
255.777,225
256.462,565
257.338,785
258.020,800
258.848,785
259.531,780
260.359,725
260.506,785
260.510,220
260.652,10
260.656,10
261.191,15
261.921,515
262.168,795
262.263,225
262.456,10
262.459,300
262.650,10
262.653,10
262.657,195
263.723,800
264.264,265
265.088,565
265.917,855
266.063,820
266.067,170
266.115,10
266.120,15
266.126,10
266.746,10
267.575,630
268.406,830
269.281,795
269.964,835
270.353,820
270.830,295
271.623,520
271.769,775
271.924,325
272.596,500
273.135,255
274.692,495
275.521,1565
275.867,1025
277.178,630
277.329,815
277.422,165
277.425,15
278.008,10
278.836,670
279.713,870
279.957,875
281.371,235
282.258,1380
283.029,825
283.470,855
283.565,445
