df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,quality
7.880,100
8.807,100
9.684,100
11.002,100
11.783,0
12.709,0
13.879,0
14.900,37
15.730,62
16.853,72
17.731,67
18.609,68
19.827,70
20.748,69
21.632,72
22.844,75
23.676,76
24.604,75
25.821,72
26.702,71
27.628,77
28.941,77
29.768,68
30.551,62
31.815,77
32.744,82
33.523,80
34.742,81
35.620,77
36.502,77
37.716,75
38.737,76
39.516,70
40.693,67
41.567,80
42.494,88
43.664,85
44.541,89
45.467,83
46.786,81
47.565,78
48.464,80
49.714,62
50.617,72
51.510,73
52.639,72
53.511,71
54.390,70
55.653,64
56.630,41
57.362,40
58.582,32
59.458,47
60.336,31
61.555,54
62.478,71
63.359,71
64.626,75
65.698,74
66.381,76
67.743,76
68.429,69
69.378,59
70.476,58
71.549,64
72.280,56
73.499,50
74.376,69
75.302,72
76.473,63
77.399,66
78.471,68
79.446,69
80.568,49
81.250,41
82.420,29
83.395,47
84.224,30
85.396,37
86.323,43
87.199,74
88.417,47
89.294,33
90.173,38
91.392,43
92.270,29
93.242,48
94.605,46
95.533,42
96.459,45
97.338,47
98.407,49
99.143,56
100.313,60
101.340,59
102.166,50
103.285,39
104.214,40
105.332,48
106.305,28
107.431,32
108.065,44
109.379,66
110.159,63
111.036,73
112.307,77
113.428,72
114.254,71
115.638,69
116.109,65
117.033,66
118.297,66
119.083,45
120.104,63
121.179,72
122.104,66
122.980,64
124.395,73
125.077,82
126.092,78
127.173,79
128.053,78
129.026,77
130.153,76
131.026,78
131.953,75
133.315,75
134.413,74
135.119,74
136.096,65
137.035,56
137.899,61
139.068,71
140.040,53
140.932,67
142.092,78
143.212,77
143.891,75
145.065,77
145.943,77
146.825,78
148.097,81
148.916,80
149.793,76
151.017,58
151.889,55
153.056,45
153.988,29
155.009,37
156.030,35
157.249,33
157.932,38
158.763,59
160.228,80
160.860,76
161.977,56
162.907,55
164.074,52
164.711,37
166.024,42
167.099,76
167.685,80
168.952,71
169.783,61
170.755,66
172.118,77
172.949,78
173.680,78
174.900,82
175.874,77
176.656,72
178.117,73
178.751,64
179.773,64
181.042,66
181.774,59
182.628,67
184.012,73
184.795,73
185.576,69
186.894,60
187.673,68
188.552,76
189.817,73
190.670,74
191.523,73
192.839,72
193.668,73
194.595,77
195.764,77
196.594,77
197.521,78
198.713,77
199.569,74
200.494,74
201.663,76
202.591,75
203.567,73
204.734,75
205.564,79
206.488,67
207.709,70
208.537,76
209.758,72
210.637,69
211.605,79
212.438,66
213.705,62
214.487,65
215.651,73
216.584,76
217.508,59
218.433,59
219.701,58
220.481,54
221.504,56
222.626,54
223.458,48
224.336,0
225.551,0
226.428,0
227.351,0
228.571,0
229.404,26
230.572,32
231.548,25
232.391,0
233.352,19
234.766,20
235.350,0
236.713,20
237.446,22
238.470,27
239.299,17
240.518,0
241.346,0
242.225,0
243.394,1
244.320,13
245.489,25
246.417,0
247.298,0
248.172,2
249.485,0
250.268,2
251.434,0
252.366,0
253.537,29
254.168,15
255.337,0
256.217,0
257.284,0
258.360,0
259.332,44
260.116,44
261.577,15
262.211,47
263.141,0
264.257,0
269.039,53
270.255,54
271.325,46
272.064,36
273.291,20
274.108,20
275.033,11
276.225,33
277.083,28
278.031,35
279.176,0
280.105,4
280.980,11
282.152,3
283.078,19
283.974,36
285.124,51
286.050,58
287.025,53
288.195,60
289.024,56
289.901,46
291.123,44
292.000,0
293.172,0
294.094,0
294.971,0
295.898,4
297.068,4
297.945,0
299.115,0
300.042,0
300.968,0
301.894,2
303.065,5
303.942,0
304.819,0
305.988,0
306.926,32
307.797,21
308.963,30
310.132,0
310.767,26
312.014,0
313.055,24
314.032,0
314.961,22
315.966,22
316.811,21
318.030,14
318.905,0
319.737,0
320.907,13
322.073,0
322.712,0
323.880,22
324.857,30
325.689,41
326.854,1
327.784,0
328.707,0
329.873,0
330.849,46
331.632,40
332.850,47
333.920,39
334.700,36
335.921,52
336.796,42
337.579,31
338.800,50
339.721,54
340.648,59
341.772,41
342.675,44
343.627,33
344.889,33
345.625,37
346.549,41
347.817,45
348.599,29
349.721,30
350.693,2
351.570,21
352.497,34
353.713,14
354.600,7
355.566,0
356.640,0
357.710,0
358.490,0
359.714,24
360.541,21
361.564,0
362.588,30
363.707,30
364.392,35
365.611,32
366.489,30
367.366,42
368.630,38
369.466,44
370.340,50
371.558,0
372.679,0
373.313,0
374.532,0
375.410,0
376.357,0
377.506,0
378.412,41
379.310,52
380.720,47
381.357,34
382.624,0
383.455,0
384.382,0
385.259,9
386.427,14
387.363,8
388.522,9
389.404,52
390.333,42
391.208,0
392.377,25
393.301,23
394.373,0
395.592,26
396.277,0
397.152,0
398.416,12
399.491,6
400.126,39
401.439,46
402.223,30
403.100,23
404.319,19
405.488,22
406.074,24
407.315,28
408.264,31
409.049,23
410.463,23
411.144,23
412.070,29
413.289,0
414.214,3
415.138,0
416.214,6
417.093,0
418.018,0
419.188,27
420.357,29
421.044,33
422.307,0
423.087,0
423.964,29
425.135,33
426.256,0
426.938,24
