df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,ppg_quality
58.370,36
59.380,37
60.390,46
62.410,42
64.430,52
66.450,49
68.470,50
69.470,51
70.480,57
71.490,61
73.510,67
75.530,56
77.550,60
78.560,57
79.570,55
80.580,48
81.590,44
82.600,34
83.610,32
84.620,34
85.630,41
86.640,45
87.650,46
88.660,50
89.670,53
90.680,55
93.710,48
95.730,37
96.740,32
97.750,29
98.760,28
100.780,36
101.780,45
102.790,42
104.810,39
106.830,37
108.850,37
110.870,28
112.890,27
113.900,30
115.920,35
117.940,34
118.950,35
119.960,28
120.970,28
121.980,27
122.990,30
125.010,2
130.060,3
131.070,13
132.080,21
133.090,29
135.100,65
136.110,81
138.130,85
140.150,53
142.170,31
144.190,23
146.210,24
148.230,31
149.240,40
150.250,45
151.260,58
153.280,76
155.300,76
157.320,79
159.340,74
162.370,59
164.390,31
165.400,28
167.420,17
168.430,19
170.450,5
172.470,3
173.480,9
175.500,10
177.520,7
179.540,6
181.560,9
184.590,15
186.610,14
188.630,15
190.650,11
191.660,7
193.680,6
194.690,9
195.700,15
196.710,19
197.720,24
199.740,36
201.760,36
202.770,36
203.780,35
204.790,35
205.800,32
206.810,28
208.830,24
209.840,24
210.850,34
212.870,58
213.880,47
214.890,49
216.910,62
217.920,70
219.940,62
221.960,24
222.970,13
223.980,19
224.990,23
226.000,22
228.020,1
230.040,23
232.060,68
233.070,75
235.090,84
236.100,84
237.110,87
239.130,82
241.150,38
243.170,16
248.220,11
249.230,25
250.240,35
252.260,43
254.280,69
255.290,75
257.310,71
259.330,64
261.350,55
262.360,36
263.370,15
265.390,2
268.420,10
269.430,6
270.440,6
271.450,11
272.460,17
274.480,34
276.500,17
280.540,1
281.550,10
282.560,13
283.570,11
285.590,9
287.610,23
288.620,32
289.630,37
290.640,35
291.650,39
293.670,45
294.680,38
295.690,42
297.710,62
299.730,65
300.740,64
301.750,57
303.770,55
304.780,72
306.800,60
308.820,36
310.840,21
311.850,19
313.870,29
314.880,28
316.900,35
318.920,47
319.930,57
321.950,72
323.970,77
325.990,63
327.000,60
328.010,58
329.020,62
330.030,63
331.040,60
332.050,49
333.060,35
335.080,25
337.100,28
339.120,31
340.130,30
341.140,33
343.160,42
344.170,43
345.180,41
347.200,35
348.210,24
349.220,14
350.230,10
351.240,9
352.250,14
353.260,12
354.270,7
365.380,1
366.390,14
367.400,25
368.410,23
369.420,18
371.440,37
372.450,30
373.460,26
374.470,22
375.480,17
376.490,7
379.520,3
380.530,4
381.540,5
382.550,1
399.720,2
401.740,16
402.750,28
403.760,32
404.770,35
405.780,34
406.790,23
407.800,22
423.960,4
425.980,22
428.000,40
429.010,46
430.020,53
432.040,62
434.060,48
435.070,42
436.080,34
437.090,24
439.110,12
441.130,14
443.150,9
445.170,14
447.190,21
448.200,27
450.220,30
451.230,34
452.240,52
454.260,77
455.270,86
456.280,88
458.300,103
460.320,98
461.330,90
462.340,77
463.350,60
465.370,41
466.380,48
467.390,42
469.410,45
471.430,55
472.440,53
473.450,49
475.470,49
476.480,51
478.500,68
480.520,76
482.540,87
484.560,91
485.570,89
487.590,71
