df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,acc_mag
5.290,0.977
5.320,0.976
5.350,0.970
5.380,0.973
5.410,0.976
5.440,0.970
5.470,0.969
5.500,0.971
5.530,0.968
5.560,0.966
5.590,0.978
5.620,0.963
5.650,0.970
5.680,0.970
5.710,0.967
5.740,0.973
5.770,0.973
5.800,0.977
5.830,0.979
5.860,0.969
5.890,0.974
5.920,0.977
5.950,0.967
5.980,0.969
6.010,0.973
6.040,0.974
6.070,0.976
6.100,0.977
6.130,0.979
6.160,0.977
6.190,0.977
6.220,0.976
6.250,0.973
6.280,0.971
6.310,0.979
6.340,0.973
6.370,0.978
6.400,0.980
6.430,0.978
6.460,0.979
6.490,0.979
6.520,0.979
6.550,0.984
6.580,0.974
6.610,0.978
6.640,0.980
6.670,0.970
6.700,0.974
6.730,0.975
6.760,0.978
6.790,0.976
6.820,0.976
6.850,0.976
6.880,0.976
6.910,0.976
6.940,0.975
6.970,0.972
7.000,0.978
7.030,0.967
7.060,0.974
7.090,0.969
7.120,0.969
7.150,0.980
7.180,0.975
7.210,0.975
7.240,0.976
7.270,0.967
7.300,0.967
7.330,0.973
7.360,0.968
7.390,0.971
7.420,0.971
7.450,0.977
7.480,0.974
7.510,0.975
7.540,0.978
7.570,0.976
7.600,0.974
7.630,0.977
7.660,0.977
7.690,0.968
7.720,0.978
7.750,0.979
7.780,0.973
7.810,0.974
7.840,0.973
7.870,0.979
7.900,0.979
7.930,0.972
7.960,0.977
7.990,0.978
8.020,0.975
8.050,0.974
8.080,0.977
8.110,0.981
8.140,0.979
8.170,0.974
8.200,0.979
8.230,0.978
8.260,0.969
8.290,0.978
8.320,0.981
8.350,0.971
8.380,0.978
8.410,0.974
8.440,0.970
8.470,0.979
8.500,0.976
8.530,0.973
8.560,0.981
8.590,0.970
8.620,0.969
8.650,0.976
8.680,0.972
8.710,0.973
8.740,0.978
8.770,0.973
8.800,0.978
8.830,0.974
8.860,0.974
8.890,0.976
8.920,0.976
8.950,0.968
8.980,0.974
9.010,0.970
9.040,0.974
9.070,0.973
9.100,0.973
9.130,0.975
9.160,0.980
9.190,0.971
9.220,0.974
9.250,0.973
9.280,0.972
9.310,0.973
9.340,0.975
9.370,0.979
9.400,0.973
9.430,0.973
9.460,0.979
9.490,0.978
9.520,0.974
9.550,0.973
9.580,0.973
9.610,0.978
9.640,0.973
9.670,0.974
9.700,0.981
9.730,0.976
9.760,0.974
9.790,0.979
9.820,0.969
9.850,0.977
9.880,0.975
9.910,0.970
9.940,0.973
9.970,0.975
10.000,0.976
10.030,0.975
10.060,0.975
10.090,0.977
10.120,0.970
10.150,0.977
10.180,0.975
10.210,0.973
10.240,0.978
10.270,0.976
10.300,0.973
10.330,0.975
10.360,0.973
10.390,0.976
10.420,0.976
10.450,0.974
10.480,0.973
10.510,0.977
10.540,0.972
10.570,0.973
10.600,0.973
10.630,0.975
10.660,0.976
10.690,0.972
10.720,0.973
10.750,0.970
10.780,0.972
10.810,0.967
10.840,0.970
10.870,0.973
10.900,0.979
10.930,0.970
10.960,0.974
10.990,0.979
11.020,0.974
11.050,0.971
11.080,0.978
11.110,0.966
11.140,0.974
11.170,0.972
11.200,0.975
11.230,0.977
11.260,0.979
11.290,0.979
11.320,0.976
11.350,0.969
11.380,0.973
11.410,0.978
11.440,0.972
11.470,0.976
11.500,0.980
11.530,0.972
11.560,0.979
11.590,0.976
11.620,0.972
11.650,0.978
11.680,0.974
11.710,0.972
11.740,0.976
11.770,0.972
11.800,0.969
11.830,0.972
11.860,0.970
11.890,0.970
11.920,0.973
11.950,0.978
11.980,0.973
12.010,0.974
12.040,0.972
12.070,0.958
12.100,0.973
12.130,0.982
12.160,0.967
12.190,0.962
12.220,0.976
12.250,0.983
12.280,0.973
12.310,0.975
12.340,0.981
12.370,0.987
12.400,0.978
12.430,0.977
12.460,0.985
12.490,0.970
12.520,0.968
12.550,0.976
12.580,0.972
12.610,0.969
12.640,0.976
12.670,0.979
12.700,0.971
12.730,0.969
12.760,0.969
12.790,0.971
12.820,0.971
12.850,0.969
12.880,0.974
12.910,0.977
12.940,0.965
12.970,0.968
13.000,0.972
13.030,0.975
13.060,0.980
13.090,0.975
13.120,0.976
13.150,0.971
13.180,0.968
13.210,0.967
13.240,0.976
13.270,0.971
13.300,0.973
13.330,0.967
13.360,0.979
13.390,0.984
13.420,0.978
13.450,0.993
13.480,1.013
13.510,1.010
13.540,0.983
13.570,0.987
13.600,0.990
13.630,0.957
13.660,0.963
13.690,0.977
13.720,0.967
13.750,0.980
13.780,0.966
13.810,0.954
13.840,1.004
13.870,0.979
13.900,0.964
13.930,0.970
13.960,0.979
13.990,0.976
14.020,0.974
14.050,0.987
14.080,1.010
14.110,0.984
14.140,0.982
14.170,0.996
14.200,0.986
14.230,0.988
14.260,0.956
14.290,0.972
14.320,0.977
14.350,0.962
14.380,0.959
14.410,0.979
14.440,0.964
14.470,0.973
14.500,0.980
14.530,0.960
14.560,0.976
14.590,0.992
14.620,0.989
14.650,0.980
