df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
7.017,-0.662,0.703,0.041
7.027,-0.664,0.707,0.039
7.037,-0.662,0.709,0.045
7.046,-0.660,0.715,0.047
7.056,-0.658,0.717,0.047
7.066,-0.658,0.713,0.049
7.076,-0.658,0.709,0.047
7.086,-0.656,0.707,0.051
7.096,-0.656,0.709,0.047
7.106,-0.658,0.709,0.049
7.116,-0.656,0.715,0.051
7.126,-0.658,0.719,0.053
7.136,-0.656,0.727,0.053
7.146,-0.652,0.723,0.055
7.156,-0.654,0.721,0.053
7.165,-0.654,0.721,0.051
7.175,-0.650,0.719,0.053
7.185,-0.654,0.719,0.053
7.195,-0.652,0.723,0.053
7.205,-0.645,0.723,0.053
7.215,-0.645,0.729,0.055
7.225,-0.645,0.730,0.059
7.235,-0.645,0.729,0.057
7.245,-0.639,0.723,0.061
7.255,-0.645,0.719,0.057
7.265,-0.646,0.715,0.057
7.275,-0.646,0.715,0.061
7.285,-0.648,0.715,0.059
7.294,-0.650,0.721,0.062
7.304,-0.648,0.723,0.061
7.314,-0.648,0.723,0.059
7.324,-0.650,0.719,0.059
7.334,-0.650,0.715,0.061
7.344,-0.650,0.715,0.059
7.354,-0.652,0.715,0.055
7.364,-0.652,0.713,0.059
7.374,-0.652,0.717,0.057
7.384,-0.654,0.715,0.059
7.394,-0.656,0.713,0.057
7.404,-0.656,0.713,0.055
7.414,-0.658,0.713,0.053
7.423,-0.660,0.709,0.057
7.433,-0.666,0.713,0.049
7.443,-0.664,0.709,0.053
7.453,-0.666,0.707,0.053
7.463,-0.664,0.711,0.051
7.473,-0.664,0.711,0.047
7.483,-0.664,0.711,0.041
7.493,-0.666,0.711,0.041
7.503,-0.666,0.711,0.039
7.513,-0.664,0.713,0.037
7.523,-0.668,0.713,0.035
7.533,-0.672,0.713,0.035
7.542,-0.666,0.711,0.031
7.552,-0.670,0.709,0.029
7.562,-0.674,0.709,0.027
7.572,-0.668,0.709,0.029
7.582,-0.670,0.707,0.025
7.592,-0.672,0.707,0.021
7.602,-0.668,0.709,0.020
7.612,-0.668,0.713,0.021
7.622,-0.672,0.711,0.020
7.632,-0.670,0.703,0.016
7.642,-0.672,0.709,0.014
7.652,-0.676,0.711,0.014
7.662,-0.672,0.705,0.010
7.671,-0.672,0.697,0.008
7.681,-0.674,0.701,0.004
7.691,-0.672,0.703,0.004
7.701,-0.676,0.707,0.004
7.711,-0.672,0.705,0.000
7.721,-0.674,0.711,-0.002
7.731,-0.674,0.711,0.000
7.741,-0.674,0.709,-0.004
7.751,-0.674,0.703,-0.004
7.761,-0.670,0.705,-0.006
7.771,-0.674,0.707,-0.006
7.781,-0.670,0.707,-0.008
7.791,-0.666,0.711,-0.010
