df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,ppg_med
6.280,477
6.305,548
6.330,661
6.355,722
6.380,698
6.405,674
6.430,739
6.455,859
6.480,905
6.505,832
6.530,753
6.555,795
6.580,905
6.605,912
6.630,755
6.655,587
6.680,578
6.705,661
6.730,601
6.755,320
6.780,26
6.805,-57
6.830,-20
6.855,-168
6.880,-606
6.905,-1057
6.930,-1228
6.955,-1235
6.980,-1479
7.005,-2089
7.030,-2706
7.055,-2952
7.080,-2976
7.105,-3291
7.130,-4060
7.155,-4821
7.180,-5093
7.205,-5066
7.230,-5389
7.255,-6266
7.280,-7112
7.305,-7319
7.330,-7128
7.355,-7354
7.380,-8250
7.405,-9084
7.430,-9094
7.455,-8583
7.480,-8569
7.505,-9369
7.530,-10068
7.555,-9718
7.580,-8699
7.605,-8279
7.630,-8858
7.655,-9295
7.680,-8409
7.705,-6674
7.730,-5680
7.755,-5932
7.780,-6005
7.805,-4416
7.830,-1759
7.855,-44
7.880,77
7.905,407
7.930,2838
7.955,6618
7.980,9159
8.005,9600
8.030,10262
8.055,13636
8.080,18757
8.105,22182
8.130,22705
8.155,23439
8.180,27845
8.205,32767
8.230,32767
8.255,32767
8.280,32767
8.305,32767
8.330,32767
8.355,32767
8.380,32767
8.405,32767
8.430,32767
8.455,32767
8.480,32767
8.505,32767
8.530,12868
8.555,-32768
8.580,-32768
8.605,-32768
8.630,-32768
8.655,-32768
8.680,-32768
8.705,-32768
8.730,-32768
8.755,-32768
8.780,-32768
8.805,-32768
8.830,-32768
8.855,-32768
8.880,-30556
8.905,-24687
8.930,-22663
8.955,-22556
8.980,-20394
9.005,-15544
9.030,-11120
9.055,-9510
9.080,-9360
9.105,-7746
9.130,-4158
9.155,-908
9.180,179
9.205,114
9.230,1130
9.255,3634
9.280,5842
9.305,6335
9.330,5905
9.355,6313
9.380,7887
9.405,9222
9.430,9203
9.455,8467
9.480,8421
9.505,9321
9.530,10039
9.555,9685
9.580,8786
9.605,8483
9.630,8977
9.655,9345
9.680,8850
9.705,7905
9.730,7426
9.755,7582
9.780,7639
9.805,7012
9.830,6042
9.855,5472
9.880,5447
9.905,5378
9.930,4791
9.955,3939
9.980,3405
10.005,3302
10.030,3173
10.055,2649
10.080,1936
10.105,1490
10.130,1395
10.155,1288
10.180,878
10.205,334
10.230,25
10.255,33
10.280,75
10.305,-95
10.330,-381
10.355,-524
10.380,-464
10.405,-403
10.430,-512
10.455,-712
10.480,-804
10.505,-737
10.530,-651
10.555,-668
10.580,-736
10.605,-724
10.630,-613
10.655,-517
10.680,-526
10.705,-590
10.730,-598
10.755,-520
10.780,-436
10.805,-421
10.830,-452
10.855,-448
10.880,-375
10.905,-272
10.930,-185
10.955,-109
10.980,-6
11.005,120
11.030,226
11.055,276
11.080,294
11.105,314
11.130,312
11.155,311
11.180,318
11.205,332
11.230,345
11.255,345
11.280,331
11.305,307
11.330,284
11.355,263
11.380,238
11.405,198
11.430,141
11.455,85
11.480,55
11.505,72
11.530,130
11.555,202
11.580,256
11.605,274
11.630,263
11.655,239
11.680,217
11.705,198
11.730,185
11.755,182
11.780,191
11.805,210
11.830,228
11.855,234
11.880,222
11.905,196
11.930,166
11.955,140
11.980,117
12.005,89
12.030,50
12.055,4
12.080,-28
12.105,-22
12.130,26
12.155,102
12.180,177
12.205,234
12.230,274
12.255,310
12.280,341
12.305,360
12.330,358
12.355,341
12.380,323
12.405,314
12.430,311
12.455,305
12.480,292
12.505,274
12.530,255
12.555,234
12.580,207
12.605,177
12.630,147
12.655,116
12.680,78
12.705,39
12.730,14
12.755,22
12.780,65
12.805,121
12.830,165
12.855,190
12.880,205
12.905,223
12.930,241
12.955,246
12.980,238
13.005,228
13.030,228
13.055,240
13.080,250
13.105,247
13.130,235
13.155,221
13.180,209
13.205,199
13.230,186
13.255,173
13.280,163
13.305,154
13.330,140
13.355,126
13.380,127
13.405,158
13.430,215
13.455,277
13.480,322
13.505,339
13.530,335
13.555,320
13.580,305
13.605,296
13.630,296
13.655,302
13.680,299
13.705,271
13.730,219
13.755,161
13.780,121
13.805,106
13.830,99
13.855,79
13.880,39
13.905,-4
13.930,-33
13.955,-47
13.980,-60
14.005,-83
14.030,-106
14.055,-107
14.080,-73
14.105,-11
14.130,54
14.155,103
14.180,131
14.205,148
14.230,162
14.255,171
14.280,165
14.305,140
14.330,105
14.355,77
14.380,65
14.405,67
14.430,73
14.455,80
14.480,94
14.505,125
14.530,170
14.555,214
14.580,241
14.605,249
14.630,249
14.655,251
14.680,251
14.705,242
14.730,225
14.755,220
14.780,247
14.805,305
14.830,373
14.855,427
14.880,460
14.905,487
14.930,519
14.955,545
14.980,542
15.005,494
15.030,413
15.055,330
15.080,266
15.105,221
15.130,183
15.155,147
15.180,121
15.205,113
15.230,112
15.255,99
15.280,59
15.305,2
15.330,-46
15.355,-74
15.380,-94
15.405,-128
15.430,-185
15.455,-243
15.480,-271
15.505,-250
15.530,-194
15.555,-132
15.580,-83
15.605,-44
15.630,3
15.655,67
15.680,139
