df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,temperature
5.922,34.281
6.945,34.250
7.920,34.281
8.895,34.312
9.968,34.312
10.928,34.312
11.918,34.312
12.893,34.281
13.917,34.312
14.989,34.281
16.085,34.281
16.893,34.281
17.914,34.281
18.889,34.312
19.962,34.281
21.134,34.281
21.912,34.281
22.887,34.250
23.910,34.250
24.886,34.219
25.965,34.188
26.884,34.188
27.908,34.188
28.892,34.156
29.907,34.156
30.933,34.188
31.954,34.188
32.880,34.188
33.904,34.156
34.928,34.156
35.903,34.156
36.878,34.156
37.902,34.156
38.877,34.156
39.900,34.125
40.924,34.125
41.900,34.062
42.926,34.062
43.898,34.062
44.922,34.094
46.053,34.062
46.920,34.000
47.895,34.000
48.919,34.031
49.894,34.062
51.015,34.062
51.893,34.125
52.917,34.188
53.892,34.188
54.915,34.250
55.890,34.312
56.924,34.375
57.889,34.406
58.961,34.438
59.888,34.438
60.912,34.500
61.888,34.500
62.959,34.500
63.885,34.500
65.091,34.500
65.905,34.500
66.908,34.500
67.883,34.500
68.945,34.500
69.882,34.531
70.905,34.562
71.883,34.531
72.904,34.531
73.977,34.531
74.903,34.562
76.024,34.562
76.904,34.594
77.946,34.562
78.997,34.594
79.924,34.594
80.899,34.594
82.169,34.594
82.898,34.594
83.877,34.625
84.941,34.594
85.920,34.594
86.906,34.594
87.919,34.594
88.896,34.594
89.920,34.594
90.892,34.594
91.917,34.531
92.892,34.531
93.915,34.500
94.890,34.531
95.914,34.562
96.895,34.562
97.912,34.594
98.898,34.594
99.917,34.594
101.034,34.625
101.910,34.719
102.886,34.719
103.909,34.719
104.884,34.750
105.908,34.719
106.905,34.719
107.907,34.719
108.882,34.719
109.917,34.750
110.881,34.719
111.953,34.750
112.887,34.750
113.903,34.781
114.929,34.781
115.903,34.781
116.877,34.781
117.939,34.812
118.879,34.781
119.910,34.750
120.874,34.750
122.144,34.750
122.875,34.781
123.897,34.812
124.872,34.812
125.920,34.781
126.871,34.781
127.894,34.781
128.967,34.812
129.893,34.812
130.875,34.781
131.893,34.750
133.110,34.750
133.891,34.781
134.866,34.750
135.890,34.781
137.010,34.781
137.893,34.781
138.983,34.781
139.887,34.812
140.910,34.781
141.886,34.812
142.909,34.781
143.885,34.750
144.908,34.781
145.883,34.781
146.907,34.781
147.882,34.781
148.906,34.812
149.881,34.781
150.904,34.812
151.879,34.750
152.903,34.719
153.878,34.719
154.902,34.719
155.877,34.719
156.917,34.656
157.876,34.656
158.899,34.656
159.874,34.688
160.898,34.688
161.873,34.719
162.897,34.781
163.872,34.812
164.896,34.844
165.874,34.875
166.894,34.906
168.164,34.938
168.893,34.969
169.868,35.000
170.893,35.000
171.867,35.031
172.891,35.031
173.866,35.062
174.889,35.062
175.864,35.094
176.888,35.094
177.963,35.094
178.973,35.094
179.862,35.094
180.886,35.125
181.909,35.156
182.885,35.156
183.859,35.125
184.887,35.125
185.907,35.125
186.882,35.188
187.921,35.188
188.882,35.219
189.904,35.188
190.880,35.219
191.903,35.219
193.024,35.219
193.902,35.250
194.877,35.281
195.900,35.344
196.876,35.312
197.900,35.312
198.875,35.281
199.898,35.281
200.873,35.281
201.897,35.250
202.975,35.250
203.989,35.250
204.873,35.250
205.895,35.188
206.918,35.219
208.040,35.188
208.868,35.219
209.892,35.250
210.867,35.281
211.890,35.312
212.866,35.344
213.890,35.375
214.865,35.344
215.896,35.375
216.863,35.375
218.142,35.406
218.862,35.406
219.886,35.406
221.056,35.406
221.888,35.375
222.860,35.375
223.884,35.344
224.858,35.375
225.882,35.312
226.857,35.344
227.881,35.312
228.881,35.375
229.880,35.375
230.858,35.375
232.076,35.375
232.871,35.438
233.877,35.469
234.952,35.469
235.876,35.469
236.901,35.500
237.881,35.531
238.899,35.531
239.874,35.500
240.898,35.500
241.877,35.531
242.903,35.531
244.117,35.500
244.895,35.594
245.975,35.594
246.893,35.594
247.868,35.625
248.904,35.688
249.885,35.719
250.891,35.688
251.866,35.719
252.889,35.688
253.868,35.688
254.890,35.594
255.864,35.594
256.895,35.562
257.862,35.531
258.886,35.406
260.148,35.438
260.885,35.469
261.860,35.438
262.883,35.406
264.156,35.438
264.882,35.438
265.960,35.438
266.881,35.438
267.898,35.500
268.921,35.500
270.099,35.500
270.927,35.469
271.854,35.531
272.877,35.562
273.901,35.438
274.876,35.438
275.851,35.438
276.896,35.438
277.850,35.438
279.219,35.406
279.849,35.406
280.962,35.438
281.848,35.375
282.875,35.344
283.895,35.406
284.870,35.406
285.894,35.375
286.869,35.375
287.892,35.344
288.870,35.375
289.894,35.375
290.866,35.375
291.891,35.375
292.865,35.406
293.892,35.406
294.964,35.375
295.888,35.469
296.875,35.500
297.886,35.531
298.861,35.500
299.885,35.531
300.860,35.531
301.884,35.531
302.866,35.531
303.883,35.562
305.101,35.562
305.882,35.500
306.856,35.469
307.880,35.438
308.857,35.500
309.879,35.469
310.854,35.469
311.878,35.469
312.901,35.469
313.878,35.469
314.951,35.469
315.875,35.469
316.850,35.469
317.874,35.469
319.092,35.438
