df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,omega
367.947,0.972
368.750,0.976
370.951,0.979
374.723,1.109
374.871,1.119
376.438,1.127
377.111,1.129
378.038,1.136
381.255,1.136
381.840,1.141
383.650,1.141
384.239,1.141
390.420,1.141
391.200,1.142
391.835,1.142
392.179,1.144
393.497,1.152
461.547,1.152
462.233,1.161
475.932,1.152
