df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,rr_int
11.479,4280
11.482,1690
11.579,55
11.582,15
11.586,65
12.065,10
12.259,475
13.576,365
14.992,1150
15.330,1430
15.382,410
16.598,35
16.890,1315
17.719,225
18.401,890
19.698,600
19.767,1265
19.775,10
19.780,210
19.818,10
19.821,10
21.328,645
21.741,875
22.010,445
23.374,210
24.349,1455
25.324,900
25.958,960
26.592,590
27.127,745
28.103,610
28.398,855
29.224,320
29.517,800
30.345,335
30.589,915
30.637,155
30.930,10
32.013,265
32.295,1215
32.685,280
33.270,435
33.274,545
33.417,10
33.514,175
34.392,565
34.684,380
35.220,255
35.464,795
36.731,510
37.414,740
38.133,715
38.681,660
39.364,625
40.342,735
41.465,875
42.289,1210
42.682,775
43.415,475
43.654,645
44.434,380
45.067,615
45.625,725
45.914,565
46.237,210
46.580,300
46.872,425
47.992,260
49.943,1190
50.089,1920
51.026,220
51.746,910
52.137,725
52.987,360
53.842,880
54.920,920
55.549,1095
55.745,570
56.036,535
57.407,615
58.132,695
58.815,750
59.644,745
60.085,765
60.327,475
60.619,490
62.033,675
62.569,780
63.304,565
63.544,555
64.227,475
65.102,720
65.363,630
66.030,440
66.859,745
67.152,670
68.422,355
69.394,1320
70.077,960
70.759,760
71.295,600
71.880,550
72.416,650
73.250,575
73.982,755
74.367,745
74.805,380
75.683,405
76.029,810
76.755,535
76.901,640
76.999,325
77.986,645
79.144,300
79.778,1110
80.607,710
81.360,800
81.581,765
82.754,275
83.142,760
83.532,690
83.971,550
84.555,380
84.751,365
85.337,370
86.362,650
86.895,735
87.578,735
88.309,710
88.747,685
89.235,495
89.674,560
90.210,345
90.405,585
90.408,200
90.896,10
90.942,510
90.944,10
90.947,10
91.039,130
92.015,340
92.355,660
92.989,275
92.992,660
93.379,10
93.825,395
94.257,535
94.671,300
94.939,470
95.329,345
96.060,380
96.889,705
97.571,735
97.576,760
98.401,10
98.842,800
99.084,430
100.012,370
100.204,1040
101.050,430
101.471,480
101.715,345
102.301,380
103.006,545
103.275,720
103.812,200
103.958,515
103.961,170
104.787,10
105.469,830
106.054,740
106.298,575
107.029,295
107.565,635
108.101,560
108.369,420
108.955,300
109.369,660
110.055,520
110.065,435
110.636,260
110.642,475
110.685,20
110.789,10
111.319,200
111.807,530
112.148,450
112.684,340
113.562,565
114.098,795
114.780,555
115.612,700
116.051,795
116.440,390
117.169,600
117.705,660
117.861,505
118.389,225
118.534,620
119.119,615
119.951,465
120.779,405
121.313,750
121.317,590
121.605,240
121.609,15
121.702,35
121.756,200
122.580,560
122.970,195
123.119,435
123.265,175
123.946,10
124.531,815
125.066,590
125.505,605
125.755,290
126.042,345
127.163,280
127.455,1075
128.284,270
128.674,940
128.970,335
129.113,430
129.941,660
131.306,260
131.745,1290
132.574,525
132.866,755
133.115,365
133.842,300
134.378,625
135.060,600
135.501,635
136.184,505
136.474,380
137.016,535
137.157,735
138.526,700
138.668,835
140.082,800
140.914,600
141.458,780
142.424,585
142.715,855
143.008,400
143.397,250
143.689,410
144.526,400
145.054,800
145.493,550
146.176,480
146.468,680
147.154,250
147.736,620
148.418,685
149.100,615
149.491,745
150.222,365
151.733,765
152.562,1495
153.001,920
153.244,350
154.366,220
155.779,1235
156.023,1290
156.316,285
156.608,285
157.187,375
157.438,730
157.583,230
159.094,305
159.533,1140
159.923,545
160.508,325
160.752,820
161.629,440
162.166,485
162.848,600
163.435,600
163.530,610
164.116,145
164.506,505
165.237,490
165.634,635
165.919,400
166.603,275
167.138,725
167.629,520
168.264,425
168.992,760
169.673,770
170.210,650
170.648,560
171.331,340
171.915,815
172.159,570
172.845,260
173.137,650
173.426,355
173.430,165
173.434,10
173.671,15
174.407,290
175.232,745
175.620,745
175.767,685
176.449,650
178.009,710
178.692,755
179.813,725
180.496,1210
181.181,665
181.324,710
181.914,125
182.454,770
182.738,660
183.713,300
184.106,695
184.932,220
185.615,955
185.771,660
186.345,245
186.736,490
187.467,480
188.149,705
188.832,685
189.127,935
190.100,475
190.928,565
191.464,755
192.199,645
192.878,715
193.032,800
194.099,605
194.682,470
195.218,555
195.904,605
196.490,645
197.168,575
197.753,750
197.997,525
198.632,315
198.972,510
199.265,415
199.800,275
200.532,555
201.093,755
201.750,565
202.338,675
202.742,550
202.969,430
203.034,345
204.530,945
204.822,615
205.425,225
205.992,535
206.095,770
206.922,415
207.747,370
208.430,815
209.114,685
209.697,695
210.380,665
210.525,835
211.355,350
211.894,440
212.185,845
213.402,905
213.987,350
214.523,550
214.820,605
215.111,260
215.811,275
216.912,625
217.448,1135
217.741,615
218.146,265
218.277,400
218.423,355
219.398,590
219.692,650
220.520,435
221.060,335
221.351,560
221.641,260
221.884,500
223.688,1145
224.127,825
224.131,380
224.273,170
224.517,230
225.395,290
225.784,545
226.080,565
226.906,605
227.296,440
227.588,325
228.027,300
229.101,490
229.685,1060
231.218,610
231.781,1455
232.463,585
233.292,765
233.828,755
234.414,575
234.810,535
235.242,520
235.253,385
235.535,10
236.364,275
236.608,840
237.192,265
