df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,perfusion_ir
367.943,1.910
368.737,1.910
370.918,1.920
374.719,2.631
374.866,2.631
376.426,2.680
377.108,2.740
378.034,2.779
381.252,2.779
381.836,2.779
383.641,2.811
384.232,2.830
390.417,2.850
391.197,2.830
391.831,2.850
392.175,2.850
393.488,2.850
461.544,2.830
462.229,2.811
475.925,2.779
