df_hash,22ZHK4.XMLDE7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYXY
person_label,v138
date_time_start,2026-04-14_15-48-30.092000_+03
date_time_start_unix,1776163710.092
date_time_end,2026-04-14_15-56-41.793000_+03
length_difference_noticed,no

time,spo2
367.895,88
368.579,87
370.894,87
374.574,84
374.863,84
376.378,84
377.061,84
377.889,83
381.204,83
381.789,83
383.595,83
384.199,83
390.368,83
391.052,83
391.782,83
392.172,83
393.440,83
461.499,83
462.226,83
475.831,83
