df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,rr_int
8.789,4005
10.152,10
10.298,1335
10.846,190
11.586,560
12.103,730
12.199,475
12.395,20
12.443,260
12.638,10
12.686,325
13.222,20
13.905,380
14.588,760
15.319,770
16.152,730
16.839,760
17.561,745
18.244,720
19.075,685
19.608,690
20.486,750
21.169,790
21.851,675
22.582,690
23.166,685
23.805,660
24.483,660
25.166,675
25.750,685
26.519,665
26.522,660
27.115,10
27.851,670
28.577,675
29.215,660
29.899,695
30.628,740
31.213,705
31.844,630
32.623,610
33.111,665
33.793,635
34.378,650
34.381,665
35.061,10
35.743,640
36.328,625
36.864,620
37.547,620
38.279,640
38.814,665
39.410,615
39.545,615
40.084,10
40.764,620
41.448,660
42.032,680
42.723,690
43.396,640
43.981,630
44.517,610
45.248,615
45.785,620
46.467,610
47.012,640
47.785,670
48.417,695
49.100,655
49.197,640
49.686,10
50.367,655
51.049,635
51.688,640
52.171,630
52.853,610
53.535,625
54.120,625
54.657,625
55.340,640
55.924,605
55.928,625
56.636,10
57.191,605
57.881,640
58.410,615
58.995,625
59.678,630
59.681,610
60.218,10
60.262,590
60.799,10
60.945,600
61.481,10
62.018,605
62.071,595
62.607,10
62.653,585
63.285,10
63.870,590
64.406,625
64.462,600
65.141,10
65.673,605
66.310,610
66.905,605
66.990,595
67.477,10
68.013,595
68.744,620
69.281,635
69.963,600
70.499,615
71.231,585
71.767,655
72.454,615
73.035,645
73.726,625
74.253,655
74.838,595
75.472,590
76.056,600
76.789,630
77.373,680
78.032,645
78.738,680
79.434,720
80.102,710
80.834,675
81.538,635
82.296,660
82.881,750
83.466,690
84.295,615
84.978,750
85.562,695
85.565,635
86.293,10
86.781,650
87.489,655
88.215,680
88.878,675
89.754,700
90.534,800
91.266,840
92.096,785
92.777,770
93.459,750
94.288,720
94.973,715
95.555,700
96.238,685
96.921,665
97.651,685
97.656,695
98.334,10
98.870,655
99.047,655
99.650,10
100.342,685
100.966,695
101.649,655
102.393,690
102.486,705
103.063,10
103.745,700
104.478,670
105.169,690
105.841,700
106.431,665
107.108,655
107.791,665
108.474,695
109.253,680
109.741,655
110.444,655
111.008,660
111.691,640
112.373,655
113.104,705
113.787,740
114.469,700
115.298,695
115.398,715
115.932,10
116.663,615
116.666,715
117.248,10
117.932,640
118.520,695
119.204,595
119.636,600
120.319,580
121.001,615
121.005,660
121.636,10
122.415,670
123.098,740
123.780,695
124.463,695
125.047,700
125.730,640
126.315,640
127.046,625
127.534,630
128.220,615
128.801,635
129.484,660
130.461,670
130.751,650
131.433,630
132.031,635
132.701,635
133.383,650
134.074,650
134.797,695
135.334,705
136.020,665
136.747,675
137.430,685
137.966,655
138.697,650
139.380,660
140.068,680
140.601,640
141.332,655
142.060,675
142.551,670
143.279,645
143.426,650
143.962,10
144.498,670
145.229,635
145.912,645
146.448,645
147.131,630
147.715,635
147.769,640
148.403,10
148.982,645
149.665,625
150.348,640
150.932,635
151.617,635
152.153,630
152.200,645
152.882,10
153.565,665
154.101,650
154.104,650
154.785,10
155.515,660
156.201,675
156.733,665
157.465,670
158.147,680
158.206,670
158.863,10
159.422,640
160.102,655
160.929,680
161.462,660
162.047,675
162.053,640
162.729,10
163.412,655
163.998,660
164.684,620
165.216,635
165.266,630
165.947,10
166.775,695
166.779,745
167.458,10
168.045,675
168.726,650
169.262,655
169.944,645
170.675,635
171.211,635
171.937,635
172.528,645
173.162,635
173.852,665
174.577,695
175.258,680
175.823,660
176.525,655
177.209,665
177.744,645
178.426,630
179.011,625
179.745,640
180.293,650
180.961,620
181.015,640
181.497,10
182.281,655
182.911,655
183.447,625
184.130,615
184.720,640
185.406,625
185.983,630
186.665,610
187.201,660
187.910,640
188.469,635
189.043,610
189.741,605
189.785,620
190.272,10
190.954,620
191.540,610
192.259,610
192.787,645
193.441,645
194.027,615
194.757,610
195.293,640
195.829,620
196.512,620
197.194,620
197.828,660
198.462,630
199.047,625
199.778,640
200.267,660
200.997,635
201.533,615
202.216,620
202.848,655
203.483,630
204.019,615
204.750,600
205.330,625
205.969,660
206.701,710
207.393,670
208.065,655
208.164,725
208.820,10
209.500,755
210.161,670
210.844,660
211.429,650
212.115,650
212.160,635
212.648,10
213.379,635
214.061,670
214.744,675
215.329,665
216.011,645
216.699,670
217.282,670
217.376,640
217.973,10
218.644,660
219.209,610
219.219,635
219.911,10
220.448,615
221.033,605
221.717,630
222.256,650
222.933,620
223.665,645
224.201,660
224.883,620
225.469,630
226.151,620
226.712,620
227.279,620
227.954,600
228.542,615
229.076,595
229.758,620
230.358,610
231.026,640
231.562,635
232.293,640
232.976,635
233.512,640
233.609,620
234.243,10
234.780,635
235.462,630
235.467,665
236.047,10
236.729,645
237.314,620
237.850,595
238.540,595
239.224,635
240.191,730
240.776,800
241.458,740
242.238,725
242.823,635
243.554,745
244.091,655
244.773,640
245.362,620
245.894,590
246.579,605
247.313,615
247.844,670
248.527,670
249.112,595
249.648,625
250.336,615
250.915,565
251.698,575
252.134,555
252.573,595
253.011,630
253.160,520
