df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,acc_mag
4.588,1.003
4.618,1.000
4.648,0.997
4.678,0.993
4.708,0.994
4.738,1.001
4.768,1.002
4.798,0.996
4.828,0.997
4.858,0.996
4.888,1.000
4.918,0.999
4.948,0.994
4.978,0.999
5.008,1.000
5.038,0.995
5.068,1.001
5.098,0.996
5.128,0.996
5.158,1.001
5.188,0.994
5.218,0.999
5.248,0.996
5.278,0.996
5.308,1.001
5.338,1.000
5.368,0.994
5.398,1.004
5.428,1.000
5.458,0.997
5.488,0.995
5.518,1.000
5.548,0.998
5.578,1.000
5.608,1.000
5.638,0.991
5.668,0.999
5.698,0.998
5.728,1.000
5.758,0.997
5.788,0.998
5.818,0.997
5.848,0.999
5.878,1.000
5.908,1.000
5.938,0.997
5.968,0.998
5.998,0.998
6.028,0.998
6.058,1.000
6.088,0.994
6.118,1.000
6.148,1.003
6.178,0.998
6.208,1.004
6.238,0.995
6.268,1.004
6.298,0.996
6.328,0.995
6.358,0.999
6.388,1.001
6.418,1.000
6.448,0.996
6.478,1.004
6.508,0.991
6.538,1.001
6.568,0.996
6.598,0.998
6.628,0.997
6.658,0.997
6.688,1.001
6.718,0.999
6.748,0.999
6.778,1.000
6.808,0.995
6.838,0.998
6.868,0.997
6.898,1.000
6.928,1.000
6.958,1.000
6.988,0.997
7.018,1.005
7.048,0.999
7.078,1.000
7.108,0.999
7.138,1.001
7.168,0.999
7.198,0.994
7.228,0.996
7.258,0.998
7.288,1.003
7.318,0.998
7.348,0.999
7.378,0.996
7.408,1.005
7.438,0.994
7.468,1.001
7.498,0.998
7.528,0.998
7.558,1.000
7.588,1.002
7.618,1.001
7.648,1.000
7.678,0.998
7.708,0.997
7.738,0.998
7.768,0.998
7.798,0.997
7.828,0.999
7.858,0.996
7.888,1.002
7.918,1.000
7.948,0.999
7.978,0.999
8.008,0.997
8.038,0.995
8.068,1.000
8.098,0.995
8.128,1.001
8.158,1.001
8.188,0.998
8.218,0.999
8.248,0.992
8.278,1.003
8.308,0.999
8.338,0.996
8.368,0.999
8.398,0.998
8.428,0.997
8.458,0.998
8.488,1.002
8.518,1.000
8.548,0.997
8.578,1.000
8.608,0.997
8.638,0.993
8.668,0.997
8.698,1.002
8.728,0.998
8.758,0.996
8.788,0.998
8.818,1.006
8.848,0.997
8.878,0.994
8.908,1.000
8.938,1.000
8.968,1.000
8.998,1.000
9.028,1.004
9.058,0.989
9.088,1.003
9.118,0.998
9.148,0.993
9.178,0.999
9.208,0.995
9.238,0.993
9.268,1.001
9.298,0.996
9.328,0.995
9.358,0.993
9.388,0.998
9.418,0.999
9.448,0.998
9.478,1.001
9.508,0.996
9.538,0.997
9.568,1.010
9.598,1.006
9.628,0.995
9.658,1.003
9.688,0.995
9.718,0.993
9.748,0.997
9.778,0.998
9.808,1.002
9.838,0.996
9.868,1.001
9.898,0.992
9.928,1.001
9.958,1.004
9.988,0.996
10.018,0.997
10.048,0.994
10.078,1.001
10.108,0.997
10.138,0.999
10.168,1.005
10.198,0.998
10.228,0.994
10.258,1.001
10.288,0.999
10.318,0.985
10.348,1.003
10.378,1.000
10.408,0.998
10.438,0.997
10.468,1.010
10.498,0.998
10.528,0.995
10.558,0.998
10.588,1.001
10.618,1.001
10.648,1.001
10.678,1.000
10.708,0.993
10.738,1.001
10.768,0.999
10.798,0.999
10.828,0.997
10.858,0.999
10.888,1.002
10.918,1.000
10.948,1.000
10.978,0.998
11.008,0.998
11.038,1.001
11.068,1.000
11.098,1.003
11.128,0.996
11.158,1.000
11.188,0.999
11.218,1.001
11.248,0.999
11.278,1.000
11.308,0.996
11.338,0.993
11.368,0.999
11.398,0.999
11.428,0.999
11.458,1.000
11.488,0.992
11.518,0.998
11.548,1.001
11.578,0.997
11.608,0.999
11.638,0.998
11.668,1.000
11.698,0.998
11.728,1.001
11.758,1.001
11.788,0.999
11.818,1.000
11.848,1.003
11.878,1.000
11.908,0.999
11.938,1.000
11.968,0.988
11.998,1.000
12.028,1.002
12.058,0.997
12.088,0.991
12.118,0.998
12.148,0.999
12.178,1.004
12.208,1.007
12.238,0.992
12.268,0.998
12.298,1.001
12.328,0.997
12.358,1.001
12.388,0.999
12.418,1.000
12.448,0.999
12.478,0.999
12.508,1.003
12.538,0.996
12.568,0.995
12.598,1.005
12.628,1.000
12.658,0.997
12.688,1.001
12.718,1.000
12.748,0.992
12.778,1.007
12.808,1.000
12.838,0.997
12.868,0.996
12.898,0.999
12.928,0.999
12.958,0.999
12.988,0.998
13.018,0.999
13.048,0.996
13.078,1.007
13.108,0.996
13.138,0.999
13.168,1.000
13.198,0.997
13.228,1.001
13.258,1.005
13.288,0.996
13.318,1.001
13.348,0.998
13.378,0.996
13.408,1.000
13.438,0.997
13.468,1.001
13.498,1.000
13.528,0.995
13.558,1.000
13.588,1.001
13.618,0.997
13.648,1.001
13.678,0.993
13.708,1.000
13.738,0.999
13.768,1.003
13.798,0.999
13.828,0.999
13.858,0.995
13.888,1.005
13.918,0.999
13.948,1.000
